//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:21
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906000
//Univ. of Washington ID: 12711
//MBARI ID: 12711SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10448	
//Temperature[°C]	Sbe41cp	10448	
//Salinity[pss]	Sbe41cp	10448	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2850	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0129  Spec#114259 Equitech Ti probe #1804.13  MBARI ARGO float#825  DF#235  CTD#10448	
//Chl_a[mg/m^3]	FLBBAP2	4674	
//Chl_a_corr[mg/m^3]	FLBBAP2	4674	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4674	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4674	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	235	
//pH25C[Total]	Durafet	235	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0545	0.0000	0.0000
//Nitrate	1	1.0000	-2.4188	-2.7835
//Nitrate	2	1.0000	-2.4986	0.1700
//Nitrate	47	1.0000	-2.5689	0.0000
//pH	1	1.0000	0.0034	-0.4732
//pH	3	1.0000	-0.0123	-0.0104
//pH	23	1.0000	-0.0157	0.0205
//pH	47	1.0000	-0.0050	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1799.18	0	-0.0166	0	34.6632	0	27.840	0	1774.024	0	229.24	0	65.7	0	32.17	0	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.8938	0	7.5993	0	2353	0	2255	0	462.1	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1698.32	0	0.0230	0	34.6645	0	27.839	0	1674.972	0	226.84	0	65.1	0	32.28	0	0.0036	0	0.0012	0	0.000242	1	-1E+10	1	0.88	1	7.8987	0	7.6005	0	2354	0	2255	0	462.1	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1599.29	0	0.0644	0	34.6675	0	27.839	0	1577.672	0	225.22	0	64.7	0	32.25	0	0.0036	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.9022	0	7.6005	0	2354	0	2256	0	463.7	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1499.56	0	0.1032	0	34.6691	0	27.838	0	1479.638	0	224.18	0	64.4	0	32.23	0	0.0000	0	0.0000	0	0.000242	1	-1E+10	1	0.88	1	7.9044	0	7.5993	0	2354	0	2256	0	466.8	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1399.27	0	0.1775	0	34.6720	0	27.836	0	1381.008	0	221.76	0	63.9	0	32.12	0	0.0000	0	0.0000	0	0.000243	1	-1E+10	1	0.88	1	7.9100	0	7.6017	0	2354	0	2255	0	466.0	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1300.32	0	0.2129	0	34.6724	0	27.834	0	1283.651	0	221.03	0	63.7	0	32.12	0	0.0036	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.9129	0	7.6012	0	2354	0	2255	0	468.1	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1199.34	0	0.2513	0	34.6743	0	27.833	0	1184.249	0	220.42	0	63.6	0	32.04	0	0.0000	0	0.0000	0	0.000254	1	-1E+10	1	0.91	1	7.9161	0	7.6008	0	2354	0	2255	0	470.0	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	1099.18	0	0.3009	0	34.6749	0	27.830	0	1085.608	0	219.31	0	63.4	0	31.93	0	0.0036	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.9209	0	7.6021	0	2353	0	2255	0	470.0	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	999.50	0	0.3864	0	34.6793	0	27.829	0	987.393	0	217.21	0	62.9	0	31.72	0	0.0000	0	0.0000	0	0.000277	1	-1E+10	1	0.97	1	7.9242	0	7.6026	0	2353	0	2254	0	471.9	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	951.48	0	0.4196	0	34.6794	0	27.827	0	940.063	0	216.77	0	62.8	0	31.88	0	0.0036	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.9223	0	7.5995	0	2353	0	2255	0	476.9	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	901.45	0	0.4549	0	34.6820	0	27.827	0	890.739	0	216.21	0	62.7	0	31.79	0	0.0000	0	0.0000	0	0.000310	1	-1E+10	1	1.06	1	7.9247	0	7.6004	0	2353	0	2255	0	476.9	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	851.74	0	0.4860	0	34.6828	0	27.825	0	841.720	0	215.62	0	62.6	0	31.75	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.9263	0	7.6004	0	2352	0	2254	0	477.7	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	801.41	0	0.5653	0	34.6860	0	27.823	0	792.077	0	214.21	0	62.3	0	31.55	0	0.0000	0	0.0000	0	0.000266	1	-1E+10	1	0.94	1	7.9279	0	7.6011	0	2352	0	2254	0	478.9	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	751.80	0	0.6055	0	34.6876	0	27.822	0	743.133	0	213.43	0	62.2	0	31.42	0	0.0000	0	0.0000	0	0.000277	1	-1E+10	1	0.97	1	7.9276	0	7.5996	0	2352	0	2254	0	482.1	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	701.13	0	0.6652	0	34.6920	0	27.821	0	693.132	0	211.98	0	61.8	0	31.46	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.9295	0	7.6003	0	2352	0	2254	0	482.9	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	651.11	0	0.7194	0	34.6932	0	27.819	0	643.759	0	211.45	0	61.8	0	31.33	0	0.0036	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.9316	0	7.6011	0	2351	0	2253	0	483.3	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	601.05	0	0.7848	0	34.6977	0	27.818	0	594.336	0	210.05	0	61.5	0	31.24	0	0.0036	0	0.0012	0	0.000322	1	-1E+10	1	1.09	1	7.9331	0	7.6015	0	2351	0	2253	0	484.5	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	550.94	0	0.8361	0	34.7008	0	27.817	0	544.851	0	209.11	0	61.3	0	31.20	0	0.0000	0	0.0000	0	0.000277	1	-1E+10	1	0.97	1	7.9340	0	7.6012	0	2351	0	2253	0	486.3	0
5906000	1	C	12/31/2018	02:28	112.221	-64.049	0	501.41	0	0.8730	0	34.7015	0	27.815	0	495.928	0	208.38	0	61.1	0	31.15	0	0.0036	0	0.0012	0	0.000289	1	-1E+10	1	1.00	1	7.9354	0	7.6011	0	2351	0	2252	0	487.5	0
