//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:24
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905997
//Univ. of Washington ID: 12714
//MBARI ID: 12714SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 19 20 21 22 23 26 27 28 29 30 31 32 33 34 35 36 37 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 51 52 53 54 55 
//Missing Float data detected for adjusted station(s): 51 52 53 54 55 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10222	
//Temperature[°C]	Sbe41cp	10222	
//Salinity[pss]	Sbe41cp	10222	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2823	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0126  Spec#108010 Equitech Ti probe #1804.01  MBARI ARGO float#823  DF#236  CTD#10222	
//Chl_a[mg/m^3]	FLBBAP2	4440	
//Chl_a_corr[mg/m^3]	FLBBAP2	4440	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4440	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4440	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	236	
//pH25C[Total]	Durafet	236	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0649	0.0000	0.0000
//Nitrate	1	1.0000	-0.5601	-13.0784
//Nitrate	4	1.0000	-1.1470	-0.5154
//Nitrate	50	1.0000	-1.9448	0.0000
//pH	1	1.0000	-0.0093	0.0000
//pH	13	1.0000	0.0029	-0.0254
//pH	25	1.0000	-0.0176	0.0000
//pH	50	1.0000	-0.0214	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1998.64	0	0.2168	0	34.6729	0	27.836	0	1969.717	0	220.76	0	63.6	0	32.24	0	0.0036	0	0.0012	0	0.000226	1	-1E+10	1	0.84	1	7.8872	0	7.6040	0	2353	0	2254	0	459.9	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1898.97	0	0.2630	0	34.6765	0	27.836	0	1871.927	0	218.92	0	63.2	0	32.24	0	-0.0036	0	-0.0012	0	0.000214	1	-1E+10	1	0.81	1	7.8892	0	7.6027	0	2354	0	2255	0	463.3	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1798.96	0	0.3155	0	34.6788	0	27.835	0	1773.759	0	217.37	0	62.8	0	32.17	0	0.0000	0	0.0000	0	0.000214	1	-1E+10	1	0.81	1	7.8943	0	7.6044	0	2354	0	2254	0	462.9	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1699.19	0	0.3570	0	34.6793	0	27.833	0	1675.780	0	216.64	0	62.7	0	32.14	0	0.0000	0	0.0000	0	0.000214	1	-1E+10	1	0.81	1	7.8997	0	7.6061	0	2354	0	2253	0	462.1	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1599.16	0	0.4148	0	34.6812	0	27.831	0	1577.500	0	215.28	0	62.4	0	32.02	0	0.0000	0	0.0000	0	0.000226	1	-1E+10	1	0.84	1	7.8999	0	7.6034	0	2353	0	2254	0	467.5	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1499.56	0	0.5204	0	34.6896	0	27.831	0	1479.597	0	212.48	0	61.8	0	31.99	0	0.0000	0	0.0000	0	0.000238	1	-1E+10	1	0.87	1	7.9038	0	7.6047	0	2354	0	2254	0	468.9	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1399.81	0	0.5643	0	34.6897	0	27.828	0	1381.501	0	212.30	0	61.8	0	31.85	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.9089	0	7.6062	0	2353	0	2253	0	468.4	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1299.34	0	0.6561	0	34.6954	0	27.827	0	1282.651	0	210.10	0	61.3	0	31.84	0	0.0000	0	0.0000	0	0.000227	1	-1E+10	1	0.84	1	7.9124	0	7.6068	0	2354	0	2253	0	470.2	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1199.23	0	0.7479	0	34.7011	0	27.825	0	1184.108	0	208.35	0	60.9	0	31.72	0	0.0000	0	0.0000	0	0.000318	1	-1E+10	1	1.08	1	7.9171	0	7.6087	0	2354	0	2252	0	470.4	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	1099.80	0	0.8282	0	34.7057	0	27.824	0	1086.189	0	207.46	0	60.8	0	31.52	0	0.0072	0	0.0024	0	0.000467	1	-1E+10	1	1.47	1	7.9193	0	7.6081	0	2353	0	2252	0	473.5	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	999.24	0	0.9139	0	34.7100	0	27.821	0	987.110	0	206.40	0	60.6	0	31.44	0	0.0000	0	0.0000	0	0.000250	1	-1E+10	1	0.90	1	7.9241	0	7.6100	0	2353	0	2251	0	473.4	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	950.97	0	0.9494	0	34.7126	0	27.821	0	939.534	0	206.06	0	60.6	0	31.40	0	0.0036	0	0.0012	0	0.000284	1	-1E+10	1	0.99	1	7.9227	0	7.6074	0	2352	0	2252	0	478.0	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	901.18	0	0.9788	0	34.7135	0	27.820	0	890.448	0	205.75	0	60.5	0	31.32	0	0.0000	0	0.0000	0	0.000284	1	-1E+10	1	0.99	1	7.9254	0	7.6085	0	2352	0	2251	0	477.5	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	851.13	0	1.0316	0	34.7162	0	27.818	0	841.095	0	205.02	0	60.4	0	31.19	0	0.0000	0	0.0000	0	0.000285	1	-1E+10	1	0.99	1	7.9266	0	7.6084	0	2352	0	2251	0	479.0	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	801.25	0	1.0681	0	34.7172	0	27.816	0	791.898	0	204.53	0	60.3	0	31.23	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.9283	0	7.6087	0	2352	0	2250	0	479.8	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	751.48	0	1.1068	0	34.7177	0	27.814	0	742.797	0	203.87	0	60.2	0	31.23	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.9297	0	7.6086	0	2351	0	2250	0	481.0	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	700.71	0	1.1679	0	34.7220	0	27.813	0	692.698	0	202.90	0	60.0	0	31.26	0	0.0036	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.9301	0	7.6079	0	2351	0	2250	0	483.6	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	650.73	0	1.2125	0	34.7232	0	27.811	0	643.366	0	202.02	0	59.8	0	31.09	0	0.0036	0	0.0012	0	0.000354	1	-1E+10	1	1.17	1	7.9314	0	7.6079	0	2351	0	2250	0	485.0	0
5905997	1	C	01/03/2019	19:31	120.250	-64.434	0	600.89	0	1.2489	0	34.7228	0	27.808	0	594.161	0	201.45	0	59.7	0	31.09	0	0.0072	0	0.0024	0	0.000331	1	-1E+10	1	1.11	1	7.9334	0	7.6084	0	2351	0	2250	0	485.3	0
