//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:27
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905139
//Univ. of Washington ID: 12717
//MBARI ID: 12717EQPACE
//No missing float profiles
//Missing Float position interpolated for station(s): 13 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 2 8 9 10 11 12 13 14 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9205	
//Temperature[°C]	Sbe41cp	9205	
//Salinity[pss]	Sbe41cp	9205	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2736	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4442	
//Chl_a_corr[mg/m^3]	FLBBAP2	4442	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4442	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4442	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	165	
//pH25C[Total]	Durafet	165	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0504	0.0000	0.0000
//pH	1	1.0000	0.0293	0.0000
//pH	3	1.0000	-0.0200	0.0000
//pH	5	1.0000	-0.1330	0.0000
//pH	6	1.0000	-0.1700	0.0000
//pH	7	1.0000	-0.0900	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	1599.05	0	2.9163	0	34.6129	0	27.594	0	1584.130	0	78.58	0	24.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000239	1	-1E+10	1	0.88	1	7.7033	0	7.4634	0	2400	0	2353	0	780.2	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	1499.37	0	3.0962	0	34.6055	0	27.571	0	1485.730	0	73.71	0	22.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000229	1	-1E+10	1	0.85	1	7.6922	0	7.4523	0	2395	0	2353	0	810.2	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	1399.28	0	3.3444	0	34.5955	0	27.540	0	1386.879	0	68.22	0	21.3	0	-1E+10	1	0.0073	0	0.0073	0	0.000273	1	-1E+10	1	0.96	1	7.6792	0	7.4405	0	2388	0	2350	0	845.0	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	1298.33	0	3.6042	0	34.5876	0	27.508	0	1287.132	0	62.58	0	19.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000241	1	-1E+10	1	0.88	1	7.6662	0	7.4287	0	2382	0	2348	0	881.6	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	1198.98	0	3.8853	0	34.5807	0	27.474	0	1188.919	0	57.74	0	18.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000252	1	-1E+10	1	0.91	1	7.6523	0	7.4166	0	2376	0	2346	0	921.3	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	1099.93	0	4.1784	0	34.5719	0	27.436	0	1090.957	0	52.38	0	16.7	0	-1E+10	1	0.0146	0	0.0146	0	0.000253	1	-1E+10	1	0.91	1	7.6395	0	7.4054	0	2368	0	2342	0	960.0	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	999.76	0	4.5728	0	34.5605	0	27.384	0	991.841	0	45.27	0	14.5	0	-1E+10	1	0.0109	0	0.0109	0	0.000265	1	-1E+10	1	0.94	1	7.6168	0	7.3867	0	2358	0	2338	0	1024.1	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	951.17	0	4.8611	0	34.5578	0	27.350	0	943.745	0	37.38	0	12.1	0	-1E+10	1	0.0109	0	0.0109	0	0.000265	1	-1E+10	1	0.94	1	7.5938	0	7.3684	0	2353	0	2339	0	1088.4	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	900.80	0	5.1746	0	34.5554	0	27.311	0	893.876	0	33.25	0	10.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000277	1	-1E+10	1	0.97	1	7.5870	0	7.3645	0	2347	0	2335	0	1112.1	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	851.49	0	5.4283	0	34.5509	0	27.278	0	845.045	0	35.38	0	11.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000277	1	-1E+10	1	0.97	1	7.5968	0	7.3745	0	2341	0	2325	0	1091.2	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	801.09	0	5.6800	0	34.5515	0	27.247	0	795.122	0	36.28	0	12.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000256	1	-1E+10	1	0.92	1	7.5903	0	7.3699	0	2336	0	2322	0	1114.5	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	751.21	0	6.0203	0	34.5570	0	27.209	0	745.703	0	25.82	0	8.6	0	-1E+10	1	0.0073	0	0.0073	0	0.000278	1	-1E+10	1	0.98	1	7.5659	0	7.3508	0	2333	0	2325	0	1189.5	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	701.54	0	6.4160	0	34.5610	0	27.161	0	696.480	0	20.26	0	6.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000246	1	-1E+10	1	0.89	1	7.5540	0	7.3432	0	2329	0	2324	0	1232.1	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	650.76	0	6.8035	0	34.5693	0	27.115	0	646.145	0	14.85	0	5.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000290	1	-1E+10	1	1.01	1	7.5438	0	7.3371	0	2325	0	2322	0	1270.5	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	601.29	0	7.3789	0	34.5846	0	27.047	0	597.096	0	10.22	0	3.5	0	-1E+10	1	0.0109	0	0.0109	0	0.000291	1	-1E+10	1	1.01	1	7.5360	0	7.3353	0	2321	0	2318	0	1304.2	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	551.19	0	7.8087	0	34.6004	0	26.997	0	547.412	0	9.58	0	3.3	0	-1E+10	1	0.0146	0	0.0146	0	0.000292	1	-1E+10	1	1.01	1	7.5425	0	7.3445	0	2317	0	2311	0	1292.1	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	500.96	0	8.4330	0	34.6229	0	26.920	0	497.586	0	19.71	0	6.9	0	-1E+10	1	0.0109	0	0.0109	0	0.000304	1	-1E+10	1	1.04	1	7.5685	0	7.3737	0	2311	0	2295	0	1221.3	0
5905139	1	C	10/29/2017	05:52	235.062	4.913	0	451.74	0	8.8398	0	34.6404	0	26.870	0	448.751	0	21.85	0	7.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000315	1	-1E+10	1	1.07	1	7.5924	0	7.3985	0	2308	0	2284	0	1159.7	0
