//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:28
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905134
//Univ. of Washington ID: 12723
//MBARI ID: 12723SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 47 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9281	
//Temperature[°C]	Sbe41cp	9281	
//Salinity[pss]	Sbe41cp	9281	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2653	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0069  Spec#107973 Equitech Ti probe #1604.26  MBARI ARGO float#785  DF#186  CTD#9281	
//Chl_a[mg/m^3]	FLBBAP2	4434	
//Chl_a_corr[mg/m^3]	FLBBAP2	4434	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4434	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4434	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	186	
//pH25C[Total]	Durafet	186	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0310	0.0000	0.0000
//Nitrate	1	1.0000	3.2074	0.6070
//Nitrate	42	1.0000	3.3919	0.6962
//Nitrate	104	1.0000	4.7621	0.0000
//pH	1	1.0000	-0.0436	0.0760
//pH	15	1.0000	-0.0220	0.0000
//pH	29	1.0000	-0.0119	-0.0377
//pH	41	1.0000	-0.0137	-0.0262
//pH	59	1.0000	-0.0235	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1998.89	0	2.6815	0	34.7385	0	27.718	0	1973.603	0	193.47	0	59.4	0	30.53	0	0.0073	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8871	0	7.6383	0	2338	0	2226	0	463.5	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1899.16	0	2.7077	0	34.7152	0	27.696	0	1875.573	0	187.09	0	57.5	0	31.25	0	0.0073	0	0.0024	0	0.000238	1	-1E+10	1	0.87	1	7.8764	0	7.6252	0	2338	0	2231	0	481.9	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1799.12	0	2.7240	0	34.6860	0	27.671	0	1777.194	0	182.39	0	56.0	0	32.07	0	0.0073	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8668	0	7.6131	0	2338	0	2235	0	499.3	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1698.95	0	2.7376	0	34.6598	0	27.648	0	1678.640	0	179.49	0	55.2	0	32.54	0	0.0073	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8615	0	7.6048	0	2337	0	2238	0	511.9	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1599.86	0	2.7895	0	34.6142	0	27.606	0	1581.104	0	178.49	0	54.9	0	33.09	0	0.0109	0	0.0037	0	0.000261	1	-1E+10	1	0.93	1	7.8556	0	7.5966	0	2334	0	2238	0	524.9	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1499.17	0	2.7864	0	34.5597	0	27.562	0	1481.947	0	176.21	0	54.2	0	33.99	0	0.0073	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1	7.8455	0	7.5838	0	2331	0	2240	0	544.0	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1399.89	0	2.7997	0	34.5138	0	27.524	0	1384.133	0	177.53	0	54.6	0	34.31	0	0.0073	0	0.0024	0	0.000272	1	-1E+10	1	0.96	1	7.8436	0	7.5786	0	2327	0	2238	0	552.2	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1299.64	0	2.8566	0	34.4618	0	27.476	0	1285.317	0	181.89	0	56.0	0	34.45	0	0.0109	0	0.0037	0	0.000283	1	-1E+10	1	0.99	1	7.8466	0	7.5785	0	2322	0	2233	0	553.5	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1200.06	0	2.9094	0	34.4241	0	27.441	0	1187.115	0	186.78	0	57.5	0	34.34	0	0.0073	0	0.0024	0	0.000272	1	-1E+10	1	0.96	1	7.8530	0	7.5814	0	2318	0	2228	0	550.3	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	1099.34	0	3.0374	0	34.3555	0	27.374	0	1087.742	0	198.86	0	61.4	0	33.78	0	0.0000	0	0.0000	0	0.000306	1	-1E+10	1	1.05	1	7.8662	0	7.5915	0	2309	0	2216	0	537.1	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	999.44	0	3.1345	0	34.2997	0	27.320	0	989.131	0	211.14	0	65.3	0	33.08	0	0.0073	0	0.0024	0	0.000317	1	-1E+10	1	1.08	1	7.8814	0	7.6030	0	2303	0	2206	0	522.2	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	951.40	0	3.1898	0	34.2741	0	27.294	0	941.695	0	217.75	0	67.5	0	32.64	0	0.0037	0	0.0012	0	0.000317	1	-1E+10	1	1.08	1	7.8859	0	7.6061	0	2300	0	2202	0	518.7	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	901.13	0	3.3638	0	34.2560	0	27.263	0	892.045	0	222.45	0	69.2	0	32.11	0	0.0073	0	0.0024	0	0.000307	1	-1E+10	1	1.05	1	7.8934	0	7.6136	0	2297	0	2197	0	511.8	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	851.47	0	3.4641	0	34.2389	0	27.240	0	842.985	0	228.47	0	71.2	0	31.46	0	0.0037	0	0.0012	0	0.000340	1	-1E+10	1	1.14	1	7.9012	0	7.6203	0	2294	0	2192	0	504.6	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	800.68	0	3.5762	0	34.2216	0	27.215	0	792.798	0	234.33	0	73.3	0	31.05	0	0.0000	0	0.0000	0	0.000296	1	-1E+10	1	1.02	1	7.9071	0	7.6254	0	2292	0	2188	0	500.0	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	750.76	0	3.7239	0	34.2077	0	27.189	0	743.458	0	239.00	0	75.0	0	30.42	0	0.0073	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.9119	0	7.6301	0	2291	0	2185	0	497.0	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	701.35	0	3.8359	0	34.1823	0	27.158	0	694.611	0	249.21	0	78.4	0	29.57	0	0.0000	0	0.0000	0	0.000308	1	-1E+10	1	1.05	1	7.9237	0	7.6407	0	2290	0	2181	0	485.5	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	651.64	0	3.9844	0	34.1726	0	27.134	0	645.455	0	255.27	0	80.6	0	28.91	0	0.0037	0	0.0012	0	0.000330	1	-1E+10	1	1.11	1	7.9308	0	7.6476	0	2291	0	2179	0	480.0	0
5905134	1	C	09/19/2017	21:04	350.073	-42.980	0	601.65	0	4.2029	0	34.1722	0	27.111	0	596.011	0	256.98	0	81.5	0	28.38	0	0.0000	0	0.0000	0	0.000308	1	-1E+10	1	1.06	1	7.9333	0	7.6511	0	2292	0	2179	0	480.6	0
