//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:31
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905998
//Univ. of Washington ID: 12727
//MBARI ID: 12727SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 26 27 28 29 30 31 59 60 61 62 63 64 68 69 70 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 48 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10227	
//Temperature[°C]	Sbe41cp	10227	
//Salinity[pss]	Sbe41cp	10227	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2844	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0136  Spec#108008 Equitech Ti probe #1804.29  MBARI ARGO float#820  DF#221  CTD#10227	
//Chl_a[mg/m^3]	FLBBAP2	4441	
//Chl_a_corr[mg/m^3]	FLBBAP2	4441	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4441	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4441	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	221	
//pH25C[Total]	Durafet	221	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0660	0.0000	0.0000
//Nitrate	1	1.0000	-0.8035	-0.3410
//Nitrate	43	1.0000	-1.3030	0.7438
//Nitrate	72	1.0000	-0.8525	0.0000
//pH	1	1.0000	0.0000	-0.0273
//pH	7	1.0000	-0.0149	0.0000
//pH	27	1.0000	-0.0219	-0.0613
//pH	41	1.0000	-0.0366	0.0000
//pH	60	1.0000	-0.0537	0.5185
//pH	63	1.0000	-0.0386	0.0418
//pH	72	1.0000	-0.0270	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1997.25	0	0.3532	0	34.6747	0	27.830	0	1968.563	0	227.32	0	65.8	0	33.32	0	0.0037	0	0.0012	0	0.000224	1	-1E+10	1	0.83	1	7.8764	0	7.5962	0	2349	0	2253	0	471.7	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1899.30	0	0.4091	0	34.6774	0	27.829	0	1872.451	0	214.54	0	62.2	0	33.24	0	0.0073	0	0.0024	0	0.000224	1	-1E+10	1	0.83	1	7.8771	0	7.5939	0	2356	0	2260	0	477.9	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1799.56	0	0.4620	0	34.6805	0	27.828	0	1774.537	0	212.72	0	61.7	0	33.07	0	0.0073	0	0.0024	0	0.000224	1	-1E+10	1	0.84	1	7.8807	0	7.5942	0	2357	0	2261	0	479.5	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1700.17	0	0.5172	0	34.6830	0	27.827	0	1676.921	0	211.67	0	61.5	0	33.11	0	0.0037	0	0.0012	0	0.000370	1	-1E+10	1	1.21	1	7.8835	0	7.5938	0	2356	0	2261	0	481.9	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1599.87	0	0.5951	0	34.6872	0	27.825	0	1578.366	0	210.33	0	61.2	0	32.92	0	0.0037	0	0.0012	0	0.000246	1	-1E+10	1	0.89	1	7.8848	0	7.5923	0	2356	0	2261	0	486.1	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1499.63	0	0.6747	0	34.6924	0	27.824	0	1479.823	0	208.62	0	60.9	0	32.81	0	0.0037	0	0.0012	0	0.000235	1	-1E+10	1	0.87	1	7.8890	0	7.5935	0	2356	0	2260	0	487.0	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1399.80	0	0.7425	0	34.6956	0	27.822	0	1381.638	0	207.78	0	60.7	0	32.61	0	0.0037	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.8931	0	7.5944	0	2355	0	2259	0	487.8	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1299.86	0	0.7789	0	34.6961	0	27.820	0	1283.299	0	207.53	0	60.7	0	32.66	0	0.0037	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.8975	0	7.5952	0	2355	0	2258	0	488.1	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1199.35	0	0.8742	0	34.7015	0	27.818	0	1184.352	0	206.18	0	60.5	0	32.41	0	0.0037	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.8998	0	7.5949	0	2354	0	2258	0	491.2	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	1099.44	0	0.9441	0	34.7063	0	27.817	0	1085.950	0	205.06	0	60.3	0	32.21	0	0.0037	0	0.0012	0	0.000270	1	-1E+10	1	0.95	1	7.9043	0	7.5962	0	2354	0	2257	0	491.6	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	999.50	0	1.0356	0	34.7125	0	27.815	0	987.471	0	204.02	0	60.1	0	32.02	0	0.0037	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.9100	0	7.5989	0	2354	0	2256	0	490.6	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	951.44	0	1.0561	0	34.7128	0	27.814	0	940.097	0	203.68	0	60.0	0	32.00	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9110	0	7.5984	0	2353	0	2256	0	492.1	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	901.10	0	1.0881	0	34.7144	0	27.813	0	890.464	0	203.08	0	59.9	0	31.94	0	0.0073	0	0.0024	0	0.000292	1	-1E+10	1	1.01	1	7.9121	0	7.5980	0	2353	0	2256	0	493.8	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	851.46	0	1.1358	0	34.7158	0	27.811	0	841.510	0	202.50	0	59.8	0	31.81	0	0.0037	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.9158	0	7.6001	0	2353	0	2255	0	492.2	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	801.67	0	1.2017	0	34.7202	0	27.810	0	792.396	0	201.52	0	59.6	0	31.75	0	0.0037	0	0.0012	0	0.000293	1	-1E+10	1	1.01	1	7.9134	0	7.5971	0	2352	0	2255	0	498.1	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	750.90	0	1.2495	0	34.7212	0	27.807	0	742.304	0	201.30	0	59.6	0	31.72	0	0.0037	0	0.0012	0	0.000304	1	-1E+10	1	1.04	1	7.9161	0	7.5983	0	2352	0	2254	0	497.7	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	701.22	0	1.3058	0	34.7236	0	27.805	0	693.275	0	200.51	0	59.5	0	31.62	0	0.0073	0	0.0024	0	0.000315	1	-1E+10	1	1.07	1	7.9167	0	7.5978	0	2351	0	2254	0	500.0	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	650.98	0	1.3301	0	34.7223	0	27.802	0	643.682	0	199.57	0	59.2	0	31.66	0	0.0073	0	0.0024	0	0.000326	1	-1E+10	1	1.10	1	7.9151	0	7.5949	0	2351	0	2255	0	504.9	0
5905998	1	C	12/27/2018	06:18	104.636	-62.983	0	600.87	0	1.3617	0	34.7229	0	27.800	0	594.205	0	199.13	0	59.1	0	31.59	0	0.0037	0	0.0012	0	0.000293	1	-1E+10	1	1.01	1	7.9157	0	7.5939	0	2350	0	2254	0	507.1	0
