//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:34
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905140
//Univ. of Washington ID: 12728
//MBARI ID: 12728EQPACE
//No missing float profiles
//Missing Float position interpolated for station(s): 42 43 45 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 
//
//SPECIAL NOTICE:
//Bbp dark counts in flbb4498.dark were atypically large (70 vs ~50), thus value for dark counts as reported by manufacturer (in 700nm cal sheet) was used instead.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9019	
//Temperature[°C]	Sbe41cp	9019	
//Salinity[pss]	Sbe41cp	9019	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2737	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4498	
//Chl_a_corr[mg/m^3]	FLBBAP2	4498	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4498	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4498	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	164	
//pH25C[Total]	Durafet	164	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0533	0.0000	0.0059
//Oxygen	103	1.0691	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	-0.0239	-0.5184
//pH	9	1.0000	-0.0600	-0.0270
//pH	18	1.0000	-0.0601	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1799.75	0	2.5046	0	34.6255	0	27.641	0	1782.030	0	88.04	0	26.9	0	-1E+10	1	0.0037	0	0.0037	0	0.000226	1	-1E+10	1	0.84	1	7.7219	0	7.4816	0	2408	0	2355	0	728.8	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1699.95	0	2.6589	0	34.6171	0	27.621	0	1683.608	0	82.73	0	25.4	0	-1E+10	1	0.0073	0	0.0073	0	0.000248	1	-1E+10	1	0.90	1	7.7151	0	7.4740	0	2404	0	2354	0	749.0	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1599.18	0	2.8465	0	34.6121	0	27.600	0	1584.183	0	76.54	0	23.6	0	-1E+10	1	0.0073	0	0.0073	0	0.000249	1	-1E+10	1	0.90	1	7.7033	0	7.4625	0	2401	0	2355	0	779.8	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1499.97	0	3.0626	0	34.6035	0	27.573	0	1486.252	0	69.09	0	21.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000249	1	-1E+10	1	0.90	1	7.6886	0	7.4488	0	2396	0	2355	0	817.1	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1399.50	0	3.2575	0	34.5974	0	27.549	0	1387.031	0	63.53	0	19.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000249	1	-1E+10	1	0.90	1	7.6741	0	7.4350	0	2391	0	2355	0	855.7	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1299.51	0	3.5074	0	34.5887	0	27.518	0	1288.237	0	56.69	0	17.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000250	1	-1E+10	1	0.90	1	7.6592	0	7.4215	0	2385	0	2353	0	896.7	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1199.47	0	3.7846	0	34.5806	0	27.484	0	1189.347	0	49.61	0	15.6	0	-1E+10	1	0.0073	0	0.0073	0	0.000294	1	-1E+10	1	1.02	1	7.6425	0	7.4067	0	2379	0	2352	0	943.8	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	1098.99	0	4.1447	0	34.5696	0	27.438	0	1089.976	0	41.41	0	13.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000262	1	-1E+10	1	0.93	1	7.6248	0	7.3921	0	2370	0	2348	0	995.1	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	999.23	0	4.5162	0	34.5618	0	27.391	0	991.270	0	32.83	0	10.5	0	-1E+10	1	0.0146	0	0.0146	0	0.000263	1	-1E+10	1	0.94	1	7.6073	0	7.3777	0	2361	0	2344	0	1048.9	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	951.55	0	4.7063	0	34.5585	0	27.367	0	944.077	0	28.69	0	9.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000252	1	-1E+10	1	0.91	1	7.5937	0	7.3664	0	2357	0	2344	0	1089.2	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	901.26	0	4.9655	0	34.5554	0	27.335	0	894.289	0	23.34	0	7.6	0	-1E+10	1	0.0182	0	0.0182	0	0.000274	1	-1E+10	1	0.97	1	7.5767	0	7.3528	0	2353	0	2344	0	1141.0	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	851.01	0	5.2432	0	34.5529	0	27.301	0	844.529	0	18.24	0	5.9	0	-1E+10	1	0.0182	0	0.0182	0	0.000275	1	-1E+10	1	0.97	1	7.5703	0	7.3487	0	2348	0	2341	0	1165.0	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	801.30	0	5.5365	0	34.5526	0	27.265	0	795.292	0	14.71	0	4.8	0	-1E+10	1	0.0146	0	0.0146	0	0.000275	1	-1E+10	1	0.97	1	7.5649	0	7.3458	0	2343	0	2337	0	1186.9	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	751.48	0	5.8315	0	34.5469	0	27.224	0	745.935	0	12.90	0	4.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000265	1	-1E+10	1	0.94	1	7.5636	0	7.3464	0	2339	0	2333	0	1197.4	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	700.97	0	6.2910	0	34.5436	0	27.163	0	695.882	0	9.07	0	3.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000287	1	-1E+10	1	1.00	1	7.5585	0	7.3457	0	2334	0	2328	0	1220.0	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	651.61	0	6.6799	0	34.5470	0	27.114	0	646.957	0	5.84	0	2.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000310	1	-1E+10	1	1.06	1	7.5496	0	7.3407	0	2329	0	2325	0	1253.9	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	600.78	0	7.2639	0	34.5668	0	27.049	0	596.562	0	1.83	0	0.6	0	-1E+10	1	0.0182	0	0.0182	0	0.000289	1	-1E+10	1	1.00	1	7.5478	0	7.3444	0	2324	0	2319	0	1268.5	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	551.08	0	7.8573	0	34.5873	0	26.979	0	547.277	0	0.96	0	0.3	0	-1E+10	1	0.0182	0	0.0182	0	0.000355	1	-1E+10	1	1.18	1	7.5485	0	7.3505	0	2319	0	2311	0	1275.0	0
5905140	1	C	10/26/2017	15:28	235.327	7.340	0	501.21	0	8.5355	0	34.6178	0	26.901	0	497.811	0	0.87	0	0.3	0	-1E+10	1	0.0182	0	0.0182	0	0.000301	1	-1E+10	1	1.04	1	7.5530	0	7.3611	0	2314	0	2303	0	1270.3	0
