//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905133
//Univ. of Washington ID: 12729
//MBARI ID: 12729SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9269	
//Temperature[°C]	Sbe41cp	9269	
//Salinity[pss]	Sbe41cp	9269	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2727	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0084  Spec#105040 Equitech Ti probe #1604.25  MBARI ARGO float#781  DF#178  CTD#9269	
//Chl_a[mg/m^3]	FLBBAP2	4433	
//Chl_a_corr[mg/m^3]	FLBBAP2	4433	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4433	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4433	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	178	
//pH25C[Total]	Durafet	178	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0410	0.0000	0.0069
//Oxygen	103	1.0605	0.0000	0.0000
//Nitrate	1	1.0000	0.9890	-0.7906
//Nitrate	35	1.0000	0.7680	0.3880
//Nitrate	104	1.0000	1.5451	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1999.86	0	2.7397	0	34.7430	0	27.717	0	1975.253	0	195.85	0	60.2	0	30.28	0	0.0073	0	0.0024	0	0.000271	1	-1E+10	1	0.96	1	-1e10	1	-1e10	1	2336	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1899.24	0	2.7707	0	34.7107	0	27.687	0	1876.314	0	190.02	0	58.5	0	31.25	0	0.0073	0	0.0024	0	0.000282	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2335	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1799.91	0	2.7894	0	34.6722	0	27.654	0	1778.598	0	185.86	0	57.2	0	31.96	0	0.0037	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2334	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1699.42	0	2.7980	0	34.6401	0	27.627	0	1679.695	0	183.97	0	56.6	0	32.45	0	0.0073	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	-1e10	1	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1599.33	0	2.8142	0	34.5965	0	27.590	0	1581.140	0	182.83	0	56.3	0	33.04	0	0.0073	0	0.0024	0	0.000326	1	-1E+10	1	1.10	1	-1e10	1	-1e10	1	2330	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1499.25	0	2.8480	0	34.5410	0	27.542	0	1482.549	0	182.66	0	56.2	0	33.76	0	0.0037	0	0.0012	0	0.000337	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2327	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1399.04	0	2.9056	0	34.4857	0	27.492	0	1383.783	0	186.09	0	57.3	0	33.98	0	0.0073	0	0.0024	0	0.000338	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2322	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1298.79	0	2.9718	0	34.4257	0	27.437	0	1284.932	0	189.57	0	58.5	0	34.28	0	0.0037	0	0.0012	0	0.000316	1	-1E+10	1	1.07	1	-1e10	1	-1e10	1	2317	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1198.77	0	3.0653	0	34.3703	0	27.384	0	1186.261	0	196.81	0	60.8	0	33.95	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	-1e10	1	-1e10	1	2311	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	1098.51	0	3.2548	0	34.3143	0	27.321	0	1087.306	0	208.72	0	64.8	0	33.14	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2303	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	999.02	0	3.4313	0	34.2612	0	27.262	0	989.066	0	219.96	0	68.5	0	32.24	0	0.0037	0	0.0012	0	0.000317	1	-1E+10	1	1.08	1	-1e10	1	-1e10	1	2296	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	951.38	0	3.5484	0	34.2411	0	27.234	0	942.007	0	225.57	0	70.5	0	31.85	0	0.0037	0	0.0012	0	0.000351	1	-1E+10	1	1.16	1	-1e10	1	-1e10	1	2292	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	901.14	0	3.6717	0	34.2253	0	27.209	0	892.369	0	230.32	0	72.2	0	31.32	0	0.0037	0	0.0012	0	0.000373	1	-1E+10	1	1.22	1	-1e10	1	-1e10	1	2290	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	851.30	0	3.7915	0	34.2136	0	27.188	0	843.115	0	234.75	0	73.8	0	30.76	0	0.0073	0	0.0024	0	0.000351	1	-1E+10	1	1.17	1	-1e10	1	-1e10	1	2287	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	800.71	0	3.9232	0	34.2040	0	27.167	0	793.107	0	238.59	0	75.2	0	30.15	0	0.0000	0	0.0000	0	0.000373	1	-1E+10	1	1.22	1	-1e10	1	-1e10	1	2285	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	750.92	0	4.1576	0	34.1962	0	27.136	0	743.879	0	242.86	0	77.0	0	29.50	0	0.0000	0	0.0000	0	0.000363	1	-1E+10	1	1.20	1	-1e10	1	-1e10	1	2283	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	701.65	0	4.5239	0	34.2115	0	27.109	0	695.153	0	243.09	0	77.7	0	28.64	0	0.0037	0	0.0012	0	0.000396	1	-1E+10	1	1.28	1	-1e10	1	-1e10	1	2281	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	651.36	0	4.8380	0	34.2221	0	27.083	0	645.406	0	243.72	0	78.5	0	27.90	0	0.0037	0	0.0012	0	0.000386	1	-1E+10	1	1.26	1	-1e10	1	-1e10	1	2278	0	 -1e10	1	 -1e10	1
5905133	1	C	09/17/2017	03:54	349.086	-39.115	0	601.03	0	5.0959	0	34.2372	0	27.065	0	595.608	0	242.34	0	78.6	0	27.33	0	0.0037	0	0.0012	0	0.000452	1	-1E+10	1	1.43	1	-1e10	1	-1e10	1	2276	0	 -1e10	1	 -1e10	1
