//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:41
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905131
//Univ. of Washington ID: 12733
//MBARI ID: 12733SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9280	
//Temperature[°C]	Sbe41cp	9280	
//Salinity[pss]	Sbe41cp	9280	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2725	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0089  Spec#107972 Equitech Ti probe #1604.21  MBARI ARGO float#784  DF#183  CTD#9280	
//Chl_a[mg/m^3]	FLBBAP2	4430	
//Chl_a_corr[mg/m^3]	FLBBAP2	4430	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4430	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4430	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	183	
//pH25C[Total]	Durafet	183	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0495	0.0000	0.0000
//Nitrate	1	1.0000	-0.2286	0.2987
//Nitrate	46	1.0000	0.1558	1.7561
//Nitrate	102	1.0000	2.6508	0.0000
//pH	1	1.0000	-0.0407	-0.0260
//pH	23	1.0000	-0.0417	0.0000
//pH	40	1.0000	-0.0416	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1999.42	0	2.7711	0	34.7427	0	27.714	0	1975.604	0	201.03	0	61.9	0	29.44	0	0.0073	0	0.0024	0	0.000323	1	-1E+10	1	1.09	1	7.8856	0	7.6382	0	2333	0	2221	0	464.4	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1899.18	0	2.8070	0	34.7125	0	27.686	0	1876.999	0	195.53	0	60.2	0	30.36	0	0.0073	0	0.0024	0	0.000345	1	-1E+10	1	1.15	1	7.8776	0	7.6277	0	2332	0	2224	0	479.4	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1799.82	0	2.9468	0	34.6916	0	27.656	0	1779.215	0	191.33	0	59.1	0	30.86	0	0.0109	0	0.0037	0	0.000357	1	-1E+10	1	1.18	1	7.8722	0	7.6211	0	2329	0	2224	0	491.5	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1699.25	0	2.9932	0	34.6603	0	27.626	0	1680.194	0	186.73	0	57.7	0	31.73	0	0.0073	0	0.0024	0	0.000446	1	-1E+10	1	1.41	1	7.8614	0	7.6083	0	2329	0	2228	0	510.9	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1599.10	0	3.0202	0	34.6048	0	27.578	0	1581.541	0	180.69	0	55.9	0	32.96	0	0.0073	0	0.0024	0	0.000368	1	-1E+10	1	1.21	1	7.8405	0	7.5862	0	2329	0	2237	0	544.7	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1500.10	0	2.9757	0	34.5436	0	27.533	0	1483.975	0	184.79	0	57.1	0	33.35	0	0.0073	0	0.0024	0	0.000335	1	-1E+10	1	1.12	1	7.8416	0	7.5830	0	2323	0	2232	0	548.1	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1399.27	0	3.2017	0	34.5043	0	27.480	0	1384.559	0	179.54	0	55.7	0	34.01	0	0.0073	0	0.0024	0	0.000369	1	-1E+10	1	1.21	1	7.8324	0	7.5741	0	2323	0	2235	0	568.2	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1300.09	0	3.3035	0	34.4323	0	27.413	0	1286.724	0	188.93	0	58.8	0	33.65	0	0.0037	0	0.0012	0	0.000358	1	-1E+10	1	1.18	1	7.8406	0	7.5793	0	2315	0	2226	0	561.6	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1199.68	0	3.4390	0	34.3586	0	27.340	0	1187.630	0	200.37	0	62.5	0	33.24	0	0.0073	0	0.0024	0	0.000358	1	-1E+10	1	1.19	1	7.8493	0	7.5855	0	2307	0	2216	0	554.6	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	1099.29	0	3.7269	0	34.3013	0	27.266	0	1088.508	0	213.89	0	67.2	0	32.22	0	0.0073	0	0.0024	0	0.000370	1	-1E+10	1	1.22	1	7.8648	0	7.5999	0	2297	0	2202	0	538.5	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	999.83	0	3.9928	0	34.2481	0	27.197	0	990.258	0	229.05	0	72.3	0	30.81	0	0.0000	0	0.0000	0	0.000493	1	-1E+10	1	1.54	1	7.8861	0	7.6195	0	2289	0	2188	0	515.5	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	951.55	0	4.2637	0	34.2348	0	27.158	0	942.549	0	234.63	0	74.6	0	29.90	0	0.0037	0	0.0012	0	0.000449	1	-1E+10	1	1.42	1	7.8843	0	7.6198	0	2286	0	2184	0	520.7	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	901.50	0	4.4847	0	34.2363	0	27.135	0	893.079	0	236.16	0	75.5	0	29.36	0	0.0037	0	0.0012	0	0.000427	1	-1E+10	1	1.36	1	7.8909	0	7.6272	0	2284	0	2180	0	515.3	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	850.86	0	4.8517	0	34.2504	0	27.106	0	843.014	0	236.53	0	76.3	0	28.46	0	0.0000	0	0.0000	0	0.000383	1	-1E+10	1	1.25	1	7.8914	0	7.6310	0	2283	0	2177	0	518.3	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	801.59	0	5.6723	0	34.3286	0	27.072	0	794.292	0	225.01	0	74.0	0	27.75	0	0.0000	0	0.0000	0	0.000374	1	-1E+10	1	1.22	1	7.8762	0	7.6268	0	2285	0	2180	0	544.0	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	751.29	0	6.1201	0	34.3478	0	27.031	0	744.540	0	226.90	0	75.4	0	26.38	0	0.0000	0	0.0000	0	0.000408	1	-1E+10	1	1.31	1	7.8870	0	7.6413	0	2283	0	2173	0	533.0	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	701.09	0	7.2732	0	34.4746	0	26.977	0	694.874	0	211.42	0	72.2	0	24.78	0	0.0000	0	0.0000	0	0.000854	1	-1E+10	1	2.47	1	7.8811	0	7.6502	0	2287	0	2173	0	547.8	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	651.06	0	8.1502	0	34.5725	0	26.926	0	645.365	0	203.11	0	70.8	0	23.19	0	0.0037	0	0.0012	0	0.000399	1	-1E+10	1	1.29	1	7.8829	0	7.6625	0	2290	0	2171	0	551.1	0
5905131	1	C	10/09/2017	13:17	4.191	-34.633	0	600.84	0	9.2567	0	34.6936	0	26.848	0	595.656	0	202.34	0	72.3	0	20.12	0	0.0037	0	0.0012	0	0.000411	1	-1E+10	1	1.32	1	7.9027	0	7.6951	0	2294	0	2162	0	529.8	0
