//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:46
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905376
//Univ. of Washington ID: 12736
//MBARI ID: 12736SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9031	
//Temperature[°C]	Sbe41cp	9031	
//Salinity[pss]	Sbe41cp	9031	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2716	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0078  Spec#107985 Equitech Ti probe #1703.10  MBARI ARGO float#791  DF#192  CTD#9031	
//Chl_a[mg/m^3]	FLBBAP2	4426	
//Chl_a_corr[mg/m^3]	FLBBAP2	4426	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4426	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4426	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	192	
//pH25C[Total]	Durafet	192	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0413	0.0000	0.0085
//Oxygen	90	1.0622	0.0000	0.0000
//Nitrate	1	1.0000	0.8260	-35.9506
//Nitrate	3	1.0000	-0.3083	0.0000
//Nitrate	37	1.0000	-0.1447	0.9292
//Nitrate	92	1.0000	1.1562	0.0000
//pH	1	1.0000	-0.0087	0.1806
//pH	5	1.0000	-0.0000	-0.0560
//pH	21	1.0000	-0.0153	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1999.67	0	1.4712	0	34.7366	0	27.810	0	1972.462	0	198.38	0	59.1	0	31.41	0	0.0072	0	0.0024	0	0.000246	1	-1E+10	1	0.89	1	7.8811	0	7.6159	0	2358	0	2254	0	471.8	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1898.89	0	1.5557	0	34.7399	0	27.806	0	1873.496	0	197.86	0	59.1	0	31.32	0	0.0072	0	0.0024	0	0.000235	1	-1E+10	1	0.86	1	7.8835	0	7.6155	0	2355	0	2251	0	474.3	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1799.90	0	1.6489	0	34.7413	0	27.800	0	1776.243	0	196.90	0	58.9	0	31.06	0	0.0036	0	0.0012	0	0.000257	1	-1E+10	1	0.92	1	7.8862	0	7.6157	0	2353	0	2249	0	476.5	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1699.59	0	1.7422	0	34.7439	0	27.795	0	1677.647	0	195.59	0	58.7	0	31.06	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8871	0	7.6140	0	2351	0	2248	0	480.9	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1599.71	0	1.8243	0	34.7433	0	27.788	0	1579.429	0	194.31	0	58.4	0	30.81	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.8874	0	7.6119	0	2349	0	2247	0	485.9	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1499.36	0	1.9090	0	34.7415	0	27.779	0	1480.702	0	192.41	0	58.0	0	30.97	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8875	0	7.6094	0	2347	0	2246	0	491.4	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1399.70	0	2.0007	0	34.7373	0	27.768	0	1382.608	0	190.39	0	57.5	0	31.14	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8875	0	7.6071	0	2346	0	2245	0	497.0	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1299.39	0	2.0650	0	34.7326	0	27.759	0	1283.828	0	188.57	0	57.0	0	31.25	0	0.0072	0	0.0024	0	0.000326	1	-1E+10	1	1.10	1	7.8867	0	7.6035	0	2346	0	2246	0	504.1	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1199.94	0	2.1328	0	34.7196	0	27.743	0	1185.849	0	185.40	0	56.1	0	31.56	0	0.0036	0	0.0012	0	0.000293	1	-1E+10	1	1.01	1	7.8817	0	7.5963	0	2344	0	2248	0	516.3	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	1098.96	0	2.1946	0	34.7066	0	27.727	0	1086.316	0	182.57	0	55.4	0	31.90	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8770	0	7.5892	0	2343	0	2249	0	528.5	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	999.33	0	2.2479	0	34.6887	0	27.707	0	988.067	0	179.66	0	54.5	0	32.36	0	0.0036	0	0.0012	0	0.000304	1	-1E+10	1	1.04	1	7.8717	0	7.5815	0	2341	0	2250	0	541.6	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	951.11	0	2.2723	0	34.6792	0	27.698	0	940.499	0	177.95	0	54.1	0	32.65	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8666	0	7.5755	0	2341	0	2252	0	551.6	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	900.68	0	2.3011	0	34.6655	0	27.684	0	890.738	0	176.05	0	53.5	0	32.93	0	0.0072	0	0.0024	0	0.000282	1	-1E+10	1	0.99	1	7.8619	0	7.5698	0	2339	0	2253	0	561.2	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	851.60	0	2.3303	0	34.6504	0	27.669	0	842.299	0	174.45	0	53.1	0	33.06	0	0.0072	0	0.0024	0	0.000395	1	-1E+10	1	1.28	1	7.8573	0	7.5643	0	2338	0	2254	0	570.7	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	801.52	0	2.3766	0	34.6284	0	27.647	0	792.861	0	172.83	0	52.6	0	33.49	0	0.0072	0	0.0024	0	0.000316	1	-1E+10	1	1.07	1	7.8500	0	7.5566	0	2336	0	2255	0	584.3	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	751.60	0	2.4015	0	34.6049	0	27.626	0	743.569	0	171.58	0	52.3	0	33.99	0	0.0036	0	0.0012	0	0.000350	1	-1E+10	1	1.16	1	7.8451	0	7.5507	0	2334	0	2255	0	594.5	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	701.39	0	2.4189	0	34.5841	0	27.608	0	693.979	0	170.64	0	52.0	0	34.30	0	0.0072	0	0.0024	0	0.000328	1	-1E+10	1	1.10	1	7.8417	0	7.5460	0	2333	0	2255	0	602.7	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	650.97	0	2.4361	0	34.5656	0	27.591	0	644.170	0	170.42	0	51.9	0	34.39	0	0.0036	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	7.8388	0	7.5418	0	2331	0	2255	0	610.3	0
5905376	1	C	01/22/2018	15:03	141.930	-53.583	0	601.11	0	2.4610	0	34.5433	0	27.571	0	594.902	0	170.96	0	52.1	0	34.72	0	0.0036	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	7.8371	0	7.5388	0	2329	0	2254	0	616.0	0
