//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:50
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905994
//Univ. of Washington ID: 12739
//MBARI ID: 12739SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10446	
//Temperature[°C]	Sbe41cp	10446	
//Salinity[pss]	Sbe41cp	10446	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2786	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0138  Spec#114261 Equitech Ti probe #1804.18  MBARI ARGO float#826  DF#238  CTD#10446	
//Chl_a[mg/m^3]	FLBBAP2	4675	
//Chl_a_corr[mg/m^3]	FLBBAP2	4675	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4675	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4675	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	238	
//pH25C[Total]	Durafet	238	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0314	0.0000	0.0000
//Nitrate	1	1.0000	0.9305	-18.0262
//Nitrate	4	1.0000	-0.2890	-0.1493
//Nitrate	46	1.0000	-0.4681	0.0000
//pH	1	1.0000	-0.0038	0.0000
//pH	2	1.0000	-0.0282	0.0674
//pH	9	1.0000	-0.0024	0.4563
//pH	14	1.0000	0.0915	0.1181
//pH	35	1.0000	0.1609	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1799.41	0	-0.0739	0	34.6632	0	27.843	0	1774.036	0	226.61	0	64.8	0	33.45	0	0.0036	0	0.0012	0	0.000214	1	-1E+10	1	0.81	1	7.8967	0	7.6010	0	2357	0	2258	0	459.0	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1699.60	0	-0.0495	0	34.6640	0	27.842	0	1676.027	0	223.08	0	63.9	0	33.41	0	0.0036	0	0.0012	0	0.000214	1	-1E+10	1	0.81	1	7.8979	0	7.5988	0	2357	0	2259	0	463.1	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1599.13	0	-0.0253	0	34.6659	0	27.842	0	1577.325	0	221.30	0	63.4	0	33.51	0	0.0036	0	0.0012	0	0.000214	1	-1E+10	1	0.81	1	7.8972	0	7.5948	0	2357	0	2261	0	469.6	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1498.70	0	0.0050	0	34.6673	0	27.841	0	1478.615	0	219.38	0	62.9	0	33.45	0	0.0036	0	0.0012	0	0.000214	1	-1E+10	1	0.81	1	7.8985	0	7.5926	0	2356	0	2261	0	473.7	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1399.89	0	0.0398	0	34.6684	0	27.840	0	1381.452	0	217.15	0	62.3	0	33.55	0	0.0072	0	0.0024	0	0.000225	1	-1E+10	1	0.84	1	7.8991	0	7.5900	0	2355	0	2261	0	478.3	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1299.12	0	0.0784	0	34.6704	0	27.839	0	1282.315	0	214.67	0	61.7	0	33.58	0	0.0036	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	7.8991	0	7.5868	0	2357	0	2264	0	484.6	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1199.50	0	0.1126	0	34.6710	0	27.838	0	1184.264	0	212.45	0	61.1	0	33.70	0	0.0000	0	0.0000	0	0.000225	1	-1E+10	1	0.84	1	7.8993	0	7.5837	0	2357	0	2265	0	490.2	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	1099.99	0	0.1539	0	34.6739	0	27.837	0	1086.275	0	209.70	0	60.4	0	33.69	0	0.0000	0	0.0000	0	0.000237	1	-1E+10	1	0.87	1	7.8985	0	7.5799	0	2355	0	2265	0	496.7	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	999.07	0	0.1988	0	34.6760	0	27.836	0	986.851	0	206.79	0	59.6	0	33.92	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8969	0	7.5754	0	2358	0	2269	0	505.3	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	951.58	0	0.2170	0	34.6767	0	27.836	0	940.048	0	205.60	0	59.3	0	33.98	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8911	0	7.5686	0	2358	0	2271	0	515.7	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	901.21	0	0.2387	0	34.6774	0	27.835	0	890.396	0	204.16	0	58.9	0	33.88	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8894	0	7.5656	0	2357	0	2271	0	520.8	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	851.52	0	0.2600	0	34.6787	0	27.835	0	841.402	0	202.49	0	58.4	0	33.92	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8895	0	7.5642	0	2357	0	2272	0	523.8	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	800.93	0	0.2794	0	34.6804	0	27.835	0	791.509	0	201.00	0	58.1	0	34.11	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8869	0	7.5602	0	2357	0	2273	0	530.4	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	751.63	0	0.2974	0	34.6810	0	27.834	0	742.876	0	199.78	0	57.7	0	34.20	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1	7.8863	0	7.5581	0	2357	0	2274	0	534.3	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	701.38	0	0.3220	0	34.6822	0	27.834	0	693.295	0	198.02	0	57.3	0	34.13	0	0.0000	0	0.0000	0	0.000260	1	-1E+10	1	0.93	1	7.8834	0	7.5540	0	2357	0	2276	0	541.6	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	650.93	0	0.3526	0	34.6823	0	27.832	0	643.504	0	196.26	0	56.8	0	34.24	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1	7.8818	0	7.5511	0	2357	0	2276	0	546.9	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	600.89	0	0.3774	0	34.6832	0	27.831	0	594.106	0	194.89	0	56.4	0	34.16	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8806	0	7.5486	0	2356	0	2276	0	551.7	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	550.94	0	0.4005	0	34.6840	0	27.830	0	544.786	0	193.62	0	56.1	0	34.40	0	0.0036	0	0.0012	0	0.000237	1	-1E+10	1	0.87	1	7.8780	0	7.5447	0	2356	0	2278	0	558.6	0
5905994	1	C	01/24/2019	09:30	323.158	-65.745	0	500.86	0	0.4268	0	34.6853	0	27.830	0	495.325	0	191.07	0	55.4	0	34.42	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8764	0	7.5417	0	2356	0	2279	0	564.4	0
