//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:52
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905377
//Univ. of Washington ID: 12741
//MBARI ID: 12741SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9065	
//Temperature[°C]	Sbe41cp	9065	
//Salinity[pss]	Sbe41cp	9065	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2718	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0141 Spec#107987 Equitech Ti probe #1703.12  MBARI ARGO float#797  DF#198  CTD#9065	
//Chl_a[mg/m^3]	FLBBAP2	4428	
//Chl_a_corr[mg/m^3]	FLBBAP2	4428	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4428	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4428	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	198	
//pH25C[Total]	Durafet	198	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0541	0.0000	0.0000
//Nitrate	1	1.0000	3.7159	-44.7596
//Nitrate	3	1.0000	2.1943	-0.1359
//Nitrate	104	1.0000	1.6344	0.0000
//pH	1	1.0000	-0.0187	0.0292
//pH	18	1.0000	-0.0152	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1999.88	0	0.8766	0	34.7108	0	27.829	0	1971.287	0	207.83	0	61.0	0	32.36	0	0.0037	0	0.0012	0	0.000257	1	-1E+10	1	0.92	1	7.8843	0	7.6106	0	2355	0	2253	0	465.6	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1898.98	0	0.9689	0	34.7153	0	27.826	0	1872.273	0	205.62	0	60.5	0	32.03	0	0.0000	0	0.0000	0	0.000269	1	-1E+10	1	0.95	1	7.8867	0	7.6103	0	2355	0	2253	0	468.7	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1799.66	0	1.0425	0	34.7196	0	27.824	0	1774.764	0	204.70	0	60.3	0	31.83	0	0.0037	0	0.0012	0	0.000459	1	-1E+10	1	1.45	1	7.8892	0	7.6099	0	2355	0	2253	0	471.3	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1699.27	0	1.1123	0	34.7230	0	27.822	0	1676.159	0	203.74	0	60.1	0	31.67	0	0.0037	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.8924	0	7.6100	0	2354	0	2252	0	473.3	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1600.02	0	1.1832	0	34.7268	0	27.820	0	1578.628	0	203.10	0	60.1	0	31.54	0	0.0037	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.8928	0	7.6077	0	2354	0	2253	0	478.4	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1499.47	0	1.2522	0	34.7300	0	27.817	0	1479.774	0	202.23	0	59.9	0	31.39	0	0.0037	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.8962	0	7.6080	0	2354	0	2252	0	480.1	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1399.38	0	1.3462	0	34.7336	0	27.813	0	1381.326	0	201.18	0	59.7	0	31.24	0	0.0073	0	0.0024	0	0.000270	1	-1E+10	1	0.95	1	7.8986	0	7.6079	0	2352	0	2251	0	482.7	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1299.69	0	1.4370	0	34.7368	0	27.809	0	1283.225	0	200.12	0	59.6	0	30.93	0	0.0037	0	0.0012	0	0.000382	1	-1E+10	1	1.25	1	7.9012	0	7.6078	0	2350	0	2249	0	485.2	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1199.58	0	1.5101	0	34.7391	0	27.805	0	1184.665	0	199.06	0	59.4	0	30.79	0	0.0073	0	0.0024	0	0.000292	1	-1E+10	1	1.01	1	7.9031	0	7.6068	0	2350	0	2249	0	488.7	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	1099.28	0	1.5680	0	34.7356	0	27.798	0	1085.871	0	197.26	0	58.9	0	30.86	0	0.0073	0	0.0024	0	0.000337	1	-1E+10	1	1.13	1	7.9020	0	7.6029	0	2350	0	2251	0	496.0	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	999.57	0	1.6691	0	34.7394	0	27.793	0	987.612	0	195.58	0	58.6	0	30.79	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9033	0	7.6019	0	2349	0	2251	0	500.3	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	951.46	0	1.6988	0	34.7379	0	27.789	0	940.185	0	194.79	0	58.4	0	30.86	0	0.0073	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.9074	0	7.6042	0	2348	0	2249	0	497.9	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	901.34	0	1.7589	0	34.7386	0	27.785	0	890.766	0	193.83	0	58.2	0	30.77	0	0.0073	0	0.0024	0	0.000427	1	-1E+10	1	1.36	1	7.9075	0	7.6033	0	2348	0	2249	0	500.8	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	850.99	0	1.8241	0	34.7388	0	27.780	0	841.108	0	193.00	0	58.0	0	30.71	0	0.0073	0	0.0024	0	0.000315	1	-1E+10	1	1.07	1	7.9069	0	7.6019	0	2348	0	2249	0	504.7	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	801.24	0	1.8566	0	34.7367	0	27.776	0	792.030	0	191.86	0	57.7	0	30.83	0	0.0037	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9056	0	7.5993	0	2347	0	2250	0	509.3	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	750.77	0	1.8749	0	34.7310	0	27.769	0	742.230	0	189.99	0	57.2	0	30.94	0	0.0037	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9023	0	7.5947	0	2346	0	2250	0	516.5	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	701.61	0	1.8930	0	34.7262	0	27.764	0	693.710	0	188.37	0	56.7	0	31.25	0	0.0073	0	0.0024	0	0.000371	1	-1E+10	1	1.22	1	7.8994	0	7.5905	0	2346	0	2251	0	523.1	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	650.59	0	1.9342	0	34.7199	0	27.755	0	643.344	0	186.91	0	56.3	0	31.26	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.8952	0	7.5854	0	2345	0	2252	0	531.8	0
5905377	1	C	02/07/2018	04:19	149.995	-62.020	0	600.80	0	1.9625	0	34.7158	0	27.750	0	594.179	0	185.75	0	56.0	0	31.47	0	0.0109	0	0.0037	0	0.000349	1	-1E+10	1	1.16	1	7.8938	0	7.5827	0	2344	0	2253	0	536.7	0
