//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 01:56
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905135
//Univ. of Washington ID: 12742
//MBARI ID: 12742SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9282	
//Temperature[°C]	Sbe41cp	9282	
//Salinity[pss]	Sbe41cp	9282	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2677	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0081  Spec#107974 Equitech Ti probe #1703.02  MBARI ARGO float#786  DF#185  CTD#9282	
//Chl_a[mg/m^3]	FLBBAP2	4435	
//Chl_a_corr[mg/m^3]	FLBBAP2	4435	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4435	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4435	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	185	
//pH25C[Total]	Durafet	185	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0429	0.0000	0.0000
//Nitrate	1	1.0000	-0.9661	-0.7223
//Nitrate	16	1.0000	-1.4721	0.0000
//Nitrate	70	1.0000	-1.1620	0.7385
//Nitrate	104	1.0000	-0.5155	0.0000
//pH	1	1.0000	-0.0081	-0.5698
//pH	3	1.0000	-0.0264	0.0064
//pH	22	1.0000	-0.0154	-0.0055
//pH	81	1.0000	-0.0212	0.0099
//pH	104	1.0000	-0.0191	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1897.92	0	2.1320	0	34.7583	0	27.778	0	1873.574	0	195.34	0	59.2	0	30.83	0	0.0072	0	0.0024	0	0.000276	1	-1E+10	1	0.97	1	7.8831	0	7.6232	0	2347	0	2240	0	474.8	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1799.21	0	2.2084	0	34.7517	0	27.766	0	1776.542	0	192.54	0	58.4	0	30.95	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.8806	0	7.6184	0	2347	0	2242	0	483.4	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1699.10	0	2.2807	0	34.7435	0	27.753	0	1678.089	0	189.67	0	57.7	0	31.23	0	0.0036	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.8765	0	7.6120	0	2346	0	2243	0	494.1	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1599.60	0	2.3844	0	34.7406	0	27.742	0	1580.190	0	187.86	0	57.3	0	31.23	0	0.0072	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	7.8764	0	7.6097	0	2345	0	2244	0	500.3	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1496.78	0	2.4541	0	34.7327	0	27.729	0	1478.977	0	186.25	0	56.9	0	31.43	0	0.0072	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	7.8760	0	7.6065	0	2346	0	2246	0	507.2	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1399.63	0	2.4456	0	34.7000	0	27.703	0	1383.300	0	181.27	0	55.3	0	32.46	0	0.0072	0	0.0024	0	0.000300	1	-1E+10	1	1.03	1	7.8681	0	7.5957	0	2345	0	2248	0	522.9	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1297.47	0	2.5082	0	34.6750	0	27.677	0	1282.643	0	177.79	0	54.3	0	32.80	0	0.0072	0	0.0024	0	0.000323	1	-1E+10	1	1.09	1	7.8621	0	7.5874	0	2343	0	2250	0	536.9	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1199.41	0	2.5341	0	34.6255	0	27.634	0	1185.980	0	174.13	0	53.2	0	33.84	0	0.0072	0	0.0024	0	0.000312	1	-1E+10	1	1.06	1	7.8541	0	7.5770	0	2338	0	2249	0	553.0	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	1100.02	0	2.5557	0	34.5935	0	27.606	0	1087.960	0	173.43	0	53.0	0	34.23	0	0.0072	0	0.0024	0	0.000323	1	-1E+10	1	1.09	1	7.8527	0	7.5724	0	2334	0	2246	0	560.6	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	999.55	0	2.5967	0	34.5359	0	27.556	0	988.828	0	174.14	0	53.3	0	34.97	0	0.0072	0	0.0024	0	0.000359	1	-1E+10	1	1.19	1	7.8502	0	7.5671	0	2327	0	2242	0	569.2	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	951.36	0	2.6238	0	34.4975	0	27.523	0	941.263	0	176.68	0	54.1	0	34.96	0	0.0036	0	0.0012	0	0.000370	1	-1E+10	1	1.22	1	7.8491	0	7.5647	0	2323	0	2239	0	573.2	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	900.66	0	2.6431	0	34.4718	0	27.500	0	891.209	0	179.31	0	54.9	0	35.03	0	0.0036	0	0.0012	0	0.000359	1	-1E+10	1	1.19	1	7.8517	0	7.5655	0	2320	0	2236	0	572.3	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	850.83	0	2.6442	0	34.4412	0	27.475	0	842.002	0	182.98	0	56.0	0	35.16	0	0.0072	0	0.0024	0	0.000347	1	-1E+10	1	1.16	1	7.8538	0	7.5656	0	2319	0	2235	0	572.3	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	801.55	0	2.7142	0	34.4045	0	27.440	0	793.327	0	188.24	0	57.7	0	34.84	0	0.0072	0	0.0024	0	0.000371	1	-1E+10	1	1.22	1	7.8592	0	7.5696	0	2316	0	2230	0	567.5	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	751.78	0	2.7436	0	34.3661	0	27.406	0	744.156	0	195.10	0	59.8	0	34.62	0	0.0072	0	0.0024	0	0.000394	1	-1E+10	1	1.28	1	7.8658	0	7.5742	0	2311	0	2225	0	560.6	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	701.28	0	2.7793	0	34.3363	0	27.379	0	694.252	0	201.80	0	61.9	0	34.23	0	0.0072	0	0.0024	0	0.000383	1	-1E+10	1	1.25	1	7.8747	0	7.5809	0	2309	0	2220	0	551.1	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	651.08	0	2.8085	0	34.3044	0	27.351	0	644.633	0	209.50	0	64.3	0	33.90	0	0.0072	0	0.0024	0	0.000383	1	-1E+10	1	1.25	1	7.8836	0	7.5876	0	2307	0	2216	0	541.8	0
5905135	1	C	09/21/2017	05:33	346.917	-47.498	0	601.64	0	2.8203	0	34.2693	0	27.321	0	595.753	0	217.46	0	66.8	0	33.38	0	0.0072	0	0.0024	0	0.000406	1	-1E+10	1	1.31	1	7.8943	0	7.5956	0	2306	0	2212	0	530.5	0
