//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:00
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905130
//Univ. of Washington ID: 12744
//MBARI ID: 12744SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9268	
//Temperature[°C]	Sbe41cp	9268	
//Salinity[pss]	Sbe41cp	9268	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2732	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0088  Spec#105038 Equitech Ti probe #1604.28  MBARI ARGO float#780  DF#177  CTD#9268	
//Chl_a[mg/m^3]	FLBBAP2	4429	
//Chl_a_corr[mg/m^3]	FLBBAP2	4429	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4429	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4429	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	177	
//pH25C[Total]	Durafet	177	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0247	0.0000	0.0116
//Oxygen	75	1.0483	0.0000	-0.1763
//Oxygen	76	1.0434	0.0000	0.0000
//Nitrate	1	1.0000	-1.2102	0.3445
//Nitrate	33	1.0000	-0.8981	0.0000
//pH	1	1.0000	-0.1886	-1.2157
//pH	3	1.0000	-0.2372	-0.0912
//pH	17	1.0000	-0.2633	-0.0118
//pH	29	1.0000	-0.2705	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1999.12	0	2.7875	0	34.7750	0	27.738	0	1975.342	0	201.21	0	62.0	0	28.61	0	0.0072	0	0.0024	0	0.000369	1	-1E+10	1	1.21	1	7.8994	0	7.6509	0	2335	0	2218	0	449.0	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1898.58	0	2.7959	0	34.7465	0	27.714	0	1876.441	0	194.69	0	59.9	0	29.52	0	0.0072	0	0.0024	0	0.000347	1	-1E+10	1	1.16	1	7.8872	0	7.6362	0	2336	0	2224	0	468.6	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1798.86	0	2.7965	0	34.7063	0	27.681	0	1778.300	0	188.16	0	57.9	0	30.71	0	0.0072	0	0.0024	0	0.000380	1	-1E+10	1	1.24	1	7.8674	0	7.6147	0	2336	0	2233	0	498.3	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1698.79	0	2.8855	0	34.6801	0	27.651	0	1679.770	0	181.51	0	56.0	0	31.54	0	0.0036	0	0.0012	0	0.000380	1	-1E+10	1	1.24	1	7.8573	0	7.6030	0	2336	0	2238	0	517.5	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1599.22	0	2.9074	0	34.6337	0	27.612	0	1581.686	0	177.84	0	54.9	0	32.27	0	0.0072	0	0.0024	0	0.000380	1	-1E+10	1	1.24	1	7.8481	0	7.5914	0	2335	0	2241	0	535.6	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1498.80	0	3.0163	0	34.5917	0	27.568	0	1482.719	0	174.69	0	54.0	0	33.15	0	0.0072	0	0.0024	0	0.000402	1	-1E+10	1	1.30	1	7.8412	0	7.5830	0	2334	0	2243	0	551.4	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1399.71	0	3.0191	0	34.5250	0	27.513	0	1385.017	0	177.01	0	54.7	0	33.76	0	0.0072	0	0.0024	0	0.000381	1	-1E+10	1	1.24	1	7.8382	0	7.5768	0	2328	0	2240	0	560.7	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1299.49	0	3.2510	0	34.4864	0	27.461	0	1286.154	0	176.94	0	55.0	0	33.69	0	0.0036	0	0.0012	0	0.000425	1	-1E+10	1	1.36	1	7.8396	0	7.5777	0	2325	0	2236	0	565.2	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1199.96	0	3.4738	0	34.4217	0	27.387	0	1187.926	0	185.80	0	58.0	0	33.62	0	0.0072	0	0.0024	0	0.000490	1	-1E+10	1	1.53	1	7.8452	0	7.5822	0	2316	0	2226	0	562.4	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	1099.83	0	3.6554	0	34.3685	0	27.327	0	1089.060	0	194.12	0	60.9	0	32.77	0	0.0072	0	0.0024	0	0.000415	1	-1E+10	1	1.33	1	7.8590	0	7.5936	0	2308	0	2214	0	548.5	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	999.82	0	4.3952	0	34.3803	0	27.260	0	990.265	0	195.69	0	62.5	0	31.61	0	0.0036	0	0.0012	0	0.000449	1	-1E+10	1	1.42	1	7.8664	0	7.6069	0	2303	0	2205	0	545.9	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	951.63	0	4.3749	0	34.3303	0	27.222	0	942.644	0	205.74	0	65.6	0	30.83	0	0.0036	0	0.0012	0	0.000481	1	-1E+10	1	1.51	1	7.8797	0	7.6171	0	2297	0	2196	0	529.5	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	901.33	0	4.5258	0	34.3140	0	27.192	0	892.926	0	211.84	0	67.8	0	30.35	0	0.0036	0	0.0012	0	0.000428	1	-1E+10	1	1.37	1	7.8878	0	7.6248	0	2294	0	2189	0	521.5	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	850.94	0	5.0467	0	34.3507	0	27.163	0	843.108	0	205.85	0	66.7	0	29.57	0	0.0036	0	0.0012	0	0.000526	1	-1E+10	1	1.62	1	7.8883	0	7.6308	0	2294	0	2187	0	525.1	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	801.03	0	5.3151	0	34.3476	0	27.129	0	793.752	0	212.50	0	69.3	0	28.39	0	0.0000	0	0.0000	0	0.000721	1	-1E+10	1	2.13	1	7.9002	0	7.6437	0	2290	0	2179	0	512.5	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	751.13	0	6.0424	0	34.3982	0	27.080	0	744.394	0	208.20	0	69.1	0	27.34	0	0.0072	0	0.0024	0	0.000593	1	-1E+10	1	1.79	1	7.8968	0	7.6492	0	2290	0	2177	0	521.4	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	701.59	0	6.8488	0	34.4541	0	27.019	0	695.381	0	206.50	0	69.8	0	25.41	0	0.0000	0	0.0000	0	0.000442	1	-1E+10	1	1.40	1	7.9105	0	7.6716	0	2289	0	2167	0	508.0	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	650.96	0	7.5155	0	34.5055	0	26.966	0	645.277	0	206.38	0	70.9	0	23.68	0	0.0036	0	0.0012	0	0.000519	1	-1E+10	1	1.60	1	7.9199	0	7.6881	0	2289	0	2161	0	500.1	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	601.61	0	8.3716	0	34.6109	0	26.922	0	596.429	0	202.64	0	71.0	0	21.75	0	0.0036	0	0.0012	0	0.000455	1	-1E+10	1	1.44	1	7.9337	0	7.7116	0	2293	0	2155	0	487.6	0
5905130	1	C	09/10/2017	07:31	11.795	-34.435	0	551.15	0	8.9363	0	34.6429	0	26.859	0	546.470	0	209.75	0	74.4	0	19.64	0	0.0036	0	0.0012	0	0.000434	1	-1E+10	1	1.38	1	7.9447	0	7.7284	0	2292	0	2147	0	477.5	0
