//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 09:26
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905132
//Univ. of Washington ID: 12745
//MBARI ID: 12745SOOCN
//Missing Float profile(s) for station(s): 67 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 112 
//No position for station(s): 68 111 113 
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 68 111 113 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9279	
//Temperature[°C]	Sbe41cp	9279	
//Salinity[pss]	Sbe41cp	9279	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2729	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0083  Spec#105039 Equitech Ti probe #1604.32  MBARI ARGO float#783  DF#182  CTD#9279	
//Chl_a[mg/m^3]	FLBBAP2	4432	
//Chl_a_corr[mg/m^3]	FLBBAP2	4432	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4432	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4432	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	182	
//pH25C[Total]	Durafet	182	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0351	0.0000	0.0072
//Oxygen	66	1.0479	0.0000	0.0000
//Nitrate	1	1.0000	-1.3036	-1.0541
//Nitrate	28	1.0000	-2.0544	0.0000
//Nitrate	66	1.0000	-1.9294	0.0000
//pH	1	1.0000	-0.0458	0.0000
//pH	20	1.0000	-0.0238	-0.0323
//pH	33	1.0000	-0.0277	0.0429
//pH	43	1.0000	-0.0182	-0.0264
//pH	60	1.0000	-0.0337	0.1152
//pH	66	1.0000	-0.0195	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1999.83	0	2.7831	0	34.7704	0	27.735	0	1975.677	0	205.74	0	63.3	0	28.26	0	0.0036	0	0.0012	0	0.000311	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1899.64	0	2.8082	0	34.7398	0	27.707	0	1877.138	0	199.78	0	61.5	0	29.27	0	0.0108	0	0.0036	0	0.000300	1	-1E+10	1	1.03	1	-1e10	1	-1e10	1	2332	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1796.42	0	2.8202	0	34.6987	0	27.673	0	1775.572	0	193.73	0	59.7	0	30.34	0	0.0036	0	0.0012	0	0.000311	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2332	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1698.82	0	2.8302	0	34.6459	0	27.629	0	1679.490	0	188.38	0	58.0	0	31.57	0	0.0036	0	0.0012	0	0.000311	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2331	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1599.54	0	2.8444	0	34.6037	0	27.593	0	1581.710	0	185.64	0	57.2	0	32.26	0	0.0036	0	0.0012	0	0.000322	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2329	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1500.03	0	2.8948	0	34.5441	0	27.540	0	1483.658	0	184.61	0	56.9	0	33.14	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	-1e10	1	-1e10	1	2325	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1399.02	0	2.9835	0	34.4764	0	27.478	0	1384.082	0	187.48	0	57.9	0	33.47	0	0.0036	0	0.0012	0	0.000323	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2319	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1298.72	0	3.0307	0	34.4106	0	27.420	0	1285.158	0	192.61	0	59.5	0	33.72	0	0.0036	0	0.0012	0	0.000334	1	-1E+10	1	1.12	1	-1e10	1	-1e10	1	2315	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1199.22	0	3.1601	0	34.3531	0	27.362	0	1186.978	0	201.38	0	62.4	0	33.31	0	0.0036	0	0.0012	0	0.000334	1	-1E+10	1	1.12	1	-1e10	1	-1e10	1	2308	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	1098.79	0	3.3719	0	34.3120	0	27.309	0	1087.833	0	210.46	0	65.5	0	32.51	0	0.0072	0	0.0024	0	0.000357	1	-1E+10	1	1.18	1	-1e10	1	-1e10	1	2302	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	998.84	0	3.6108	0	34.2595	0	27.243	0	989.115	0	223.48	0	69.9	0	31.62	0	0.0036	0	0.0012	0	0.000379	1	-1E+10	1	1.24	1	7.8935	0	7.6207	0	2294	0	2191	0	507.7	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	951.21	0	3.7472	0	34.2407	0	27.215	0	942.056	0	229.32	0	72.0	0	30.94	0	0.0000	0	0.0000	0	0.000390	1	-1E+10	1	1.27	1	-1e10	1	-1e10	1	2291	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	900.72	0	3.9557	0	34.2325	0	27.187	0	892.159	0	233.29	0	73.6	0	30.43	0	0.0036	0	0.0012	0	0.000358	1	-1E+10	1	1.18	1	-1e10	1	-1e10	1	2288	0	 -1e10	1	 -1e10	1
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	851.31	0	4.2230	0	34.2192	0	27.149	0	843.318	0	239.86	0	76.2	0	29.46	0	0.0036	0	0.0012	0	0.000391	1	-1E+10	1	1.27	1	7.9124	0	7.6414	0	2285	0	2175	0	492.1	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	801.38	0	4.4761	0	34.2174	0	27.120	0	793.952	0	243.32	0	77.7	0	28.65	0	0.0036	0	0.0012	0	0.000392	1	-1E+10	1	1.27	1	7.9184	0	7.6487	0	2283	0	2170	0	487.6	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	751.01	0	4.8181	0	34.2330	0	27.095	0	744.139	0	243.15	0	78.3	0	27.95	0	0.0036	0	0.0012	0	0.000403	1	-1E+10	1	1.30	1	7.9223	0	7.6554	0	2281	0	2167	0	486.1	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	701.19	0	5.5298	0	34.2841	0	27.052	0	694.857	0	238.73	0	78.2	0	26.73	0	0.0000	0	0.0000	0	0.000393	1	-1E+10	1	1.28	1	7.9238	0	7.6651	0	2280	0	2162	0	488.4	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	651.44	0	6.4767	0	34.3881	0	27.016	0	645.634	0	228.64	0	76.6	0	25.22	0	0.0036	0	0.0012	0	0.000384	1	-1E+10	1	1.25	1	7.9233	0	7.6764	0	2281	0	2158	0	493.7	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	601.36	0	7.1724	0	34.4526	0	26.972	0	596.072	0	222.86	0	75.9	0	24.01	0	0.0036	0	0.0012	0	0.000374	1	-1E+10	1	1.23	1	7.9270	0	7.6881	0	2280	0	2152	0	493.0	0
5905132	1	C	10/06/2017	19:50	350.072	-36.545	0	551.31	0	8.3150	0	34.5883	0	26.912	0	546.527	0	215.96	0	75.6	0	21.66	0	0.0036	0	0.0012	0	0.000473	1	-1E+10	1	1.48	1	7.9362	0	7.7113	0	2286	0	2148	0	487.4	0
