//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:07
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905984
//Univ. of Washington ID: 12747
//MBARI ID: 12747SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 5 7 8 9 10 11 12 14 16 17 18 20 21 23 24 25 26 27 28 30 31 32 33 34 36 37 38 40 41 42 43 44 45 46 47 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 69 70 71 72 73 74 75 76 77 78 79 80 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9288	
//Temperature[°C]	Sbe41cp	9288	
//Salinity[pss]	Sbe41cp	9288	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2684	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0099  Spec#107984 Equitech Ti probe #1703.08  MBARI ARGO float#793  DF#193  CTD#9288	
//Chl_a[mg/m^3]	FLBBAP2	4437	
//Chl_a_corr[mg/m^3]	FLBBAP2	4437	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4437	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4437	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	193	
//pH25C[Total]	Durafet	193	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0575	0.0000	0.0000
//Nitrate	1	1.0000	-3.1129	-0.2188
//Nitrate	39	1.0000	-3.0153	0.3894
//Nitrate	65	1.0000	-2.7758	0.0000
//pH	1	1.0000	0.0000	0.0000
//pH	2	1.0000	0.0531	0.0000
//pH	3	1.0000	-0.0602	0.0560
//pH	41	1.0000	-0.0294	0.0324
//pH	65	1.0000	-0.0147	0.0000
//pH	79	1.0000	-0.0147	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	1198.41	0	2.9758	0	34.4282	0	27.438	0	1185.896	0	188.83	0	58.3	0	34.38	8	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	8.1305	8	7.8401	8	2317	0	2125	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	1099.37	0	3.0906	0	34.3755	0	27.385	0	1088.146	0	196.48	0	60.8	0	34.11	8	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	8.1210	8	7.8292	8	2311	0	2125	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	999.53	0	3.2061	0	34.3093	0	27.321	0	989.561	0	206.48	0	64.0	0	33.50	8	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	8.0682	8	7.7774	8	2304	0	2142	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	951.65	0	3.2547	0	34.2710	0	27.286	0	942.266	0	214.84	0	66.7	0	33.01	8	0.0036	0	0.0012	0	0.000291	1	-1E+10	1	1.01	1	8.0411	8	7.7509	8	2300	0	2149	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	901.06	0	3.3680	0	34.2552	0	27.262	0	892.283	0	220.68	0	68.7	0	32.47	8	0.0036	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	8.0199	8	7.7310	8	2297	0	2155	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	851.48	0	3.4967	0	34.2321	0	27.231	0	843.286	0	225.59	0	70.4	0	31.92	8	0.0000	0	0.0000	0	0.000280	1	-1E+10	1	0.98	1	8.0083	8	7.7202	8	2294	0	2156	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	801.25	0	3.6954	0	34.2072	0	27.192	0	793.635	0	232.41	0	72.9	0	31.08	8	0.0036	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.9885	8	7.7029	8	2290	0	2159	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	751.59	0	3.8738	0	34.1927	0	27.162	0	744.535	0	240.34	0	75.7	0	30.28	8	0.0036	0	0.0012	0	0.000316	1	-1E+10	1	1.08	1	7.9760	8	7.6920	8	2288	0	2162	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	701.52	0	4.0626	0	34.1830	0	27.135	0	695.018	0	246.90	0	78.1	0	29.48	8	0.0000	0	0.0000	0	0.000281	1	-1E+10	1	0.98	1	7.9716	8	7.6889	8	2286	0	2161	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	651.45	0	4.3433	0	34.2003	0	27.119	0	645.490	0	248.85	0	79.2	0	28.50	8	0.0036	0	0.0012	0	0.000317	1	-1E+10	1	1.08	1	7.9678	8	7.6876	8	2285	0	2161	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	601.38	0	4.5875	0	34.1557	0	27.057	0	595.950	0	254.08	0	81.3	0	27.84	8	0.0000	0	0.0000	0	0.000353	1	-1E+10	1	1.17	1	7.9549	8	7.6774	8	2279	0	2159	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	551.67	0	4.7402	0	34.1807	0	27.060	0	546.754	0	258.48	0	83.1	0	27.20	8	0.0036	0	0.0012	0	0.000401	1	-1E+10	1	1.30	1	-1e10	1	-1e10	1	2278	0	 -1e10	1	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	501.30	0	5.0736	0	34.1725	0	27.015	0	496.893	0	259.19	0	84.0	0	26.26	8	0.0000	0	0.0000	0	0.000378	1	-1E+10	1	1.24	1	7.9401	8	7.6670	8	2275	0	2160	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	450.69	0	5.3691	0	34.1748	0	26.982	0	446.782	0	260.21	0	84.9	0	25.82	8	0.0036	0	0.0012	0	0.000390	1	-1E+10	1	1.27	1	7.9406	8	7.6698	8	2273	0	2157	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	400.89	0	5.8180	0	34.1952	0	26.944	0	397.462	0	253.46	0	83.6	0	24.95	8	0.0000	0	0.0000	0	0.000332	1	-1E+10	1	1.12	1	7.9333	8	7.6677	8	2272	0	2156	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	381.15	0	5.9573	0	34.2283	0	26.953	0	377.908	0	251.56	0	83.2	0	24.65	8	0.0036	0	0.0012	0	0.000379	1	-1E+10	1	1.24	1	7.9359	8	7.6713	8	2275	0	2157	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	361.03	0	6.2910	0	34.1970	0	26.885	0	357.977	0	247.91	0	82.6	0	24.34	8	0.0000	0	0.0000	0	0.000427	1	-1E+10	1	1.36	1	7.9299	8	7.6699	8	2272	0	2155	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	351.02	0	6.5225	0	34.1972	0	26.855	0	348.060	0	245.88	0	82.4	0	23.87	8	0.0036	0	0.0012	0	0.000416	1	-1E+10	1	1.33	1	7.9247	8	7.6680	8	2271	0	2155	8	 -1e10	1
5905984	1	C	10/24/2018	10:26	318.644	-39.207	0	341.21	0	6.6845	0	34.2739	0	26.894	0	338.341	0	243.59	0	82.0	0	23.65	8	0.0036	0	0.0012	0	0.000380	1	-1E+10	1	1.24	1	7.9288	8	7.6737	8	2278	0	2159	8	 -1e10	1
