//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905992
//Univ. of Washington ID: 12749
//MBARI ID: 12749SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10449	
//Temperature[°C]	Sbe41cp	10449	
//Salinity[pss]	Sbe41cp	10449	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2849	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0103  Spec#114260 Equitech Ti probe #1804.17  MBARI ARGO float#824  DF#239  CTD#10449	
//Chl_a[mg/m^3]	FLBBAP2	4673	
//Chl_a_corr[mg/m^3]	FLBBAP2	4673	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4673	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4673	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	239	
//pH25C[Total]	Durafet	239	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0376	0.0000	0.0000
//Nitrate	1	1.0000	1.0687	-30.8725
//Nitrate	3	1.0000	-0.1666	-0.1515
//Nitrate	47	1.0000	-0.2586	0.0000
//pH	1	1.0000	-0.0146	-0.9916
//pH	3	1.0000	-0.0398	0.0914
//pH	16	1.0000	0.0063	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1799.56	0	-0.0332	0	34.6625	0	27.840	0	1774.077	0	226.54	0	64.9	0	33.03	0	0.0036	0	0.0012	0	0.000210	1	-1E+10	1	0.80	1	7.8942	0	7.5994	0	2356	0	2258	0	462.1	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1699.59	0	-0.0077	0	34.6638	0	27.840	0	1675.917	0	224.60	0	64.4	0	33.14	0	0.0036	0	0.0012	0	0.000222	1	-1E+10	1	0.83	1	7.8980	0	7.5995	0	2356	0	2258	0	463.2	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1598.94	0	0.0243	0	34.6649	0	27.839	0	1577.043	0	222.89	0	63.9	0	33.10	0	0.0036	0	0.0012	0	0.000222	1	-1E+10	1	0.83	1	7.9012	0	7.5990	0	2357	0	2259	0	465.2	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1499.35	0	0.0562	0	34.6670	0	27.838	0	1479.165	0	221.15	0	63.5	0	33.11	0	0.0036	0	0.0012	0	0.000222	1	-1E+10	1	0.83	1	7.9018	0	7.5963	0	2357	0	2260	0	470.1	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1399.92	0	0.0857	0	34.6677	0	27.837	0	1381.399	0	219.61	0	63.1	0	33.17	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9027	0	7.5939	0	2356	0	2260	0	474.5	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1299.41	0	0.1207	0	34.6701	0	27.837	0	1282.524	0	217.83	0	62.6	0	33.25	0	0.0072	0	0.0024	0	0.000222	1	-1E+10	1	0.83	1	7.9045	0	7.5922	0	2357	0	2262	0	478.2	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1199.75	0	0.1580	0	34.6720	0	27.836	0	1184.439	0	216.04	0	62.2	0	33.13	0	0.0072	0	0.0024	0	0.000222	1	-1E+10	1	0.83	1	7.9065	0	7.5909	0	2357	0	2262	0	481.7	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	1099.89	0	0.1892	0	34.6733	0	27.835	0	1086.112	0	214.50	0	61.8	0	33.16	0	0.0072	0	0.0024	0	0.000233	1	-1E+10	1	0.86	1	7.9076	0	7.5886	0	2356	0	2262	0	486.0	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	999.36	0	0.2274	0	34.6751	0	27.834	0	987.077	0	212.86	0	61.4	0	33.14	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9091	0	7.5867	0	2357	0	2264	0	490.2	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	951.37	0	0.2504	0	34.6769	0	27.834	0	939.785	0	211.61	0	61.1	0	33.16	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.9079	0	7.5842	0	2357	0	2265	0	494.6	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	901.33	0	0.2696	0	34.6770	0	27.833	0	890.460	0	210.70	0	60.8	0	33.30	0	0.0036	0	0.0012	0	0.000245	1	-1E+10	1	0.89	1	7.9054	0	7.5803	0	2356	0	2266	0	500.7	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	851.21	0	0.2890	0	34.6786	0	27.833	0	841.046	0	209.91	0	60.6	0	33.16	0	0.0036	0	0.0012	0	0.000256	1	-1E+10	1	0.92	1	7.9065	0	7.5797	0	2357	0	2266	0	502.3	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	800.67	0	0.3101	0	34.6792	0	27.832	0	791.205	0	208.86	0	60.4	0	33.17	0	0.0036	0	0.0012	0	0.000256	1	-1E+10	1	0.92	1	7.9073	0	7.5789	0	2357	0	2267	0	504.4	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	751.41	0	0.3338	0	34.6808	0	27.832	0	742.615	0	207.97	0	60.1	0	33.18	0	0.0036	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.9066	0	7.5767	0	2357	0	2267	0	508.3	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	698.80	0	0.3567	0	34.6809	0	27.831	0	690.708	0	207.02	0	59.9	0	33.23	0	0.0072	0	0.0024	0	0.000256	1	-1E+10	1	0.92	1	7.9075	0	7.5759	0	2356	0	2267	0	510.2	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	651.40	0	0.3766	0	34.6826	0	27.831	0	643.930	0	206.10	0	59.7	0	33.24	0	0.0036	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.9088	0	7.5756	0	2356	0	2267	0	511.5	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	600.85	0	0.3955	0	34.6826	0	27.830	0	594.031	0	205.51	0	59.5	0	33.15	0	0.0036	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.9082	0	7.5734	0	2356	0	2267	0	515.4	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	551.39	0	0.4235	0	34.6834	0	27.828	0	545.197	0	204.46	0	59.3	0	33.12	0	0.0036	0	0.0012	0	0.000473	1	-1E+10	1	1.48	1	7.9075	0	7.5715	0	2356	0	2268	0	519.3	0
5905992	1	C	01/22/2019	13:45	332.897	-66.623	0	501.43	0	0.4459	0	34.6845	0	27.828	0	495.858	0	203.70	0	59.1	0	33.06	0	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	7.9112	0	7.5732	0	2356	0	2267	0	517.7	0
