//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:13
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906004
//Univ. of Washington ID: 12752
//MBARI ID: 12752SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 9 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10225	
//Temperature[°C]	Sbe41cp	10225	
//Salinity[pss]	Sbe41cp	10225	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2846	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0093 Spec#107992 Equitech Ti probe #1703.27  MBARI ARGO float#804  DF#214  CTD#10225	
//Chl_a[mg/m^3]	FLBBAP2	4671	
//Chl_a_corr[mg/m^3]	FLBBAP2	4671	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4671	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4671	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	214	
//pH25C[Total]	Durafet	214	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0644	0.0000	0.0000
//Nitrate	1	1.0000	3.3213	-31.6157
//Nitrate	4	1.0000	1.0728	4.2474
//Nitrate	9	1.0000	1.5877	0.0000
//pH	1	1.0000	-0.0109	-0.9076
//pH	3	1.0000	-0.0355	-0.0096
//pH	9	1.0000	-0.0377	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	1599.09	0	0.2076	0	34.6679	0	27.831	0	1577.887	0	213.59	0	61.6	0	33.31	0	0.0037	0	0.0012	0	0.000610	1	-1E+10	1	1.84	1	7.8913	8	7.5927	8	2358	0	2262	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	1499.20	0	0.2034	0	34.6685	0	27.832	0	1479.670	0	212.91	0	61.4	0	33.22	0	0.0073	0	0.0024	0	0.000220	1	-1E+10	1	0.82	1	7.8944	8	7.5918	8	2357	0	2262	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	1399.46	0	0.2191	0	34.6695	0	27.831	0	1381.556	0	212.26	0	61.2	0	33.25	0	0.0037	0	0.0012	0	0.000231	1	-1E+10	1	0.85	1	7.8960	8	7.5897	8	2355	0	2260	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	1299.66	0	0.2533	0	34.6710	0	27.830	0	1283.336	0	210.85	0	60.8	0	33.23	0	0.0073	0	0.0024	0	0.000242	1	-1E+10	1	0.88	1	7.9018	8	7.5917	8	2357	0	2262	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	1199.99	0	0.2636	0	34.6716	0	27.830	0	1185.198	0	210.36	0	60.7	0	33.13	0	0.0037	0	0.0012	0	0.000242	1	-1E+10	1	0.88	1	7.9076	8	7.5934	8	2357	0	2262	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	1099.06	0	0.2822	0	34.6728	0	27.830	0	1085.773	0	209.47	0	60.5	0	33.15	0	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.9083	8	7.5905	8	2354	0	2259	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	999.52	0	0.3187	0	34.6746	0	27.829	0	987.671	0	208.14	0	60.2	0	33.23	0	0.0037	0	0.0012	0	0.000242	1	-1E+10	1	0.88	1	7.9106	8	7.5893	8	2357	0	2263	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	951.75	0	0.3367	0	34.6751	0	27.828	0	940.574	0	207.51	0	60.0	0	33.22	0	0.0000	0	0.0000	0	0.000242	1	-1E+10	1	0.88	1	7.9012	8	7.5794	8	2357	0	2267	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	901.19	0	0.3514	0	34.6767	0	27.828	0	890.715	0	206.95	0	59.9	0	33.22	0	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.8998	8	7.5765	8	2357	0	2268	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	851.71	0	0.3865	0	34.6759	0	27.825	0	841.910	0	206.10	0	59.7	0	33.11	0	0.0000	0	0.0000	0	0.000521	1	-1E+10	1	1.61	1	7.8993	8	7.5747	8	2356	0	2268	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	801.64	0	0.4993	0	34.6803	0	27.822	0	792.511	0	202.95	0	58.9	0	33.10	0	0.0037	0	0.0012	0	0.000265	1	-1E+10	1	0.94	1	7.8943	8	7.5700	8	2355	0	2268	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	751.39	0	0.5514	0	34.6816	0	27.820	0	742.923	0	202.41	0	58.9	0	32.98	0	0.0037	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.8998	8	7.5738	8	2355	0	2267	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	701.17	0	0.5913	0	34.6821	0	27.818	0	693.352	0	202.21	0	58.9	0	32.97	0	0.0073	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.8991	8	7.5718	8	2355	0	2267	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	650.82	0	0.6012	0	34.6817	0	27.817	0	643.641	0	202.47	0	59.0	0	32.82	0	0.0000	0	0.0000	0	0.000298	1	-1E+10	1	1.03	1	7.9036	8	7.5742	8	2355	0	2266	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	601.58	0	0.6063	0	34.6817	0	27.816	0	595.015	0	202.47	0	59.0	0	32.90	0	0.0037	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.9045	8	7.5732	8	2355	0	2267	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	550.84	0	0.6407	0	34.6818	0	27.814	0	544.895	0	201.96	0	58.9	0	32.77	0	0.0073	0	0.0024	0	0.000332	1	-1E+10	1	1.12	1	7.9076	8	7.5746	8	2355	0	2266	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	500.88	0	0.6488	0	34.6815	0	27.813	0	495.533	0	201.82	0	58.8	0	32.73	0	0.0000	0	0.0000	0	0.000321	1	-1E+10	1	1.09	1	7.9110	8	7.5758	8	2355	0	2266	8	 -1e10	1
5906004	1	C	03/05/2019	08:21	317.711	-60.613	0	451.71	0	0.6581	0	34.6811	0	27.812	0	446.941	0	201.74	0	58.8	0	32.75	0	0.0037	0	0.0012	0	0.000365	1	-1E+10	1	1.20	1	7.9086	8	7.5720	8	2355	0	2267	8	 -1e10	1
