//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:13
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905636
//Univ. of Washington ID: 12754
//MBARI ID: 12754SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9029	
//Temperature[°C]	Sbe41cp	9029	
//Salinity[pss]	Sbe41cp	9029	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2714	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0062 Spec#107989 Equitech Ti probe #1703.21  MBARI ARGO float#789  DF#189  CTD#9029	
//Chl_a[mg/m^3]	FLBBAP2	4424	
//Chl_a_corr[mg/m^3]	FLBBAP2	4424	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4424	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4424	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	189	
//pH25C[Total]	Durafet	189	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0302	0.0000	0.0000
//Nitrate	1	1.0000	2.4535	-34.0950
//Nitrate	3	1.0000	1.1222	0.6246
//Nitrate	74	1.0000	2.2731	0.0000
//pH	1	1.0000	-0.0236	0.0556
//pH	29	1.0000	0.0140	0.0110
//pH	74	1.0000	0.0279	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1799.49	0	0.6210	0	34.7035	0	27.837	0	1773.964	0	203.70	0	59.4	0	32.85	0	0.0036	0	0.0012	0	0.000242	1	-1E+10	1	0.88	1	7.8836	4	7.5990	4	2359	0	2261	4	477.2	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1698.83	0	0.6550	0	34.7036	0	27.835	0	1675.129	0	201.49	0	58.8	0	32.70	0	0.0036	0	0.0012	0	0.000242	1	-1E+10	1	0.88	1	7.8819	4	7.5942	4	2358	0	2262	4	484.7	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1599.46	0	0.6927	0	34.7051	0	27.834	0	1577.515	0	200.52	0	58.5	0	32.70	0	0.0036	0	0.0012	0	0.000231	1	-1E+10	1	0.85	1	7.8876	4	7.5962	4	2357	0	2261	4	483.5	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1499.57	0	0.7251	0	34.7071	0	27.833	0	1479.344	0	199.65	0	58.3	0	32.60	0	0.0036	0	0.0012	0	0.000231	1	-1E+10	1	0.85	1	7.8926	4	7.5974	4	2357	0	2260	4	483.2	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1399.88	0	0.7537	0	34.7080	0	27.831	0	1381.325	0	198.99	0	58.2	0	32.59	0	0.0072	0	0.0024	0	0.000243	1	-1E+10	1	0.88	1	7.8951	4	7.5964	4	2356	0	2259	4	485.6	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1299.09	0	0.8093	0	34.7097	0	27.829	0	1282.177	0	197.68	0	57.9	0	32.56	0	0.0072	0	0.0024	0	0.000232	1	-1E+10	1	0.86	1	7.8999	4	7.5978	4	2355	0	2258	4	485.4	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1199.15	0	0.8506	0	34.7122	0	27.828	0	1183.819	0	196.51	0	57.6	0	32.47	0	0.0072	0	0.0024	0	0.000243	1	-1E+10	1	0.88	1	7.9025	4	7.5969	4	2355	0	2258	4	488.3	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	1099.03	0	0.8994	0	34.7145	0	27.826	0	1085.237	0	195.04	0	57.2	0	32.47	0	0.0036	0	0.0012	0	0.000276	1	-1E+10	1	0.97	1	7.9029	4	7.5943	4	2355	0	2259	4	493.6	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	999.17	0	0.9649	0	34.7165	0	27.823	0	986.865	0	193.20	0	56.8	0	32.54	0	0.0036	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.9034	4	7.5920	4	2355	0	2259	4	498.9	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	951.62	0	0.9863	0	34.7182	0	27.823	0	940.008	0	192.50	0	56.6	0	32.51	0	0.0072	0	0.0024	0	0.000243	1	-1E+10	1	0.89	1	7.8921	4	7.5804	4	2355	0	2264	4	516.2	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	901.61	0	1.0102	0	34.7193	0	27.822	0	890.714	0	191.66	0	56.4	0	32.49	0	0.0072	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.8903	4	7.5773	4	2355	0	2265	4	521.7	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	851.37	0	1.0430	0	34.7209	0	27.821	0	841.182	0	190.64	0	56.2	0	32.44	0	0.0072	0	0.0024	0	0.000265	1	-1E+10	1	0.94	1	7.8866	4	7.5725	4	2355	0	2267	4	529.7	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	800.69	0	1.0714	0	34.7210	0	27.819	0	791.205	0	189.55	0	55.9	0	32.54	0	0.0072	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.8838	4	7.5686	4	2355	0	2268	4	536.6	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	750.95	0	1.1002	0	34.7225	0	27.818	0	742.142	0	188.51	0	55.6	0	32.51	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8829	4	7.5663	4	2354	0	2269	4	541.0	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	701.06	0	1.1270	0	34.7240	0	27.817	0	692.920	0	187.31	0	55.3	0	32.59	0	0.0072	0	0.0024	0	0.000266	1	-1E+10	1	0.94	1	7.8793	4	7.5616	4	2354	0	2270	4	549.2	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	651.52	0	1.1573	0	34.7247	0	27.816	0	644.032	0	186.15	0	55.0	0	32.55	0	0.0072	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	7.8757	4	7.5570	4	2354	0	2271	4	557.3	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	601.71	0	1.1886	0	34.7258	0	27.814	0	594.866	0	185.01	0	54.7	0	32.62	0	0.0072	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	7.8729	4	7.5530	4	2353	0	2272	4	564.5	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	551.30	0	1.2261	0	34.7269	0	27.812	0	545.095	0	183.44	0	54.3	0	32.62	0	0.0036	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.8706	4	7.5496	4	2353	0	2273	4	571.2	4
5905636	1	C	04/18/2018	11:56	210.751	-66.997	0	500.86	0	1.2782	0	34.7270	0	27.809	0	495.283	0	181.89	0	53.9	0	32.46	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8711	4	7.5490	4	2352	0	2272	4	573.8	4
