//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:17
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905366
//Univ. of Washington ID: 12757
//MBARI ID: 12757SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9024	
//Temperature[°C]	Sbe41cp	9024	
//Salinity[pss]	Sbe41cp	9024	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2682	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0087  Spec#107975 Equitech Ti probe #1703.04  MBARI ARGO float#776  DF#175  CTD#9024	
//Chl_a[mg/m^3]	FLBBAP2	4419	
//Chl_a_corr[mg/m^3]	FLBBAP2	4419	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4419	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4419	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	175	
//pH25C[Total]	Durafet	175	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0516	0.0000	0.0000
//Nitrate	1	1.0000	2.1579	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1900.05	0	1.8616	0	34.7554	0	27.796	0	1875.066	0	204.90	0	61.6	0	29.67	0	0.0036	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1799.67	0	1.9183	0	34.7520	0	27.789	0	1776.425	0	200.51	0	60.4	0	29.95	0	0.0036	0	0.0012	0	0.000326	1	-1E+10	1	1.10	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1699.82	0	2.0070	0	34.7497	0	27.780	0	1678.259	0	197.75	0	59.7	0	30.06	0	0.0000	0	0.0000	0	0.000283	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1599.68	0	2.1016	0	34.7482	0	27.770	0	1579.762	0	195.79	0	59.3	0	29.84	0	0.0000	0	0.0000	0	0.000316	1	-1E+10	1	1.07	1	-1e10	1	-1e10	1	2348	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1499.00	0	2.1585	0	34.7408	0	27.759	0	1480.688	0	193.07	0	58.5	0	30.21	0	0.0072	0	0.0024	0	0.000305	1	-1E+10	1	1.05	1	-1e10	1	-1e10	1	2347	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1400.09	0	2.2105	0	34.7334	0	27.749	0	1383.310	0	190.70	0	57.9	0	30.42	0	0.0036	0	0.0012	0	0.000305	1	-1E+10	1	1.05	1	-1e10	1	-1e10	1	2346	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1298.59	0	2.2483	0	34.7190	0	27.733	0	1283.335	0	186.86	0	56.7	0	30.95	0	0.0036	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2345	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1199.26	0	2.2980	0	34.7023	0	27.715	0	1185.452	0	182.90	0	55.6	0	31.39	0	0.0036	0	0.0012	0	0.000327	1	-1E+10	1	1.10	1	-1e10	1	-1e10	1	2343	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	1100.04	0	2.3375	0	34.6843	0	27.697	0	1087.631	0	179.26	0	54.5	0	31.90	0	0.0036	0	0.0012	0	0.000316	1	-1E+10	1	1.08	1	-1e10	1	-1e10	1	2342	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	999.80	0	2.3714	0	34.6606	0	27.675	0	988.758	0	176.12	0	53.6	0	32.36	0	0.0036	0	0.0012	0	0.000372	1	-1E+10	1	1.22	1	-1e10	1	-1e10	1	2340	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	950.79	0	2.3880	0	34.6453	0	27.661	0	940.399	0	174.14	0	53.0	0	32.76	0	0.0072	0	0.0024	0	0.000383	1	-1E+10	1	1.25	1	-1e10	1	-1e10	1	2340	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	901.02	0	2.4167	0	34.6236	0	27.641	0	891.279	0	172.78	0	52.7	0	33.04	0	0.0072	0	0.0024	0	0.000581	1	-1E+10	1	1.77	1	-1e10	1	-1e10	1	2338	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	851.38	0	2.4299	0	34.6031	0	27.623	0	842.275	0	171.14	0	52.2	0	33.53	0	0.0036	0	0.0012	0	0.000460	1	-1E+10	1	1.45	1	-1e10	1	-1e10	1	2336	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	800.75	0	2.4564	0	34.5817	0	27.603	0	792.283	0	170.43	0	52.0	0	33.84	0	0.0072	0	0.0024	0	0.000372	1	-1E+10	1	1.22	1	-1e10	1	-1e10	1	2334	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	751.44	0	2.4709	0	34.5561	0	27.581	0	743.582	0	170.25	0	51.9	0	34.09	0	0.0036	0	0.0012	0	0.000383	1	-1E+10	1	1.25	1	-1e10	1	-1e10	1	2332	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	701.19	0	2.4910	0	34.5283	0	27.557	0	693.941	0	171.02	0	52.2	0	34.33	0	0.0036	0	0.0012	0	0.000405	1	-1E+10	1	1.31	1	-1e10	1	-1e10	1	2330	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	651.37	0	2.5097	0	34.4953	0	27.529	0	644.713	0	172.87	0	52.8	0	34.57	0	0.0036	0	0.0012	0	0.000472	1	-1E+10	1	1.48	1	-1e10	1	-1e10	1	2327	0	 -1e10	1	 -1e10	1
5905366	1	C	01/25/2018	02:31	57.594	-51.010	0	601.64	0	2.5072	0	34.4642	0	27.504	0	595.562	0	176.16	0	53.7	0	34.70	0	0.0072	0	0.0024	0	0.000538	1	-1E+10	1	1.65	1	-1e10	1	-1e10	1	2324	0	 -1e10	1	 -1e10	1
