//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:21
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905637
//Univ. of Washington ID: 12758
//MBARI ID: 12758SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 73 74 75 76 77 78 79 80 
//Missing Float data detected for adjusted station(s): 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9026	
//Temperature[°C]	Sbe41cp	9026	
//Salinity[pss]	Sbe41cp	9026	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2711	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0110 Spec#107980 Equitech Ti probe #1703.17  MBARI ARGO float#799  DF#174  CTD#9026	
//Chl_a[mg/m^3]	FLBBAP2	4421	
//Chl_a_corr[mg/m^3]	FLBBAP2	4421	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4421	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4421	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	174	
//pH25C[Total]	Durafet	174	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0641	0.0000	0.0000
//Nitrate	1	1.0000	1.1117	-24.8364
//Nitrate	3	1.0000	0.2758	0.2234
//Nitrate	72	1.0000	0.4940	0.0000
//pH	1	1.0000	-0.0452	0.0000
//pH	2	1.0000	-0.0552	0.0129
//pH	10	1.0000	-0.0500	0.0000
//pH	11	1.0000	-0.0702	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1798.75	0	0.6607	0	34.7022	0	27.834	0	1773.008	0	208.06	0	60.7	0	32.34	4	0.0000	0	0.0000	0	0.000213	1	-1E+10	1	0.81	1	7.8886	0	7.6046	0	2360	0	2263	0	472.4	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1699.38	0	0.6982	0	34.7033	0	27.832	0	1675.452	0	205.26	0	59.9	0	32.24	4	0.0000	0	0.0000	0	0.000224	1	-1E+10	1	0.84	1	7.8896	0	7.6024	0	2359	0	2263	0	476.7	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1599.19	0	0.7306	0	34.7048	0	27.831	0	1577.046	0	204.61	0	59.8	0	32.12	4	0.0073	0	0.0024	0	0.000235	1	-1E+10	1	0.87	1	7.8935	0	7.6027	0	2359	0	2263	0	477.8	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1499.81	0	0.7702	0	34.7066	0	27.830	0	1479.389	0	203.72	0	59.6	0	32.12	4	0.0037	0	0.0012	0	0.000224	1	-1E+10	1	0.84	1	7.8963	0	7.6021	0	2359	0	2263	0	480.0	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1399.45	0	0.8120	0	34.7075	0	27.827	0	1380.723	0	202.52	0	59.3	0	32.07	4	0.0037	0	0.0012	0	0.000224	1	-1E+10	1	0.84	1	7.8965	0	7.5991	0	2358	0	2263	0	485.4	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1299.07	0	0.8670	0	34.7099	0	27.825	0	1281.992	0	201.11	0	59.0	0	31.99	4	0.0037	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	7.8990	0	7.5985	0	2357	0	2262	0	487.9	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1200.20	0	0.9134	0	34.7120	0	27.824	0	1184.700	0	199.90	0	58.7	0	31.91	4	0.0000	0	0.0000	0	0.000225	1	-1E+10	1	0.84	1	7.8995	0	7.5960	0	2355	0	2262	0	492.9	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	1099.47	0	0.9707	0	34.7141	0	27.821	0	1085.530	0	198.50	0	58.4	0	31.83	4	0.0037	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.9018	0	7.5951	0	2354	0	2261	0	495.9	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	999.60	0	1.0223	0	34.7168	0	27.820	0	987.162	0	197.05	0	58.0	0	31.92	4	0.0073	0	0.0024	0	0.000247	1	-1E+10	1	0.90	1	7.9047	0	7.5947	0	2353	0	2261	0	498.1	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	951.16	0	1.0530	0	34.7172	0	27.818	0	939.433	0	195.60	0	57.6	0	31.89	4	0.0037	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.9011	0	7.5901	0	2354	0	2262	0	505.6	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	901.28	0	1.0807	0	34.7188	0	27.817	0	890.274	0	194.67	0	57.4	0	31.82	4	0.0037	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.9006	0	7.5882	0	2354	0	2264	0	509.4	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	851.09	0	1.1098	0	34.7203	0	27.816	0	840.798	0	193.62	0	57.1	0	31.90	4	0.0037	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.8987	0	7.5850	0	2354	0	2265	0	514.9	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	800.69	0	1.1461	0	34.7220	0	27.815	0	791.102	0	192.32	0	56.8	0	31.87	4	0.0037	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8966	0	7.5818	0	2354	0	2266	0	520.8	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	751.32	0	1.1802	0	34.7224	0	27.813	0	742.411	0	191.69	0	56.7	0	31.91	4	0.0000	0	0.0000	0	0.000259	1	-1E+10	1	0.93	1	7.8987	0	7.5824	0	2354	0	2265	0	521.1	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	701.07	0	1.2178	0	34.7244	0	27.812	0	692.841	0	189.67	0	56.1	0	31.90	4	0.0000	0	0.0000	0	0.000270	1	-1E+10	1	0.96	1	7.8939	0	7.5768	0	2354	0	2267	0	530.6	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	651.29	0	1.2460	0	34.7241	0	27.809	0	643.722	0	187.90	0	55.6	0	31.96	4	0.0073	0	0.0024	0	0.000270	1	-1E+10	1	0.96	1	7.8932	0	7.5747	0	2353	0	2268	0	534.6	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	600.98	0	1.2830	0	34.7249	0	27.807	0	594.068	0	187.03	0	55.4	0	31.92	4	0.0037	0	0.0012	0	0.000382	1	-1E+10	1	1.25	1	7.8941	0	7.5741	0	2352	0	2267	0	536.6	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	551.10	0	1.3195	0	34.7256	0	27.805	0	544.827	0	186.21	0	55.3	0	31.99	4	0.0073	0	0.0024	0	0.000270	1	-1E+10	1	0.96	1	7.8938	0	7.5725	0	2352	0	2267	0	540.1	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	501.21	0	1.3552	0	34.7262	0	27.803	0	495.564	0	186.48	0	55.4	0	31.90	4	0.0037	0	0.0012	0	0.000270	1	-1E+10	1	0.96	1	7.8975	0	7.5745	0	2351	0	2266	0	538.3	0
5905637	1	C	04/08/2018	08:35	209.964	-69.011	0	450.87	0	1.4018	0	34.7259	0	27.799	0	445.845	0	185.76	0	55.2	0	31.79	4	0.0037	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.8967	0	7.5726	0	2351	0	2266	0	542.5	0
