//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:24
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905634
//Univ. of Washington ID: 12768
//MBARI ID: 12768SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//SPECIAL NOTICE:
//This float was deployed near ice and went under ice prior to transmission of its first profile.  
//Therefore, there is no position info or in-air oxygen data associated with the first cycle (nor with any subsequent cycles under ice).
//Position coordinates from msg file 12768.000.msg were used as an estimate for the position of the first profile.  This position data
//has an ODV quality flag of 4 for "questionable", and only exists in the ODV files (ie, this estimated position info is not written to Argo).
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9030	
//Temperature[°C]	Sbe41cp	9030	
//Salinity[pss]	Sbe41cp	9030	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2715	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#unknown Spec#107986 Equitech Ti probe #1703.20  MBARI ARGO float#790  DF#191  CTD#9030	
//Chl_a[mg/m^3]	FLBBAP2	4425	
//Chl_a_corr[mg/m^3]	FLBBAP2	4425	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4425	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4425	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	191	
//pH25C[Total]	Durafet	191	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0350	0.0000	0.0000
//Nitrate	1	1.0000	1.9137	-20.9471
//Nitrate	3	1.0000	0.9970	-0.2467
//Nitrate	31	1.0000	1.1796	0.0000
//pH	1	1.0000	-0.0437	0.0000
//pH	29	1.0000	-0.0348	-0.2097
//pH	31	1.0000	-0.0347	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1999.61	0	0.6382	0	34.7039	0	27.838	0	1969.831	0	203.88	0	59.4	0	32.69	4	0.0000	0	0.0000	0	0.000260	1	-1E+10	1	0.93	1	7.8740	4	7.5987	4	2356	0	2262	4	477.5	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1899.35	0	0.6674	0	34.7045	0	27.836	0	1871.504	0	202.93	0	59.2	0	32.74	4	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1	7.8771	4	7.5982	4	2356	0	2262	4	479.4	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1799.01	0	0.6987	0	34.7057	0	27.835	0	1773.053	0	202.12	0	59.0	0	32.66	4	0.0000	0	0.0000	0	0.000271	1	-1E+10	1	0.96	1	7.8785	4	7.5962	4	2356	0	2263	4	483.4	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1698.40	0	0.7364	0	34.7074	0	27.833	0	1674.292	0	201.30	0	58.8	0	32.49	4	0.0036	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.8805	4	7.5947	4	2356	0	2263	4	486.9	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1599.38	0	0.7671	0	34.7089	0	27.832	0	1577.045	0	200.52	0	58.7	0	32.50	4	0.0036	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.8838	4	7.5945	4	2356	0	2263	4	488.6	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1499.51	0	0.8057	0	34.7104	0	27.831	0	1478.919	0	199.62	0	58.5	0	32.41	4	0.0036	0	0.0012	0	0.000283	1	-1E+10	1	0.99	1	7.8869	4	7.5941	4	2356	0	2263	4	490.7	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1398.38	0	0.8503	0	34.7126	0	27.829	0	1379.508	0	198.55	0	58.2	0	32.22	4	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.8902	4	7.5940	4	2356	0	2263	4	492.5	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1299.11	0	0.8970	0	34.7141	0	27.827	0	1281.879	0	197.46	0	58.0	0	32.27	4	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.8935	4	7.5940	4	2356	0	2263	4	494.2	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1198.85	0	0.9445	0	34.7160	0	27.825	0	1183.230	0	196.28	0	57.7	0	32.28	4	0.0036	0	0.0012	0	0.000283	1	-1E+10	1	0.99	1	7.8966	4	7.5937	4	2356	0	2263	4	496.4	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	1099.41	0	1.0017	0	34.7187	0	27.823	0	1085.343	0	194.47	0	57.2	0	32.29	4	0.0072	0	0.0024	0	0.000328	1	-1E+10	1	1.11	1	7.8974	4	7.5916	4	2356	0	2264	4	501.4	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	998.95	0	1.0537	0	34.7202	0	27.820	0	986.404	0	193.13	0	56.9	0	32.11	4	0.0000	0	0.0000	0	0.000306	1	-1E+10	1	1.05	1	7.9002	4	7.5911	4	2355	0	2264	4	503.9	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	951.57	0	1.0770	0	34.7216	0	27.820	0	939.725	0	192.33	0	56.7	0	32.25	4	0.0036	0	0.0012	0	0.000283	1	-1E+10	1	0.99	1	7.8982	4	7.5878	4	2356	0	2265	4	509.4	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	901.50	0	1.1107	0	34.7227	0	27.818	0	890.385	0	191.37	0	56.5	0	32.17	4	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.8958	4	7.5843	4	2355	0	2266	4	515.6	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	851.60	0	1.1436	0	34.7244	0	27.817	0	841.201	0	190.27	0	56.2	0	32.29	4	0.0036	0	0.0012	0	0.000306	1	-1E+10	1	1.05	1	7.8965	4	7.5836	4	2355	0	2266	4	517.7	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	801.12	0	1.1798	0	34.7253	0	27.815	0	791.433	0	189.16	0	55.9	0	32.15	4	0.0072	0	0.0024	0	0.000306	1	-1E+10	1	1.05	1	7.8964	4	7.5821	4	2355	0	2267	4	521.0	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	750.90	0	1.2147	0	34.7267	0	27.814	0	741.909	0	188.19	0	55.7	0	32.13	4	0.0108	0	0.0036	0	0.000306	1	-1E+10	1	1.05	1	7.8968	4	7.5811	4	2355	0	2267	4	523.6	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	700.84	0	1.2486	0	34.7270	0	27.812	0	692.531	0	187.25	0	55.5	0	32.11	4	0.0000	0	0.0000	0	0.000317	1	-1E+10	1	1.08	1	7.8969	4	7.5798	4	2354	0	2267	4	526.6	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	651.12	0	1.2833	0	34.7282	0	27.810	0	643.478	0	186.36	0	55.2	0	32.13	4	0.0000	0	0.0000	0	0.000306	1	-1E+10	1	1.05	1	7.8959	4	7.5776	4	2354	0	2267	4	530.9	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	601.02	0	1.3241	0	34.7291	0	27.808	0	594.037	0	185.44	0	55.0	0	32.11	4	0.0072	0	0.0024	0	0.000329	1	-1E+10	1	1.11	1	7.8965	4	7.5769	4	2354	0	2267	4	533.3	4
5905634	1	C	03/22/2018	09:52	189.999	-71.009	4	550.85	0	1.3794	0	34.7293	0	27.804	0	544.516	0	184.67	0	54.9	0	32.03	4	0.0036	0	0.0012	0	0.000306	1	-1E+10	1	1.05	1	7.8964	4	7.5757	4	2352	0	2266	4	536.5	4
