//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905373
//Univ. of Washington ID: 12769
//MBARI ID: 12769SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9018	
//Temperature[°C]	Sbe41cp	9018	
//Salinity[pss]	Sbe41cp	9018	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2687	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#JOHNDOE  Spec#105034 Equitech Ti probe #1604.17  MBARI ARGO float#772  DF#170  CTD#9018	
//Chl_a[mg/m^3]	FLBBAP2	4414	
//Chl_a_corr[mg/m^3]	FLBBAP2	4414	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4414	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4414	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	170	
//pH25C[Total]	Durafet	170	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0427	0.0000	0.0000
//Nitrate	1	1.0000	4.0295	-40.4861
//Nitrate	3	1.0000	2.5364	0.1057
//Nitrate	91	1.0000	2.9568	0.0000
//pH	1	1.0000	-0.0113	-0.4795
//pH	3	1.0000	-0.0161	0.0936
//pH	14	1.0000	0.0122	0.0000
//pH	15	1.0000	-0.0035	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1999.72	0	1.2065	0	34.7269	0	27.820	0	1971.391	0	204.19	0	60.4	0	31.40	0	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.8883	0	7.6188	0	2354	0	2249	0	462.0	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1899.52	0	1.2924	0	34.7315	0	27.818	0	1873.051	0	202.98	0	60.2	0	31.27	0	0.0036	0	0.0012	0	0.000283	1	-1E+10	1	0.99	1	7.8918	0	7.6194	0	2354	0	2248	0	463.6	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1799.53	0	1.3728	0	34.7342	0	27.814	0	1774.871	0	202.11	0	60.1	0	31.09	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.8953	0	7.6200	0	2353	0	2247	0	465.0	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1699.58	0	1.4520	0	34.7380	0	27.811	0	1676.685	0	201.16	0	59.9	0	31.02	0	0.0000	0	0.0000	0	0.000295	1	-1E+10	1	1.02	1	7.8961	0	7.6182	0	2353	0	2248	0	469.7	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1599.97	0	1.5380	0	34.7403	0	27.806	0	1578.788	0	200.22	0	59.7	0	30.87	0	0.0000	0	0.0000	0	0.000295	1	-1E+10	1	1.02	1	7.8974	0	7.6169	0	2352	0	2247	0	473.7	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1499.02	0	1.6295	0	34.7438	0	27.802	0	1479.527	0	199.07	0	59.5	0	30.87	0	0.0000	0	0.0000	0	0.000317	1	-1E+10	1	1.08	1	7.8980	0	7.6149	0	2351	0	2247	0	478.8	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1399.36	0	1.7131	0	34.7450	0	27.796	0	1381.489	0	197.93	0	59.3	0	30.75	0	0.0036	0	0.0012	0	0.000306	1	-1E+10	1	1.05	1	7.8993	0	7.6136	0	2350	0	2247	0	482.8	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1299.76	0	1.7964	0	34.7453	0	27.790	0	1283.464	0	197.05	0	59.2	0	30.69	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.9013	0	7.6129	0	2349	0	2246	0	486.1	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1199.72	0	1.8768	0	34.7433	0	27.781	0	1184.959	0	195.40	0	58.8	0	30.78	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	7.9003	0	7.6095	0	2348	0	2246	0	493.0	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	1098.94	0	1.9524	0	34.7389	0	27.772	0	1085.680	0	193.13	0	58.2	0	30.84	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	7.8985	0	7.6052	0	2347	0	2247	0	501.1	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	999.93	0	2.0208	0	34.7299	0	27.758	0	988.097	0	189.98	0	57.4	0	31.15	0	0.0072	0	0.0024	0	0.000329	1	-1E+10	1	1.11	1	7.8942	0	7.5986	0	2345	0	2248	0	512.3	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	950.65	0	2.0482	0	34.7240	0	27.751	0	939.511	0	188.24	0	56.9	0	31.40	0	0.0036	0	0.0012	0	0.000329	1	-1E+10	1	1.11	1	7.8966	0	7.5994	0	2344	0	2246	0	512.0	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	900.99	0	2.0837	0	34.7177	0	27.743	0	890.538	0	186.49	0	56.4	0	31.75	0	0.0036	0	0.0012	0	0.000373	1	-1E+10	1	1.22	1	7.8923	0	7.5942	0	2343	0	2248	0	520.5	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	851.05	0	2.1117	0	34.7119	0	27.736	0	841.278	0	184.99	0	56.0	0	31.75	0	0.0000	0	0.0000	0	0.000318	1	-1E+10	1	1.08	1	7.8904	0	7.5910	0	2343	0	2248	0	526.1	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	801.26	0	2.1391	0	34.7045	0	27.728	0	792.154	0	183.69	0	55.6	0	31.93	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	7.8871	0	7.5866	0	2342	0	2249	0	533.3	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	751.04	0	2.1598	0	34.6944	0	27.718	0	742.594	0	181.96	0	55.1	0	32.26	0	0.0036	0	0.0012	0	0.000374	1	-1E+10	1	1.22	1	7.8822	0	7.5806	0	2341	0	2250	0	542.9	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	701.40	0	2.1764	0	34.6782	0	27.703	0	693.595	0	179.35	0	54.4	0	32.66	0	0.0036	0	0.0012	0	0.000330	1	-1E+10	1	1.11	1	7.8753	0	7.5728	0	2339	0	2252	0	555.3	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	650.80	0	2.2131	0	34.6660	0	27.690	0	643.636	0	177.72	0	53.9	0	33.03	0	0.0036	0	0.0012	0	0.000341	1	-1E+10	1	1.14	1	7.8712	0	7.5678	0	2338	0	2252	0	564.2	0
5905373	1	C	01/27/2018	18:52	139.888	-60.326	0	601.63	0	2.2315	0	34.6538	0	27.679	0	595.077	0	176.39	0	53.5	0	33.24	0	0.0072	0	0.0024	0	0.000540	1	-1E+10	1	1.66	1	7.8667	0	7.5621	0	2337	0	2253	0	573.6	0
