//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:29
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905985
//Univ. of Washington ID: 12778
//MBARI ID: 12778SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 6 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9023	
//Temperature[°C]	Sbe41cp	9023	
//Salinity[pss]	Sbe41cp	9023	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2674	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0149  Spec#105036 Equitech Ti probe #1604.20  MBARI ARGO float#775  DF#173  CTD#9023	
//Chl_a[mg/m^3]	FLBBAP2	4418	
//Chl_a_corr[mg/m^3]	FLBBAP2	4418	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4418	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4418	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	173	
//pH25C[Total]	Durafet	173	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0459	0.0000	0.0000
//Nitrate	1	1.0000	2.3218	-54.9867
//Nitrate	3	1.0000	0.3346	0.1327
//Nitrate	79	1.0000	0.5926	0.0000
//pH	1	1.0000	-0.0032	-0.6863
//pH	3	1.0000	-0.0007	-0.7130
//pH	5	1.0000	-0.0154	0.0612
//pH	20	1.0000	0.0086	-0.0387
//pH	28	1.0000	-0.0059	0.1465
//pH	35	1.0000	0.0211	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1999.55	0	2.9395	0	34.8072	0	27.751	0	1974.550	0	208.88	0	64.6	0	27.39	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1	7.8960	0	7.6499	0	2355	0	2237	0	457.6	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1899.36	0	2.9549	0	34.7884	0	27.733	0	1876.053	0	203.35	0	62.9	0	28.28	0	0.0108	0	0.0036	0	0.000354	1	-1E+10	1	1.17	1	7.8913	0	7.6421	0	2354	0	2240	0	468.4	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1799.19	0	2.9952	0	34.7713	0	27.715	0	1777.531	0	199.62	0	61.8	0	28.66	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1	7.8855	0	7.6337	0	2351	0	2240	0	480.4	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1699.39	0	2.9600	0	34.7338	0	27.688	0	1679.327	0	192.83	0	59.6	0	29.77	0	0.0072	0	0.0024	0	0.000388	1	-1E+10	1	1.26	1	7.8727	0	7.6180	0	2344	0	2239	0	500.3	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1597.48	0	2.9952	0	34.7002	0	27.657	0	1579.000	0	188.51	0	58.3	0	30.52	0	0.0072	0	0.0024	0	0.000365	1	-1E+10	1	1.20	1	7.8671	0	7.6097	0	2342	0	2241	0	513.2	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1499.69	0	3.0034	0	34.6554	0	27.620	0	1482.683	0	185.28	0	57.3	0	31.33	0	0.0072	0	0.0024	0	0.000354	1	-1E+10	1	1.17	1	7.8570	0	7.5971	0	2341	0	2245	0	532.1	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1399.76	0	2.9367	0	34.5992	0	27.580	0	1384.214	0	182.89	0	56.4	0	32.35	0	0.0072	0	0.0024	0	0.000366	1	-1E+10	1	1.20	1	7.8505	0	7.5867	0	2338	0	2246	0	546.3	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1298.96	0	2.9586	0	34.5444	0	27.533	0	1284.840	0	182.52	0	56.3	0	32.73	0	0.0072	0	0.0024	0	0.000388	1	-1E+10	1	1.26	1	7.8435	0	7.5770	0	2333	0	2245	0	561.5	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1198.69	0	2.9766	0	34.4871	0	27.485	0	1185.943	0	184.22	0	56.9	0	33.28	0	0.0072	0	0.0024	0	0.000377	1	-1E+10	1	1.23	1	7.8409	0	7.5713	0	2326	0	2240	0	570.2	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	1099.93	0	2.9931	0	34.4230	0	27.432	0	1088.489	0	188.83	0	58.3	0	33.53	0	0.0036	0	0.0012	0	0.000389	1	-1E+10	1	1.26	1	7.8408	0	7.5679	0	2318	0	2234	0	575.0	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	999.27	0	3.1157	0	34.3672	0	27.376	0	989.113	0	197.52	0	61.1	0	33.08	0	0.0072	0	0.0024	0	0.000400	1	-1E+10	1	1.29	1	7.8467	0	7.5713	0	2311	0	2225	0	571.9	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	951.17	0	3.1816	0	34.3419	0	27.349	0	941.610	0	202.04	0	62.6	0	32.76	0	0.0072	0	0.0024	0	0.000389	1	-1E+10	1	1.27	1	7.8504	0	7.5738	0	2307	0	2221	0	569.2	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	901.07	0	3.2497	0	34.3056	0	27.314	0	892.120	0	208.75	0	64.8	0	32.40	0	0.0072	0	0.0024	0	0.000434	1	-1E+10	1	1.38	1	7.8558	0	7.5778	0	2303	0	2216	0	564.1	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	851.72	0	3.3895	0	34.2877	0	27.286	0	843.360	0	214.25	0	66.7	0	31.65	0	0.0036	0	0.0012	0	0.000401	1	-1E+10	1	1.30	1	7.8652	0	7.5865	0	2299	0	2209	0	553.7	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	801.54	0	3.4964	0	34.2638	0	27.256	0	793.768	0	220.19	0	68.7	0	31.23	0	0.0036	0	0.0012	0	0.000446	1	-1E+10	1	1.41	1	7.8730	0	7.5932	0	2296	0	2204	0	546.0	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	750.92	0	3.6642	0	34.2459	0	27.225	0	743.729	0	227.12	0	71.2	0	30.59	0	0.0036	0	0.0012	0	0.000435	1	-1E+10	1	1.39	1	7.8818	0	7.6018	0	2293	0	2198	0	536.8	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	701.59	0	3.8091	0	34.2337	0	27.201	0	694.953	0	232.10	0	73.0	0	29.88	0	0.0036	0	0.0012	0	0.000458	1	-1E+10	1	1.44	1	7.8900	0	7.6094	0	2291	0	2193	0	529.1	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	651.74	0	3.9527	0	34.2172	0	27.173	0	645.652	0	238.90	0	75.4	0	29.04	0	0.0036	0	0.0012	0	0.000425	1	-1E+10	1	1.36	1	7.8999	0	7.6188	0	2288	0	2187	0	518.8	0
5905985	1	C	10/25/2018	10:29	315.977	-41.334	0	601.54	0	4.1505	0	34.2025	0	27.141	0	595.993	0	244.83	0	77.6	0	28.11	0	0.0036	0	0.0012	0	0.000425	1	-1E+10	1	1.36	1	7.9092	0	7.6283	0	2286	0	2182	0	509.8	0
