//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:31
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905371
//Univ. of Washington ID: 12779
//MBARI ID: 12779SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9016	
//Temperature[°C]	Sbe41cp	9016	
//Salinity[pss]	Sbe41cp	9016	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2685	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0074  Spec#105030 Equitech Ti probe #1604.23  MBARI ARGO float#770  DF#167  CTD#9016	
//Chl_a[mg/m^3]	FLBBAP2	4412	
//Chl_a_corr[mg/m^3]	FLBBAP2	4412	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4412	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4412	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	167	
//pH25C[Total]	Durafet	167	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0286	0.0000	0.0091
//Oxygen	90	1.0509	0.0000	0.0000
//Nitrate	1	1.0000	0.9404	0.5177
//Nitrate	60	1.0000	1.3741	1.1610
//Nitrate	91	1.0000	2.4679	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1999.06	0	1.6042	0	34.7413	0	27.805	0	1971.534	0	199.05	0	59.5	0	31.38	0	0.0036	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	7.8835	8	7.6199	8	2353	0	2247	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1898.45	0	1.7003	0	34.7434	0	27.799	0	1872.751	0	196.30	0	58.8	0	31.23	0	0.0036	0	0.0012	0	0.000309	1	-1E+10	1	1.06	1	7.8848	8	7.6187	8	2353	0	2248	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1798.89	0	1.7841	0	34.7449	0	27.793	0	1774.954	0	195.10	0	58.6	0	31.21	0	0.0036	0	0.0012	0	0.000320	1	-1E+10	1	1.08	1	7.8871	8	7.6183	8	2352	0	2247	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1699.47	0	1.8624	0	34.7444	0	27.786	0	1677.250	0	193.72	0	58.3	0	31.29	0	0.0072	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1	7.8873	8	7.6159	8	2350	0	2246	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1600.12	0	1.9378	0	34.7429	0	27.779	0	1579.569	0	192.04	0	57.9	0	31.31	0	0.0036	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.8866	8	7.6127	8	2348	0	2245	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1499.63	0	2.0352	0	34.7369	0	27.766	0	1480.721	0	189.72	0	57.3	0	31.39	0	0.0072	0	0.0024	0	0.000309	1	-1E+10	1	1.06	1	7.8833	8	7.6074	8	2346	0	2245	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1399.65	0	2.1047	0	34.7282	0	27.753	0	1382.329	0	187.13	0	56.6	0	31.67	0	0.0036	0	0.0012	0	0.000365	1	-1E+10	1	1.20	1	7.8804	8	7.6021	8	2344	0	2246	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1299.99	0	2.1534	0	34.7204	0	27.742	0	1284.205	0	185.30	0	56.1	0	31.90	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1	7.8788	8	7.5976	8	2344	0	2247	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1199.11	0	2.2192	0	34.7059	0	27.725	0	1184.834	0	182.30	0	55.3	0	32.32	0	0.0072	0	0.0024	0	0.000365	1	-1E+10	1	1.20	1	7.8720	8	7.5888	8	2342	0	2248	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	1099.98	0	2.2856	0	34.6860	0	27.703	0	1087.140	0	179.10	0	54.4	0	32.81	0	0.0072	0	0.0024	0	0.000388	1	-1E+10	1	1.26	1	7.8659	8	7.5805	8	2340	0	2250	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	999.53	0	2.3540	0	34.6611	0	27.677	0	988.099	0	176.15	0	53.6	0	33.33	0	0.0072	0	0.0024	0	0.000355	1	-1E+10	1	1.18	1	7.8594	8	7.5719	8	2338	0	2251	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	951.58	0	2.3841	0	34.6456	0	27.661	0	940.805	0	174.78	0	53.2	0	33.63	0	0.0000	0	0.0000	0	0.000388	1	-1E+10	1	1.26	1	7.8531	8	7.5649	8	2337	0	2252	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	900.71	0	2.4289	0	34.6321	0	27.647	0	890.620	0	173.99	0	53.0	0	33.85	0	0.0072	0	0.0024	0	0.000355	1	-1E+10	1	1.18	1	7.8502	8	7.5611	8	2336	0	2253	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	851.00	0	2.4489	0	34.6160	0	27.632	0	841.566	0	172.94	0	52.7	0	34.15	0	0.0072	0	0.0024	0	0.000366	1	-1E+10	1	1.20	1	7.8469	8	7.5566	8	2335	0	2253	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	801.35	0	2.4650	0	34.5880	0	27.608	0	792.561	0	171.95	0	52.5	0	34.56	0	0.0108	0	0.0036	0	0.000410	1	-1E+10	1	1.32	1	7.8396	8	7.5485	8	2333	0	2254	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	751.04	0	2.4857	0	34.5675	0	27.589	0	742.892	0	171.58	0	52.4	0	34.83	0	0.0036	0	0.0012	0	0.000422	1	-1E+10	1	1.35	1	7.8368	8	7.5443	8	2331	0	2253	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	701.67	0	2.5101	0	34.5418	0	27.566	0	694.140	0	172.02	0	52.5	0	35.11	0	0.0036	0	0.0012	0	0.001365	1	-1E+10	1	3.80	1	7.8346	8	7.5409	8	2328	0	2253	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	651.55	0	2.5442	0	34.5128	0	27.540	0	644.635	0	173.35	0	53.0	0	35.25	0	0.0036	0	0.0012	0	0.000444	1	-1E+10	1	1.41	1	7.8337	8	7.5388	8	2326	0	2251	8	 -1e10	1
5905371	1	C	01/24/2018	07:49	140.720	-55.494	0	601.59	0	2.5713	0	34.4831	0	27.514	0	595.277	0	175.88	0	53.7	0	35.39	0	0.0108	0	0.0036	0	0.000555	1	-1E+10	1	1.70	1	7.8338	8	7.5374	8	2323	0	2249	8	 -1e10	1
