//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:36
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905971
//Univ. of Washington ID: 12780
//MBARI ID: 12780EQPACW
//No missing float profiles
//Missing Float position interpolated for station(s): 46 50 51 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10228	
//Temperature[°C]	Sbe41cp	10228	
//Salinity[pss]	Sbe41cp	10228	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2808	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4976	
//Chl_a_corr[mg/m^3]	FLBBAP2	4976	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4976	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4976	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	212	
//pH25C[Total]	Durafet	212	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0707	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1999.37	0	2.2689	0	34.6334	0	27.668	0	1978.927	0	109.46	0	33.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000252	1	-1E+10	1	0.91	1	5.8455	8	-1e10	1	2414	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1899.19	0	2.3592	0	34.6282	0	27.656	0	1880.213	0	106.55	0	32.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000264	1	-1E+10	1	0.94	1	7.5970	8	7.3750	8	2412	0	2396	8	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1798.76	0	2.4871	0	34.6223	0	27.640	0	1781.207	0	102.31	0	31.2	0	-1E+10	1	0.0146	0	0.0146	0	0.000253	1	-1E+10	1	0.91	1	7.6763	8	7.4416	8	2409	0	2370	8	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1699.01	0	2.6290	0	34.6148	0	27.621	0	1682.826	0	100.03	0	30.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000349	1	-1E+10	1	1.16	1	7.6921	8	7.4535	8	2405	0	2362	8	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1599.34	0	2.8045	0	34.6070	0	27.599	0	1584.478	0	98.56	0	30.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000277	1	-1E+10	1	0.97	1	7.6954	8	7.4550	8	2399	0	2356	8	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1499.19	0	3.0500	0	34.5970	0	27.569	0	1485.610	0	91.96	0	28.5	0	-1E+10	1	0.0146	0	0.0146	0	0.000254	1	-1E+10	1	0.91	1	40.6601	8	-1e10	1	2393	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1399.14	0	3.2329	0	34.5905	0	27.546	0	1386.794	0	87.96	0	27.3	0	-1E+10	1	0.0146	0	0.0146	0	0.000278	1	-1E+10	1	0.98	1	40.6054	8	-1e10	1	2389	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1298.60	0	3.4577	0	34.5810	0	27.517	0	1287.448	0	86.07	0	26.9	0	-1E+10	1	0.0146	0	0.0146	0	0.000291	1	-1E+10	1	1.01	1	40.6057	8	-1e10	1	2382	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1199.53	0	3.8617	0	34.5671	0	27.465	0	1189.509	0	86.91	0	27.4	0	-1E+10	1	0.0146	0	0.0146	0	0.000267	1	-1E+10	1	0.95	1	40.5838	8	-1e10	1	2371	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	1099.38	0	4.2298	0	34.5565	0	27.418	0	1090.455	0	85.12	0	27.1	0	-1E+10	1	0.0146	0	0.0146	0	0.000268	1	-1E+10	1	0.95	1	40.5591	8	-1e10	1	2362	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	998.91	0	4.5389	0	34.5504	0	27.380	0	991.038	0	83.03	0	26.6	0	-1E+10	1	0.0182	0	0.0182	0	0.000269	1	-1E+10	1	0.95	1	40.5345	8	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	950.79	0	4.8138	0	34.5432	0	27.343	0	943.406	0	84.69	0	27.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000305	1	-1E+10	1	1.05	1	40.5061	8	-1e10	1	2348	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	901.54	0	5.0988	0	34.5410	0	27.309	0	894.643	0	82.38	0	26.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000258	1	-1E+10	1	0.92	1	40.4774	8	-1e10	1	2342	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	850.90	0	5.3233	0	34.5383	0	27.280	0	844.493	0	82.75	0	27.0	0	-1E+10	1	0.0182	0	0.0182	0	0.000258	1	-1E+10	1	0.92	1	40.4616	8	-1e10	1	2338	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	800.93	0	5.6256	0	34.5389	0	27.244	0	794.994	0	78.70	0	25.9	0	-1E+10	1	0.0146	0	0.0146	0	0.000307	1	-1E+10	1	1.05	1	40.4317	8	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	751.28	0	5.9545	0	34.5433	0	27.206	0	745.801	0	74.17	0	24.6	0	-1E+10	1	0.0109	0	0.0109	0	0.000295	1	-1E+10	1	1.02	1	40.4006	8	-1e10	1	2329	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	700.96	0	6.2909	0	34.5483	0	27.167	0	695.932	0	70.18	0	23.5	0	-1E+10	1	0.0146	0	0.0146	0	0.000272	1	-1E+10	1	0.96	1	40.3878	8	-1e10	1	2325	0	 -1e10	1	 -1e10	1
5905971	1	C	08/17/2018	01:50	189.806	0.013	0	650.79	0	6.4831	0	34.5550	0	27.146	0	646.199	0	65.18	0	21.9	0	-1E+10	1	0.0146	0	0.0146	0	0.000272	1	-1E+10	1	0.96	1	40.3766	8	-1e10	1	2323	0	 -1e10	1	 -1e10	1
