//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:39
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905368
//Univ. of Washington ID: 12781
//MBARI ID: 12781SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9015	
//Temperature[°C]	Sbe41cp	9015	
//Salinity[pss]	Sbe41cp	9015	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2676	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0056  Spec#105017 Equitech Ti probe #1604.22  MBARI ARGO float#769  DF#166  CTD#9015	
//Chl_a[mg/m^3]	FLBBAP2	4411	
//Chl_a_corr[mg/m^3]	FLBBAP2	4411	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4411	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4411	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	166	
//pH25C[Total]	Durafet	166	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0482	0.0000	0.0000
//Nitrate	1	1.0000	3.3375	-55.4540
//Nitrate	3	1.0000	2.0942	1.1286
//Nitrate	23	1.0000	3.3901	0.3358
//Nitrate	92	1.0000	3.9313	0.0000
//pH	1	1.0000	-0.0108	-2.1909
//pH	3	1.0000	-0.0717	0.1796
//pH	15	1.0000	-0.0360	1.5698
//pH	18	1.0000	0.0849	0.4562
//pH	23	1.0000	0.1527	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1999.20	0	1.1508	0	34.7270	0	27.824	0	1971.420	0	207.02	0	61.2	0	31.30	0	0.0000	0	0.0000	0	0.000234	1	-1E+10	1	0.86	1	7.8971	0	7.6259	0	2355	0	2247	0	452.2	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1898.59	0	1.2396	0	34.7325	0	27.822	0	1872.650	0	206.16	0	61.0	0	31.05	0	0.0000	0	0.0000	0	0.000245	1	-1E+10	1	0.89	1	7.8982	0	7.6244	0	2355	0	2247	0	456.5	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1799.07	0	1.3267	0	34.7368	0	27.819	0	1774.904	0	205.53	0	61.0	0	30.81	0	0.0000	0	0.0000	0	0.000234	1	-1E+10	1	0.86	1	7.9011	0	7.6246	0	2354	0	2247	0	458.5	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1699.81	0	1.3913	0	34.7405	0	27.817	0	1677.370	0	205.17	0	61.0	0	30.60	0	0.0000	0	0.0000	0	0.000246	1	-1E+10	1	0.89	1	7.9024	0	7.6230	0	2354	0	2247	0	462.5	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1599.91	0	1.4726	0	34.7442	0	27.814	0	1579.161	0	204.55	0	60.9	0	30.52	0	0.0036	0	0.0012	0	0.000246	1	-1E+10	1	0.89	1	7.9046	0	7.6225	0	2353	0	2247	0	465.5	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1499.24	0	1.5854	0	34.7475	0	27.808	0	1480.148	0	202.97	0	60.6	0	30.41	0	0.0000	0	0.0000	0	0.000279	1	-1E+10	1	0.98	1	7.9030	0	7.6188	0	2352	0	2247	0	473.1	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1399.02	0	1.6893	0	34.7495	0	27.802	0	1381.532	0	201.56	0	60.4	0	30.30	0	0.0000	0	0.0000	0	0.000302	1	-1E+10	1	1.04	1	7.9024	0	7.6161	0	2351	0	2247	0	479.5	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1300.16	0	1.7835	0	34.7513	0	27.795	0	1284.209	0	199.95	0	60.0	0	30.26	0	0.0036	0	0.0012	0	0.000269	1	-1E+10	1	0.95	1	7.9022	0	7.6136	0	2351	0	2247	0	485.4	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1199.38	0	1.8725	0	34.7465	0	27.784	0	1184.949	0	197.36	0	59.4	0	30.52	0	0.0000	0	0.0000	0	0.000258	1	-1E+10	1	0.92	1	7.8993	0	7.6086	0	2349	0	2248	0	494.6	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1098.50	0	1.9323	0	34.7376	0	27.772	0	1085.543	0	193.11	0	58.2	0	31.05	0	0.0036	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.8931	0	7.6000	0	2348	0	2250	0	508.4	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	1000.01	0	2.0334	0	34.7345	0	27.761	0	988.447	0	191.00	0	57.7	0	31.00	0	0.0000	0	0.0000	0	0.000269	1	-1E+10	1	0.95	1	7.8911	0	7.5960	0	2347	0	2251	0	517.0	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	951.08	0	2.0720	0	34.7284	0	27.753	0	940.192	0	189.00	0	57.2	0	31.20	0	0.0036	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.8889	0	7.5927	0	2347	0	2252	0	523.0	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	901.48	0	2.0995	0	34.7218	0	27.745	0	891.265	0	187.15	0	56.6	0	31.45	0	0.0000	0	0.0000	0	0.000303	1	-1E+10	1	1.04	1	7.8834	0	7.5864	0	2346	0	2254	0	533.2	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	851.63	0	2.1392	0	34.7126	0	27.734	0	842.081	0	184.93	0	56.0	0	31.71	0	0.0036	0	0.0012	0	0.000314	1	-1E+10	1	1.07	1	7.8773	0	7.5796	0	2345	0	2255	0	544.4	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	799.73	0	2.1721	0	34.7055	0	27.726	0	790.861	0	183.32	0	55.6	0	31.88	0	0.0036	0	0.0012	0	0.000359	1	-1E+10	1	1.19	1	7.8728	0	7.5741	0	2345	0	2256	0	553.8	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	751.50	0	2.1794	0	34.6936	0	27.715	0	743.251	0	180.67	0	54.8	0	32.36	0	0.0072	0	0.0024	0	0.000314	1	-1E+10	1	1.07	1	7.8693	0	7.5693	0	2344	0	2257	0	561.7	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	701.55	0	2.2075	0	34.6766	0	27.699	0	693.933	0	178.03	0	54.0	0	32.70	0	0.0036	0	0.0012	0	0.000482	1	-1E+10	1	1.51	1	7.8596	0	7.5591	0	2342	0	2260	0	578.6	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	651.59	0	2.2142	0	34.6612	0	27.686	0	644.592	0	176.00	0	53.4	0	33.08	0	0.0000	0	0.0000	0	0.000348	1	-1E+10	1	1.16	1	7.8533	0	7.5517	0	2341	0	2261	0	590.9	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	601.70	0	2.2105	0	34.6425	0	27.671	0	595.309	0	173.91	0	52.7	0	33.67	0	0.0000	0	0.0000	0	0.000437	1	-1E+10	1	1.39	1	7.8452	0	7.5425	0	2340	0	2263	0	606.1	0
5905368	1	C	01/22/2018	08:48	57.607	-56.992	0	551.06	0	2.2023	0	34.6178	0	27.652	0	545.274	0	172.32	0	52.2	0	34.01	0	0.0000	0	0.0000	0	0.000382	1	-1E+10	1	1.25	1	7.8352	0	7.5316	0	2338	0	2266	0	624.6	0
