//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:43
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905374
//Univ. of Washington ID: 12782
//MBARI ID: 12782SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 49 52 53 54 55 56 57 58 59 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 61 
//Missing Float data detected for adjusted station(s): 7 15 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9020	
//Temperature[°C]	Sbe41cp	9020	
//Salinity[pss]	Sbe41cp	9020	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2730	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0102  Spec#105035 Equitech Ti probe #1604.19  MBARI ARGO float#773  DF#171  CTD#9020	
//Chl_a[mg/m^3]	FLBBAP2	4416	
//Chl_a_corr[mg/m^3]	FLBBAP2	4416	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4416	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4416	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	171	
//pH25C[Total]	Durafet	171	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0550	0.0000	0.0000
//Nitrate	1	1.0000	1.3473	-28.2346
//Nitrate	3	1.0000	0.2079	0.9894
//Nitrate	15	1.0000	2.4691	-0.3004
//Nitrate	33	1.0000	1.0224	-0.2955
//Nitrate	60	1.0000	1.1575	0.0000
//pH	1	1.0000	-0.0009	-0.1037
//pH	7	1.0000	0.0031	0.0000
//pH	21	1.0000	-0.0182	0.9099
//pH	23	1.0000	0.0121	-0.0652
//pH	27	1.0000	0.0158	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1999.55	0	0.5875	0	34.6946	0	27.833	0	1970.839	0	213.54	0	62.2	0	31.93	0	0.0037	0	0.0012	0	0.000312	1	-1E+10	1	1.07	1	7.8849	0	7.6071	0	2354	0	2253	0	463.8	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1898.30	0	0.6589	0	34.6984	0	27.832	0	1871.487	0	211.61	0	61.7	0	31.94	0	0.0073	0	0.0024	0	0.000324	1	-1E+10	1	1.10	1	7.8859	0	7.6052	0	2354	0	2254	0	468.4	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1799.70	0	0.7420	0	34.7034	0	27.830	0	1774.691	0	210.18	0	61.4	0	31.97	0	0.0073	0	0.0024	0	0.000313	1	-1E+10	1	1.07	1	7.8877	0	7.6043	0	2354	0	2254	0	471.9	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1699.67	0	0.8044	0	34.7052	0	27.827	0	1676.446	0	209.24	0	61.3	0	31.90	0	0.0073	0	0.0024	0	0.000313	1	-1E+10	1	1.07	1	7.8914	0	7.6049	0	2354	0	2254	0	473.2	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1599.80	0	0.8866	0	34.7105	0	27.826	0	1578.312	0	208.11	0	61.1	0	31.71	0	0.0073	0	0.0024	0	0.000336	1	-1E+10	1	1.13	1	7.8934	0	7.6042	0	2353	0	2254	0	476.5	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1499.93	0	0.9801	0	34.7141	0	27.823	0	1480.133	0	206.93	0	60.9	0	31.64	0	0.0037	0	0.0012	0	0.000336	1	-1E+10	1	1.13	1	7.8968	0	7.6048	0	2353	0	2253	0	478.4	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1398.78	0	1.0667	0	34.7194	0	27.821	0	1380.648	0	205.87	0	60.7	0	31.50	0	0.0073	0	0.0024	0	0.000370	1	-1E+10	1	1.22	1	7.9020	0	7.6070	0	2353	0	2252	0	477.9	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1299.15	0	1.1413	0	34.7224	0	27.818	0	1282.613	0	205.15	0	60.6	0	31.17	0	0.0109	0	0.0037	0	0.000325	1	-1E+10	1	1.10	1	7.9048	0	7.6069	0	2352	0	2251	0	480.2	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1198.62	0	1.2479	0	34.7278	0	27.814	0	1183.645	0	203.99	0	60.4	0	31.14	0	0.0073	0	0.0024	0	0.000337	1	-1E+10	1	1.13	1	7.9090	0	7.6085	0	2351	0	2250	0	480.8	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	1099.96	0	1.3194	0	34.7313	0	27.812	0	1086.472	0	203.14	0	60.3	0	30.89	0	0.0073	0	0.0024	0	0.000348	1	-1E+10	1	1.16	1	7.9111	0	7.6077	0	2351	0	2250	0	484.1	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	999.82	0	1.3812	0	34.7311	0	27.807	0	987.796	0	201.99	0	60.0	0	30.91	0	0.0073	0	0.0024	0	0.000325	1	-1E+10	1	1.10	1	7.9106	0	7.6045	0	2349	0	2250	0	490.3	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	951.20	0	1.4373	0	34.7333	0	27.805	0	939.870	0	201.29	0	59.9	0	30.79	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.9113	0	7.6041	0	2349	0	2249	0	492.3	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	901.07	0	1.4914	0	34.7362	0	27.803	0	890.443	0	200.51	0	59.8	0	30.75	0	0.0073	0	0.0024	0	0.000576	1	-1E+10	1	1.75	1	7.9135	0	7.6050	0	2349	0	2249	0	492.6	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	850.68	0	1.5064	0	34.7330	0	27.799	0	840.749	0	199.98	0	59.6	0	30.78	0	0.0037	0	0.0012	0	0.000405	1	-1E+10	1	1.31	1	7.9133	0	7.6031	0	2348	0	2249	0	495.8	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	801.21	0	1.5309	0	34.7326	0	27.797	0	791.950	0	199.20	0	59.4	0	30.81	0	0.0109	0	0.0037	0	0.000383	1	-1E+10	1	1.25	1	7.9117	0	7.6002	0	2348	0	2250	0	500.7	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	751.58	0	1.5626	0	34.7317	0	27.793	0	742.982	0	198.50	0	59.3	0	30.82	0	0.0073	0	0.0024	0	0.000394	1	-1E+10	1	1.28	1	7.9139	0	7.6008	0	2347	0	2249	0	500.9	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	701.62	0	1.6277	0	34.7352	0	27.791	0	693.676	0	197.53	0	59.1	0	30.67	0	0.0109	0	0.0037	0	0.000383	1	-1E+10	1	1.25	1	7.9117	0	7.5979	0	2347	0	2250	0	506.8	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	651.71	0	1.7011	0	34.7352	0	27.785	0	644.409	0	196.09	0	58.7	0	30.74	0	0.0037	0	0.0012	0	0.000406	1	-1E+10	1	1.31	1	7.9127	0	7.5980	0	2347	0	2250	0	508.5	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	601.33	0	1.7381	0	34.7328	0	27.781	0	594.665	0	194.73	0	58.4	0	30.72	0	0.0073	0	0.0024	0	0.000383	1	-1E+10	1	1.25	1	7.9119	0	7.5960	0	2346	0	2250	0	512.5	0
5905374	1	C	01/29/2018	23:25	139.752	-62.854	0	551.15	0	1.7761	0	34.7298	0	27.775	0	545.107	0	193.22	0	58.0	0	30.90	0	0.0073	0	0.0024	0	0.000429	1	-1E+10	1	1.37	1	7.9089	0	7.5919	0	2346	0	2251	0	519.4	0
