//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:46
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905970
//Univ. of Washington ID: 12783
//MBARI ID: 12783EQPACW
//No missing float profiles
//Missing Float position interpolated for station(s): 6 8 9 10 11 12 13 14 15 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 58 72 73 76 77 82 83 84 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 3 4 5 6 7 8 9 11 13 14 21 23 24 25 26 28 30 33 38 39 40 44 49 50 51 53 54 55 58 61 62 64 65 67 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10226	
//Temperature[°C]	Sbe41cp	10226	
//Salinity[pss]	Sbe41cp	10226	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2807	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4975	
//Chl_a_corr[mg/m^3]	FLBBAP2	4975	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4975	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4975	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	210	
//pH25C[Total]	Durafet	210	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0642	0.0000	0.0000
//pH	1	1.0000	-0.0492	-1.6051
//pH	5	1.0000	-0.0776	-0.0557
//pH	17	1.0000	-0.0815	0.0000
//pH	37	1.0000	-0.1000	0.0886
//pH	52	1.0000	-0.0908	0.0772
//pH	59	1.0000	-0.1228	-0.0313
//pH	69	1.0000	-0.1390	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1999.30	0	2.2698	0	34.6292	0	27.664	0	1978.780	0	100.94	0	30.7	0	-1E+10	1	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.7492	0	7.5097	0	2414	0	2352	0	667.9	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1898.72	0	2.3866	0	34.6229	0	27.649	0	1879.676	0	98.13	0	29.9	0	-1E+10	1	0.0073	0	0.0073	0	0.000294	1	-1E+10	1	1.02	1	7.7423	0	7.5016	0	2411	0	2352	0	686.8	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1799.23	0	2.5124	0	34.6161	0	27.633	0	1781.601	0	95.55	0	29.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.7376	0	7.4955	0	2408	0	2350	0	702.5	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1698.31	0	2.6789	0	34.6091	0	27.612	0	1682.069	0	91.90	0	28.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000269	1	-1E+10	1	0.95	1	7.7288	0	7.4862	0	2404	0	2349	0	725.7	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1597.99	0	2.9069	0	34.5988	0	27.584	0	1583.083	0	85.23	0	26.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000295	1	-1E+10	1	1.02	1	7.7158	0	7.4742	0	2399	0	2349	0	757.4	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1498.82	0	3.0547	0	34.5933	0	27.565	0	1485.186	0	82.45	0	25.5	0	-1E+10	1	0.0109	0	0.0109	0	0.000295	1	-1E+10	1	1.02	1	7.7115	0	7.4688	0	2395	0	2347	0	773.7	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1399.22	0	3.2804	0	34.5860	0	27.538	0	1386.819	0	77.59	0	24.1	0	-1E+10	1	0.0109	0	0.0109	0	0.000295	1	-1E+10	1	1.02	1	7.7019	0	7.4596	0	2390	0	2345	0	800.7	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1299.05	0	3.5347	0	34.5765	0	27.506	0	1287.843	0	74.79	0	23.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000346	1	-1E+10	1	1.15	1	7.6973	0	7.4553	0	2384	0	2341	0	818.2	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1198.77	0	3.7894	0	34.5674	0	27.473	0	1188.711	0	75.37	0	23.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000322	1	-1E+10	1	1.09	1	7.7000	0	7.4573	0	2377	0	2333	0	821.1	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	1099.05	0	4.0760	0	34.5590	0	27.436	0	1090.086	0	72.07	0	22.9	0	-1E+10	1	0.0109	0	0.0109	0	0.000310	1	-1E+10	1	1.06	1	7.6905	0	7.4490	0	2370	0	2329	0	849.2	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	999.05	0	4.4206	0	34.5515	0	27.393	0	991.138	0	66.74	0	21.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000323	1	-1E+10	1	1.09	1	7.6797	0	7.4402	0	2363	0	2325	0	881.0	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	951.49	0	4.5736	0	34.5501	0	27.375	0	944.062	0	60.21	0	19.3	0	-1E+10	1	0.0073	0	0.0073	0	0.000298	1	-1E+10	1	1.03	1	7.6600	0	7.4231	0	2360	0	2328	0	929.3	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	900.99	0	4.9011	0	34.5443	0	27.334	0	894.064	0	52.69	0	17.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000311	1	-1E+10	1	1.06	1	7.6370	0	7.4051	0	2354	0	2329	0	988.1	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	851.02	0	5.1735	0	34.5394	0	27.298	0	844.579	0	50.90	0	16.6	0	-1E+10	1	0.0109	0	0.0109	0	0.000324	1	-1E+10	1	1.10	1	7.6365	0	7.4063	0	2349	0	2323	0	994.2	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	801.40	0	5.4628	0	34.5413	0	27.265	0	795.429	0	41.97	0	13.8	0	-1E+10	1	0.0146	0	0.0146	0	0.000325	1	-1E+10	1	1.10	1	7.6177	0	7.3915	0	2345	0	2324	0	1046.5	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	751.24	0	5.9235	0	34.5428	0	27.210	0	745.732	0	33.91	0	11.2	0	-1E+10	1	0.0146	0	0.0146	0	0.000300	1	-1E+10	1	1.03	1	7.5985	0	7.3784	0	2338	0	2321	0	1102.7	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	701.17	0	6.2899	0	34.5455	0	27.165	0	696.113	0	30.61	0	10.2	0	-1E+10	1	0.0146	0	0.0146	0	0.000414	1	-1E+10	1	1.33	1	7.5985	0	7.3812	0	2333	0	2315	0	1108.9	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	651.62	0	6.7099	0	34.5491	0	27.112	0	646.997	0	39.75	0	13.4	0	-1E+10	1	0.0073	0	0.0073	0	0.000389	1	-1E+10	1	1.27	1	7.6195	0	7.4033	0	2325	0	2300	0	1058.9	0
5905970	1	C	08/14/2018	15:08	190.108	4.935	4	600.66	0	7.1616	0	34.5643	0	27.061	0	596.472	0	41.64	0	14.2	0	-1E+10	1	0.0182	0	0.0182	0	0.000340	1	-1E+10	1	1.14	1	7.6251	0	7.4122	0	2321	0	2292	0	1051.0	0
