//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:48
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905372
//Univ. of Washington ID: 12784
//MBARI ID: 12784SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9017	
//Temperature[°C]	Sbe41cp	9017	
//Salinity[pss]	Sbe41cp	9017	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2686	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0073  Spec#105033 Equitech Ti probe #1604.24  MBARI ARGO float#771  DF#168  CTD#9017	
//Chl_a[mg/m^3]	FLBBAP2	4413	
//Chl_a_corr[mg/m^3]	FLBBAP2	4413	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4413	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4413	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	168	
//pH25C[Total]	Durafet	168	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0421	0.0000	0.0000
//Nitrate	1	1.0000	2.0452	-82.0345
//Nitrate	3	1.0000	-0.4259	-0.1000
//Nitrate	91	1.0000	-0.4749	0.0000
//pH	1	1.0000	0.0129	-0.2857
//pH	3	1.0000	0.0018	0.1427
//pH	6	1.0000	0.0155	0.1897
//pH	11	1.0000	0.0578	0.0000
//pH	12	1.0000	0.0479	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1999.72	0	1.4744	0	34.7291	0	27.804	0	1971.707	0	201.17	0	59.9	0	31.28	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8856	0	7.6200	0	2351	0	2245	0	465.3	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1899.52	0	1.5648	0	34.7329	0	27.800	0	1873.351	0	199.89	0	59.7	0	31.15	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8861	0	7.6181	0	2350	0	2245	0	470.3	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1799.90	0	1.6478	0	34.7348	0	27.795	0	1775.519	0	198.83	0	59.5	0	30.96	0	0.0036	0	0.0012	0	0.000293	1	-1E+10	1	1.02	1	7.8923	0	7.6211	0	2349	0	2243	0	468.5	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1699.32	0	1.7439	0	34.7372	0	27.789	0	1676.698	0	197.61	0	59.3	0	30.80	0	0.0072	0	0.0024	0	0.000305	1	-1E+10	1	1.05	1	7.8911	0	7.6177	0	2348	0	2243	0	475.5	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1598.02	0	1.8425	0	34.7366	0	27.781	0	1577.123	0	195.93	0	58.9	0	30.70	0	0.0072	0	0.0024	0	0.000305	1	-1E+10	1	1.05	1	7.8916	0	7.6158	0	2347	0	2243	0	480.5	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1499.24	0	1.9205	0	34.7350	0	27.773	0	1479.980	0	194.16	0	58.5	0	30.85	0	0.0036	0	0.0012	0	0.000912	1	-1E+10	1	2.62	1	7.8907	0	7.6125	0	2345	0	2243	0	487.2	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1399.05	0	1.9979	0	34.7318	0	27.764	0	1381.405	0	192.68	0	58.2	0	30.92	0	0.0072	0	0.0024	0	0.000294	1	-1E+10	1	1.02	1	7.8914	0	7.6105	0	2344	0	2242	0	492.1	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1300.14	0	2.0727	0	34.7256	0	27.753	0	1284.043	0	190.43	0	57.6	0	31.08	0	0.0036	0	0.0012	0	0.000316	1	-1E+10	1	1.08	1	7.8877	0	7.6046	0	2343	0	2243	0	502.3	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1199.98	0	2.1453	0	34.7148	0	27.738	0	1185.405	0	187.69	0	56.9	0	31.25	0	0.0108	0	0.0036	0	0.000692	1	-1E+10	1	2.05	1	7.8839	0	7.5985	0	2341	0	2244	0	512.9	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	1098.86	0	2.2155	0	34.7000	0	27.720	0	1085.775	0	184.67	0	56.0	0	31.71	0	0.0072	0	0.0024	0	0.000350	1	-1E+10	1	1.16	1	7.8820	0	7.5940	0	2341	0	2245	0	521.7	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	999.56	0	2.2645	0	34.6834	0	27.702	0	987.891	0	181.81	0	55.2	0	31.99	0	0.0144	0	0.0048	0	0.000515	1	-1E+10	1	1.59	1	7.8789	0	7.5883	0	2339	0	2245	0	531.5	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	951.67	0	2.2820	0	34.6750	0	27.693	0	940.667	0	180.22	0	54.8	0	32.36	0	0.0036	0	0.0012	0	0.000394	1	-1E+10	1	1.28	1	7.8796	0	7.5874	0	2339	0	2246	0	533.6	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	901.15	0	2.3034	0	34.6620	0	27.681	0	890.839	0	178.46	0	54.2	0	32.62	0	0.0072	0	0.0024	0	0.000372	1	-1E+10	1	1.22	1	7.8750	0	7.5816	0	2338	0	2247	0	542.9	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	851.14	0	2.3264	0	34.6481	0	27.668	0	841.502	0	176.92	0	53.8	0	32.97	0	0.0108	0	0.0036	0	0.000372	1	-1E+10	1	1.22	1	7.8659	0	7.5719	0	2336	0	2249	0	558.4	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	800.90	0	2.3657	0	34.6289	0	27.649	0	791.926	0	175.52	0	53.4	0	33.31	0	0.0072	0	0.0024	0	0.000394	1	-1E+10	1	1.28	1	7.8676	0	7.5722	0	2334	0	2247	0	559.0	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	751.49	0	2.3806	0	34.6090	0	27.631	0	743.157	0	173.89	0	52.9	0	33.66	0	0.0072	0	0.0024	0	0.000372	1	-1E+10	1	1.22	1	7.8603	0	7.5640	0	2333	0	2249	0	572.2	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	701.73	0	2.3920	0	34.5883	0	27.613	0	694.032	0	173.10	0	52.7	0	34.02	0	0.0108	0	0.0036	0	0.000383	1	-1E+10	1	1.25	1	7.8572	0	7.5596	0	2332	0	2249	0	579.7	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	651.25	0	2.4122	0	34.5668	0	27.594	0	644.184	0	173.14	0	52.7	0	34.27	0	0.0108	0	0.0036	0	0.000406	1	-1E+10	1	1.31	1	7.8502	0	7.5517	0	2330	0	2250	0	593.1	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	601.52	0	2.4851	0	34.5443	0	27.570	0	595.064	0	174.36	0	53.2	0	34.36	0	0.0072	0	0.0024	0	0.000384	1	-1E+10	1	1.25	1	7.8550	0	7.5552	0	2328	0	2247	0	589.3	0
5905372	1	C	01/26/2018	04:16	139.941	-58.349	0	549.68	0	2.4979	0	34.5160	0	27.546	0	543.848	0	174.62	0	53.3	0	34.53	0	0.0072	0	0.0024	0	0.000417	1	-1E+10	1	1.34	1	7.8524	0	7.5512	0	2326	0	2247	0	596.1	0
