//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:53
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906005
//Univ. of Washington ID: 12786
//MBARI ID: 12786SOOCN
//Missing Float profile(s) for station(s): 55 56 57 58 59 60 61 62 63 64 65 
//Missing Float position interpolated for station(s): 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 46 47 48 49 50 51 52 53 54 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 66 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9206	
//Temperature[°C]	Sbe41cp	9206	
//Salinity[pss]	Sbe41cp	9206	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2731	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0120  Spec#105037 Equitech Ti probe #1604.30  MBARI ARGO float#774  DF#215  CTD#9206	
//Chl_a[mg/m^3]	FLBBAP2	4417	
//Chl_a_corr[mg/m^3]	FLBBAP2	4417	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4417	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4417	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	215	
//pH25C[Total]	Durafet	215	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0896	0.0000	0.0000
//Nitrate	1	1.0000	4.8956	-52.6753
//Nitrate	4	1.0000	1.7563	-0.4995
//Nitrate	44	1.0000	1.3867	0.0000
//pH	1	1.0000	-0.0246	0.0000
//pH	2	1.0000	-0.0324	0.1007
//pH	10	1.0000	-0.0096	0.9003
//pH	14	1.0000	0.0691	0.2454
//pH	18	1.0000	0.0822	-0.0190
//pH	36	1.0000	0.1707	-0.8618
//pH	40	1.0000	0.0932	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1898.76	0	-0.0349	0	34.6595	0	27.838	0	1872.307	0	223.97	0	64.1	0	33.37	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.9012	4	7.6093	4	2355	0	2254	4	449.0	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1799.60	0	-0.0125	0	34.6606	0	27.838	0	1774.942	0	222.08	0	63.6	0	33.30	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.9042	4	7.6086	4	2355	0	2254	4	450.9	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1699.37	0	0.0030	0	34.6623	0	27.838	0	1676.481	0	220.95	0	63.3	0	33.26	0	0.0000	0	0.0000	0	0.000256	1	-1E+10	1	0.92	1	7.9056	4	7.6064	4	2356	0	2255	4	454.7	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1598.79	0	0.0246	0	34.6631	0	27.837	0	1577.630	0	219.87	0	63.1	0	33.40	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.9085	4	7.6056	4	2356	0	2256	4	457.0	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1499.28	0	0.0677	0	34.6646	0	27.836	0	1479.784	0	217.96	0	62.6	0	33.23	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.9101	4	7.6039	4	2356	0	2257	4	460.7	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1399.00	0	0.0976	0	34.6669	0	27.836	0	1381.136	0	216.56	0	62.2	0	33.18	0	0.0000	0	0.0000	0	0.000278	1	-1E+10	1	0.98	1	7.9124	4	7.6027	4	2356	0	2257	4	463.5	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1299.98	0	0.1450	0	34.6683	0	27.834	0	1283.682	0	214.62	0	61.8	0	33.20	0	0.0000	0	0.0000	0	0.000256	1	-1E+10	1	0.92	1	7.9131	4	7.6003	4	2357	0	2258	4	468.4	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1199.11	0	0.1863	0	34.6709	0	27.834	0	1184.360	0	212.77	0	61.3	0	33.18	0	0.0000	0	0.0000	0	0.000278	1	-1E+10	1	0.98	1	7.9119	4	7.5960	4	2357	0	2260	4	475.7	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	1099.36	0	0.2180	0	34.6721	0	27.833	0	1086.095	0	211.29	0	60.9	0	33.16	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	7.9133	4	7.5941	4	2356	0	2260	4	479.5	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	999.84	0	0.2612	0	34.6736	0	27.831	0	988.010	0	209.42	0	60.5	0	33.08	0	0.0000	0	0.0000	0	0.000278	1	-1E+10	1	0.98	1	7.9146	4	7.5922	4	2357	0	2261	4	483.9	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	951.22	0	0.2772	0	34.6740	0	27.830	0	940.074	0	208.79	0	60.3	0	33.14	0	0.0000	0	0.0000	0	0.000290	1	-1E+10	1	1.01	1	7.9104	4	7.5868	4	2356	0	2263	4	491.8	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	901.45	0	0.2945	0	34.6745	0	27.830	0	890.993	0	208.08	0	60.1	0	32.96	0	0.0000	0	0.0000	0	0.000290	1	-1E+10	1	1.01	1	7.9102	4	7.5850	4	2356	0	2264	4	495.0	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	850.95	0	0.3192	0	34.6766	0	27.830	0	841.180	0	207.16	0	59.9	0	32.89	0	0.0000	0	0.0000	0	0.000279	1	-1E+10	1	0.98	1	7.9104	4	7.5837	4	2357	0	2265	4	498.1	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	798.58	0	0.3403	0	34.6771	0	27.829	0	789.511	0	206.40	0	59.7	0	32.97	0	0.0000	0	0.0000	0	0.000279	1	-1E+10	1	0.98	1	7.9111	4	7.5826	4	2358	0	2266	4	500.4	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	751.00	0	0.3754	0	34.6782	0	27.828	0	742.556	0	205.27	0	59.4	0	32.86	0	0.0000	0	0.0000	0	0.000279	1	-1E+10	1	0.98	1	7.9093	4	7.5798	4	2357	0	2267	4	505.5	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	701.00	0	0.4078	0	34.6790	0	27.826	0	693.201	0	204.25	0	59.2	0	32.80	0	0.0000	0	0.0000	0	0.000301	1	-1E+10	1	1.04	1	7.9096	4	7.5786	4	2357	0	2267	4	508.1	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	651.14	0	0.4312	0	34.6799	0	27.825	0	643.973	0	203.52	0	59.0	0	32.69	0	0.0000	0	0.0000	0	0.000301	1	-1E+10	1	1.04	1	7.9096	4	7.5771	4	2356	0	2267	4	511.1	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	600.69	0	0.4603	0	34.6815	0	27.825	0	594.150	0	202.49	0	58.8	0	32.72	0	0.0000	0	0.0000	0	0.000312	1	-1E+10	1	1.07	1	7.9069	4	7.5733	4	2356	0	2267	4	517.5	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	551.46	0	0.4974	0	34.6805	0	27.822	0	545.520	0	201.20	0	58.4	0	32.65	0	0.0000	0	0.0000	0	0.000346	1	-1E+10	1	1.15	1	7.9041	4	7.5694	4	2355	0	2268	4	524.2	4
5906005	1	C	03/10/2019	08:08	329.033	-60.311	0	501.63	0	0.5255	0	34.6804	0	27.820	0	496.286	0	200.09	0	58.2	0	32.54	0	0.0000	0	0.0000	0	0.000357	1	-1E+10	1	1.18	1	7.9012	4	7.5653	4	2354	0	2269	4	531.1	4
