//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:55
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905639
//Univ. of Washington ID: 12787
//MBARI ID: 12787SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 9 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7914	
//Temperature[°C]	Sbe41cp	7914	
//Salinity[pss]	Sbe41cp	7914	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2722	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0125 Spec#107976 Equitech Ti probe #1703.14  MBARI ARGO float#798  DF#199  CTD#7914	
//Chl_a[mg/m^3]	FLBBAP2	4415	
//Chl_a_corr[mg/m^3]	FLBBAP2	4415	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4415	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4415	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	199	
//pH25C[Total]	Durafet	199	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0425	0.0000	0.0000
//Nitrate	1	1.0000	2.8231	-17.3787
//Nitrate	3	1.0000	1.9897	0.8333
//Nitrate	75	1.0000	3.4506	0.0000
//pH	1	1.0000	-0.0116	-0.1201
//pH	5	1.0000	-0.0052	-0.0301
//pH	20	1.0000	-0.0070	-0.2024
//pH	29	1.0000	-0.0384	0.0871
//pH	38	1.0000	-0.0044	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1899.65	0	0.9614	0	34.7191	0	27.830	0	1872.262	0	201.56	0	59.3	0	32.25	0	0.0000	0	0.0000	0	0.000272	1	-1E+10	1	0.96	1	7.8856	0	7.6092	0	2356	0	2254	0	469.8	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1799.13	0	1.0182	0	34.7210	0	27.827	0	1773.610	0	199.82	0	58.8	0	32.14	0	0.0000	0	0.0000	0	0.000272	1	-1E+10	1	0.96	1	7.8847	0	7.6055	0	2356	0	2256	0	476.6	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1699.27	0	1.0716	0	34.7234	0	27.825	0	1675.560	0	198.68	0	58.6	0	31.95	0	0.0000	0	0.0000	0	0.000307	1	-1E+10	1	1.05	1	7.8876	0	7.6051	0	2355	0	2255	0	478.8	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1599.89	0	1.1195	0	34.7248	0	27.823	0	1577.937	0	197.75	0	58.4	0	31.98	0	0.0000	0	0.0000	0	0.000284	1	-1E+10	1	0.99	1	7.8909	0	7.6052	0	2355	0	2255	0	480.4	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1499.60	0	1.1623	0	34.7260	0	27.820	0	1479.373	0	196.97	0	58.2	0	31.91	0	0.0000	0	0.0000	0	0.000295	1	-1E+10	1	1.02	1	7.8914	0	7.6025	0	2355	0	2256	0	485.7	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1399.20	0	1.2344	0	34.7284	0	27.817	0	1380.655	0	195.83	0	58.0	0	31.74	0	0.0000	0	0.0000	0	0.000307	1	-1E+10	1	1.05	1	7.8921	0	7.6004	0	2355	0	2257	0	490.8	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1299.77	0	1.3041	0	34.7307	0	27.813	0	1282.846	0	194.52	0	57.7	0	31.65	0	0.0000	0	0.0000	0	0.000296	1	-1E+10	1	1.02	1	7.8952	0	7.6005	0	2356	0	2257	0	493.0	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1198.95	0	1.3749	0	34.7327	0	27.810	0	1183.622	0	193.69	0	57.6	0	31.52	0	0.0000	0	0.0000	0	0.000296	1	-1E+10	1	1.02	1	7.8984	0	7.6007	0	2356	0	2257	0	495.1	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	1100.10	0	1.4399	0	34.7335	0	27.805	0	1086.291	0	192.97	0	57.4	0	31.40	0	0.0000	0	0.0000	0	0.000307	1	-1E+10	1	1.05	1	7.9024	0	7.6016	0	2355	0	2257	0	496.0	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	999.42	0	1.5397	0	34.7341	0	27.798	0	987.111	0	191.69	0	57.2	0	31.25	0	0.0000	0	0.0000	0	0.000308	1	-1E+10	1	1.05	1	7.9046	0	7.6012	0	2354	0	2256	0	499.2	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	951.51	0	1.5766	0	34.7342	0	27.795	0	939.899	0	190.97	0	57.0	0	31.27	0	0.0000	0	0.0000	0	0.000308	1	-1E+10	1	1.05	1	7.9036	0	7.5990	0	2354	0	2256	0	503.3	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	900.79	0	1.6159	0	34.7342	0	27.792	0	889.905	0	190.40	0	56.9	0	31.29	0	0.0000	0	0.0000	0	0.000342	1	-1E+10	1	1.14	1	7.9053	0	7.5993	0	2354	0	2256	0	504.2	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	851.74	0	1.6580	0	34.7331	0	27.788	0	841.547	0	189.62	0	56.7	0	31.31	0	0.0000	0	0.0000	0	0.000342	1	-1E+10	1	1.14	1	7.9050	0	7.5978	0	2353	0	2256	0	507.5	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	801.66	0	1.7036	0	34.7318	0	27.783	0	792.161	0	188.69	0	56.5	0	31.26	0	0.0000	0	0.0000	0	0.000354	1	-1E+10	1	1.17	1	7.9048	0	7.5964	0	2352	0	2255	0	510.7	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	750.56	0	1.7515	0	34.7291	0	27.777	0	741.757	0	187.43	0	56.2	0	31.30	0	0.0000	0	0.0000	0	0.000331	1	-1E+10	1	1.11	1	7.9043	0	7.5948	0	2351	0	2255	0	514.4	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	701.09	0	1.7824	0	34.7263	0	27.772	0	692.950	0	186.76	0	56.1	0	31.34	0	0.0036	0	0.0012	0	0.000354	1	-1E+10	1	1.17	1	7.9036	0	7.5927	0	2350	0	2255	0	518.2	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	651.04	0	1.8254	0	34.7224	0	27.766	0	643.558	0	185.38	0	55.7	0	31.38	0	0.0000	0	0.0000	0	0.000365	1	-1E+10	1	1.20	1	7.9021	0	7.5902	0	2349	0	2255	0	523.0	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	600.78	0	1.8693	0	34.7178	0	27.759	0	593.947	0	184.28	0	55.4	0	31.54	0	0.0036	0	0.0012	0	0.000423	1	-1E+10	1	1.35	1	7.9027	0	7.5894	0	2348	0	2254	0	525.3	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	551.68	0	1.9056	0	34.7110	0	27.750	0	545.470	0	183.13	0	55.1	0	31.78	0	0.0036	0	0.0012	0	0.000388	1	-1E+10	1	1.26	1	7.9010	0	7.5866	0	2347	0	2254	0	530.4	0
5905639	1	C	04/22/2018	21:06	230.483	-67.004	0	501.47	0	1.9477	0	34.7020	0	27.739	0	495.885	0	181.60	0	54.7	0	31.81	0	0.0036	0	0.0012	0	0.000388	1	-1E+10	1	1.26	1	7.8973	0	7.5820	0	2345	0	2254	0	538.2	0
