//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 02:58
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905973
//Univ. of Washington ID: 12788
//MBARI ID: 12788EQPACW
//No missing float profiles
//Missing Float data detected for adjusted station(s): 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10452	
//Temperature[°C]	Sbe41cp	10452	
//Salinity[pss]	Sbe41cp	10452	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2910	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0122  Spec#107997 Equitech Ti probe #1703.33  MBARI ARGO float#809  DF#220  CTD#10452	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	220	
//pH25C[Total]	Durafet	220	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0699	0.0000	0.0000
//Nitrate	1	1.0000	1.0753	0.3739
//Nitrate	52	1.0000	1.1650	0.8638
//Nitrate	104	1.0000	2.1620	0.0000
//pH	1	1.0000	-0.0840	0.0000
//pH	4	1.0000	-0.1047	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1998.93	0	2.3026	0	34.6310	0	27.663	0	1978.442	0	121.90	0	37.0	0	38.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8760	0	7.6224	0	2406	0	2298	0	489.8	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1898.56	0	2.4243	0	34.6254	0	27.648	0	1879.544	0	118.08	0	36.0	0	38.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8747	0	7.6192	0	2404	0	2297	0	497.1	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1798.35	0	2.5543	0	34.6158	0	27.629	0	1780.757	0	116.04	0	35.5	0	38.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8694	0	7.6126	0	2400	0	2296	0	509.3	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1699.31	0	2.7436	0	34.6070	0	27.605	0	1683.078	0	114.20	0	35.1	0	38.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8698	0	7.6120	0	2395	0	2291	0	514.0	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1598.74	0	2.9411	0	34.5990	0	27.581	0	1583.845	0	108.02	0	33.3	0	39.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8520	0	7.5951	0	2391	0	2294	0	543.5	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1499.87	0	3.0722	0	34.5928	0	27.563	0	1486.243	0	105.91	0	32.8	0	39.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8443	0	7.5863	0	2387	0	2293	0	560.1	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1399.48	0	3.3115	0	34.5844	0	27.534	0	1387.095	0	101.57	0	31.6	0	39.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8368	0	7.5792	0	2382	0	2291	0	576.8	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1298.76	0	3.6539	0	34.5718	0	27.491	0	1287.573	0	97.52	0	30.6	0	39.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8166	0	7.5621	0	2374	0	2289	0	612.7	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1199.87	0	3.9114	0	34.5594	0	27.454	0	1189.815	0	100.87	0	31.9	0	38.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8207	0	7.5657	0	2365	0	2279	0	612.1	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1099.52	0	4.1261	0	34.5577	0	27.430	0	1090.566	0	93.75	0	29.8	0	39.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8073	0	7.5529	0	2362	0	2281	0	640.1	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	1000.05	0	4.5956	0	34.5485	0	27.372	0	992.141	0	85.15	0	27.3	0	39.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7910	0	7.5410	0	2353	0	2276	0	673.5	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	951.43	0	4.7324	0	34.5417	0	27.351	0	944.015	0	93.95	0	30.3	0	39.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7920	0	7.5421	0	2347	0	2270	0	674.2	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	901.22	0	4.9864	0	34.5449	0	27.325	0	894.304	0	79.82	0	25.9	0	39.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7689	0	7.5229	0	2345	0	2275	0	718.6	0
5905973	1	C	08/19/2018	18:55	189.946	-4.001	0	850.99	0	5.2811	0	34.5424	0	27.288	0	844.561	0	76.78	0	25.1	0	39.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7582	0	7.5154	0	2340	0	2273	0	741.6	0
