//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:01
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905969
//Univ. of Washington ID: 12792
//MBARI ID: 12792EQPACW
//No missing float profiles
//Missing Float position interpolated for station(s): 8 9 10 11 12 13 14 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 8 16 85 86 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10223	
//Temperature[°C]	Sbe41cp	10223	
//Salinity[pss]	Sbe41cp	10223	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2806	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4974	
//Chl_a_corr[mg/m^3]	FLBBAP2	4974	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4974	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4974	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	211	
//pH25C[Total]	Durafet	211	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0767	0.0000	0.0000
//pH	1	1.0000	-0.0249	-0.0760
//pH	16	1.0000	-0.0315	0.0000
//pH	48	1.0000	-0.0233	-0.0180
//pH	86	1.0000	-0.0382	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1999.76	0	2.2649	0	34.6321	0	27.667	0	1979.111	0	94.93	0	28.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000311	1	-1E+10	1	1.06	1	7.7333	0	7.4957	0	2417	0	2359	0	694.4	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1898.77	0	2.3677	0	34.6260	0	27.653	0	1879.609	0	92.12	0	28.0	0	-1E+10	1	0.0073	0	0.0073	0	0.000311	1	-1E+10	1	1.06	1	7.7294	0	7.4899	0	2414	0	2359	0	709.0	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1798.91	0	2.4917	0	34.6208	0	27.638	0	1781.175	0	87.19	0	26.6	0	-1E+10	1	0.0073	0	0.0073	0	0.000323	1	-1E+10	1	1.09	1	7.7219	0	7.4814	0	2412	0	2359	0	730.2	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1699.98	0	2.6431	0	34.6124	0	27.618	0	1683.613	0	83.34	0	25.5	0	-1E+10	1	0.0073	0	0.0073	0	0.000347	1	-1E+10	1	1.16	1	7.7133	0	7.4723	0	2407	0	2358	0	753.6	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1598.99	0	2.7974	0	34.6060	0	27.599	0	1583.972	0	78.65	0	24.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000312	1	-1E+10	1	1.06	1	7.7044	0	7.4628	0	2403	0	2357	0	778.7	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1499.26	0	3.0203	0	34.5970	0	27.571	0	1485.529	0	73.62	0	22.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000312	1	-1E+10	1	1.06	1	7.6947	0	7.4535	0	2398	0	2355	0	806.1	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1398.82	0	3.2768	0	34.5887	0	27.541	0	1386.338	0	67.91	0	21.1	0	-1E+10	1	0.0037	0	0.0037	0	0.000325	1	-1E+10	1	1.10	1	7.6847	0	7.4445	0	2392	0	2353	0	834.9	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1299.51	0	3.4885	0	34.5813	0	27.514	0	1288.218	0	63.39	0	19.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000313	1	-1E+10	1	1.07	1	7.6742	0	7.4344	0	2387	0	2351	0	865.6	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1198.68	0	3.8293	0	34.5703	0	27.471	0	1188.548	0	58.50	0	18.4	0	-1E+10	1	0.0073	0	0.0073	0	0.000326	1	-1E+10	1	1.10	1	7.6645	0	7.4265	0	2379	0	2346	0	895.7	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	1099.25	0	4.1811	0	34.5597	0	27.426	0	1090.217	0	51.83	0	16.5	0	-1E+10	1	0.0109	0	0.0109	0	0.000326	1	-1E+10	1	1.10	1	7.6493	0	7.4141	0	2371	0	2342	0	938.9	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	999.84	0	4.5135	0	34.5514	0	27.383	0	991.859	0	48.94	0	15.7	0	-1E+10	1	0.0037	0	0.0037	0	0.000327	1	-1E+10	1	1.10	1	7.6448	0	7.4107	0	2363	0	2335	0	958.6	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	950.62	0	4.6924	0	34.5485	0	27.361	0	943.142	0	43.58	0	14.0	0	-1E+10	1	0.0073	0	0.0073	0	0.000339	1	-1E+10	1	1.14	1	7.6272	0	7.3957	0	2360	0	2337	0	1005.7	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	901.02	0	4.9305	0	34.5428	0	27.329	0	894.038	0	42.29	0	13.7	0	-1E+10	1	0.0073	0	0.0073	0	0.000340	1	-1E+10	1	1.14	1	7.6263	0	7.3960	0	2354	0	2332	0	1013.1	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	850.89	0	5.1523	0	34.5409	0	27.302	0	844.398	0	37.61	0	12.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000328	1	-1E+10	1	1.11	1	7.6126	0	7.3849	0	2351	0	2332	0	1053.3	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	800.93	0	5.3970	0	34.5371	0	27.270	0	794.914	0	34.42	0	11.3	0	-1E+10	1	0.0073	0	0.0073	0	0.000341	1	-1E+10	1	1.14	1	7.6065	0	7.3808	0	2347	0	2329	0	1074.4	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	750.84	0	5.7381	0	34.5319	0	27.224	0	745.290	0	33.49	0	11.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000341	1	-1E+10	1	1.14	1	7.6088	0	7.3852	0	2340	0	2321	0	1073.9	0
5905969	1	C	09/06/2018	03:31	205.283	7.950	0	701.17	0	6.1131	0	34.5314	0	27.176	0	696.070	0	27.90	0	9.3	0	-1E+10	1	0.0146	0	0.0146	0	0.000342	1	-1E+10	1	1.14	1	7.5947	0	7.3756	0	2335	0	2319	0	1117.4	0
