//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906033
//Univ. of Washington ID: 12878
//MBARI ID: 12878SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10364	
//Temperature[°C]	Sbe41cp	10364	
//Salinity[pss]	Sbe41cp	10364	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2862	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0127  Spec#108003 Equitech Ti probe #1604.34  MBARI ARGO float#817  DF#229  CTD#10364	
//Chl_a[mg/m^3]	FLBBAP2	4686	
//Chl_a_corr[mg/m^3]	FLBBAP2	4686	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4686	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4686	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	229	
//pH25C[Total]	Durafet	229	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0623	0.0000	0.0000
//Nitrate	1	1.0000	5.7459	-52.7395
//Nitrate	3	1.0000	4.2062	0.1270
//Nitrate	40	1.0000	4.4362	0.0000
//pH	1	1.0000	-0.0956	0.8048
//pH	3	1.0000	-0.0679	0.0770
//pH	11	1.0000	-0.0466	-0.0668
//pH	17	1.0000	-0.0441	-0.0880
//pH	28	1.0000	-0.0672	0.0744
//pH	40	1.0000	-0.0376	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1798.89	0	0.2926	0	34.6782	0	27.836	0	1773.555	0	214.63	0	62.0	0	32.61	0	0.0036	0	0.0012	0	0.000149	1	-1E+10	1	0.64	1	7.8807	0	7.5918	0	2357	0	2262	0	478.9	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1699.70	0	0.3299	0	34.6798	0	27.835	0	1676.154	0	212.73	0	61.5	0	32.54	0	0.0036	0	0.0012	0	0.000149	1	-1E+10	1	0.64	1	7.8840	0	7.5917	0	2357	0	2262	0	480.7	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1599.60	0	0.3725	0	34.6814	0	27.833	0	1577.813	0	211.55	0	61.2	0	32.57	0	0.0036	0	0.0012	0	0.000172	1	-1E+10	1	0.70	1	7.8864	0	7.5907	0	2357	0	2263	0	483.6	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1500.20	0	0.4210	0	34.6844	0	27.833	0	1480.114	0	209.30	0	60.7	0	32.71	0	0.0036	0	0.0012	0	0.000172	1	-1E+10	1	0.70	1	7.8884	0	7.5895	0	2358	0	2263	0	487.0	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1399.71	0	0.4654	0	34.6860	0	27.831	0	1381.298	0	208.34	0	60.5	0	32.59	0	0.0036	0	0.0012	0	0.000183	1	-1E+10	1	0.73	1	7.8929	0	7.5904	0	2357	0	2263	0	487.5	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1298.85	0	0.5048	0	34.6875	0	27.829	0	1282.071	0	208.36	0	60.5	0	32.53	0	0.0072	0	0.0024	0	0.000184	1	-1E+10	1	0.73	1	7.8991	0	7.5927	0	2357	0	2262	0	485.8	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1199.37	0	0.5574	0	34.6898	0	27.828	0	1184.156	0	207.76	0	60.4	0	32.55	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.9028	0	7.5931	0	2357	0	2261	0	487.1	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	1099.63	0	0.6245	0	34.6930	0	27.826	0	1085.939	0	206.89	0	60.3	0	32.29	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.9105	0	7.5973	0	2357	0	2260	0	483.6	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	999.24	0	0.6701	0	34.6930	0	27.823	0	987.035	0	208.18	0	60.7	0	32.19	0	0.0036	0	0.0012	0	0.000195	1	-1E+10	1	0.76	1	7.9187	0	7.6016	0	2356	0	2257	0	479.3	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	950.87	0	0.6996	0	34.6933	0	27.821	0	939.364	0	208.09	0	60.8	0	32.14	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.9190	0	7.6005	0	2356	0	2257	0	481.8	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	901.42	0	0.7418	0	34.6954	0	27.820	0	890.618	0	207.66	0	60.7	0	32.15	0	0.0036	0	0.0012	0	0.000195	1	-1E+10	1	0.76	1	7.9208	0	7.6009	0	2355	0	2257	0	482.5	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	851.39	0	0.7884	0	34.6977	0	27.819	0	841.288	0	207.05	0	60.6	0	32.09	0	0.0036	0	0.0012	0	0.000195	1	-1E+10	1	0.76	1	7.9237	0	7.6023	0	2355	0	2256	0	481.9	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	801.40	0	0.8159	0	34.6974	0	27.817	0	791.985	0	207.35	0	60.7	0	32.04	0	0.0036	0	0.0012	0	0.000196	1	-1E+10	1	0.76	1	7.9276	0	7.6043	0	2355	0	2255	0	480.1	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	751.63	0	0.9188	0	34.7045	0	27.816	0	742.889	0	204.48	0	60.0	0	32.00	0	0.0036	0	0.0012	0	0.000207	1	-1E+10	1	0.79	1	7.9289	0	7.6052	0	2355	0	2255	0	481.7	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	701.23	0	0.9853	0	34.7078	0	27.814	0	693.158	0	202.47	0	59.6	0	32.04	0	0.0036	0	0.0012	0	0.000207	1	-1E+10	1	0.79	1	7.9320	0	7.6071	0	2355	0	2255	0	481.0	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	650.94	0	1.0358	0	34.7082	0	27.811	0	643.525	0	201.80	0	59.4	0	31.91	0	0.0072	0	0.0024	0	0.000230	1	-1E+10	1	0.85	1	7.9350	0	7.6086	0	2355	0	2254	0	480.3	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	601.14	0	1.0898	0	34.7099	0	27.808	0	594.363	0	200.79	0	59.2	0	31.90	0	0.0036	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.9385	0	7.6107	0	2354	0	2252	0	479.0	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	551.42	0	1.0715	0	34.7039	0	27.804	0	545.269	0	202.11	0	59.6	0	31.93	0	0.0036	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.9425	0	7.6122	0	2354	0	2251	0	476.7	0
5906033	1	C	04/19/2019	14:16	29.957	-65.504	0	501.23	0	1.1028	0	34.7018	0	27.801	0	495.699	0	201.62	0	59.5	0	31.96	0	0.0036	0	0.0012	0	0.000320	1	-1E+10	1	1.09	1	7.9451	0	7.6132	0	2353	0	2250	0	476.3	0
