//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:06
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906007
//Univ. of Washington ID: 12880
//MBARI ID: 12880SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10444	
//Temperature[°C]	Sbe41cp	10444	
//Salinity[pss]	Sbe41cp	10444	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2857	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0148  Spec#108002 Equitech Ti probe #1703.23  MBARI ARGO float#813  DF#225  CTD#10444	
//Chl_a[mg/m^3]	FLBBAP2	4681	
//Chl_a_corr[mg/m^3]	FLBBAP2	4681	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4681	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4681	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	225	
//pH25C[Total]	Durafet	225	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0891	0.0000	0.0000
//Nitrate	1	1.0000	1.1467	-42.7795
//Nitrate	3	1.0000	-0.2368	0.4048
//Nitrate	63	1.0000	0.3793	0.0000
//pH	1	1.0000	-0.0110	-0.0304
//pH	32	1.0000	-0.0167	-0.1242
//pH	36	1.0000	-0.0077	-0.0110
//pH	63	1.0000	-0.0149	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1799.10	0	0.3737	0	34.6797	0	27.833	0	1774.428	0	211.07	0	61.1	0	32.95	0	0.0073	0	0.0024	0	0.000325	1	-1E+10	1	1.10	1	7.8664	4	7.5802	4	2357	0	2266	4	496.4	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1698.76	0	0.4134	0	34.6808	0	27.831	0	1675.860	0	208.30	0	60.4	0	33.10	0	0.0073	0	0.0024	0	0.000257	1	-1E+10	1	0.92	1	7.8677	4	7.5782	4	2357	0	2267	4	500.9	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1599.30	0	0.4661	0	34.6836	0	27.830	0	1578.111	0	207.20	0	60.1	0	32.95	0	0.0037	0	0.0012	0	0.000257	1	-1E+10	1	0.92	1	7.8734	4	7.5803	4	2357	0	2267	4	499.8	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1499.65	0	0.5266	0	34.6869	0	27.828	0	1480.129	0	207.07	0	60.2	0	32.86	0	0.0000	0	0.0000	0	0.000245	1	-1E+10	1	0.89	1	7.8814	4	7.5846	4	2357	0	2265	4	495.8	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1399.16	0	0.5584	0	34.6870	0	27.826	0	1381.276	0	204.83	0	59.6	0	32.69	0	0.0037	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.8808	4	7.5808	4	2357	0	2266	4	502.5	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1299.73	0	0.6023	0	34.6888	0	27.825	0	1283.419	0	203.99	0	59.4	0	32.85	0	0.0073	0	0.0024	0	0.000280	1	-1E+10	1	0.98	1	7.8845	4	7.5810	4	2357	0	2266	4	503.9	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1199.36	0	0.6711	0	34.6931	0	27.824	0	1184.591	0	205.04	0	59.8	0	32.58	0	0.0037	0	0.0012	0	0.000382	1	-1E+10	1	1.25	1	7.8923	4	7.5853	4	2357	0	2264	4	500.1	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	1099.74	0	0.7364	0	34.6953	0	27.821	0	1086.455	0	203.91	0	59.6	0	32.54	0	0.0037	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.8991	4	7.5886	4	2356	0	2262	4	497.6	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	999.78	0	0.8056	0	34.6968	0	27.818	0	987.938	0	203.09	0	59.5	0	32.15	0	0.0037	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.9059	4	7.5920	4	2356	0	2261	4	495.1	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	950.79	0	0.8492	0	34.6976	0	27.815	0	939.638	0	202.19	0	59.3	0	32.12	0	0.0037	0	0.0012	0	0.000314	1	-1E+10	1	1.07	1	7.9014	4	7.5868	4	2356	0	2262	4	503.7	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	901.44	0	0.9719	0	34.7066	0	27.815	0	890.972	0	202.50	0	59.5	0	31.63	0	0.0073	0	0.0024	0	0.000315	1	-1E+10	1	1.07	1	7.9096	4	7.5941	4	2355	0	2259	4	496.6	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	851.05	0	1.0083	0	34.7071	0	27.812	0	841.268	0	202.47	0	59.6	0	31.59	0	0.0073	0	0.0024	0	0.000360	1	-1E+10	1	1.19	1	7.9104	4	7.5934	4	2355	0	2259	4	498.6	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	801.65	0	0.9877	0	34.7003	0	27.808	0	792.530	0	201.16	0	59.2	0	31.80	0	0.0037	0	0.0012	0	0.000326	1	-1E+10	1	1.10	1	7.9078	4	7.5889	4	2354	0	2260	4	504.7	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	751.30	0	1.0084	0	34.6967	0	27.804	0	742.842	0	199.74	0	58.8	0	31.83	0	0.0109	0	0.0037	0	0.000326	1	-1E+10	1	1.10	1	7.9074	4	7.5870	4	2354	0	2261	4	508.1	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	700.26	0	1.1378	0	34.7032	0	27.800	0	692.461	0	198.62	0	58.7	0	31.59	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9096	4	7.5889	4	2353	0	2260	4	508.7	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	651.08	0	1.1774	0	34.7016	0	27.796	0	643.905	0	197.76	0	58.5	0	31.71	0	0.0073	0	0.0024	0	0.000315	1	-1E+10	1	1.07	1	7.9107	4	7.5887	4	2353	0	2259	4	510.2	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	600.76	0	1.2656	0	34.7028	0	27.791	0	594.211	0	196.55	0	58.2	0	31.61	0	0.0109	0	0.0037	0	0.000361	1	-1E+10	1	1.19	1	7.9109	4	7.5883	4	2352	0	2259	4	513.1	4
5906007	1	C	03/30/2019	09:08	30.164	-60.472	0	551.02	0	1.3669	0	34.7026	0	27.783	0	545.079	0	194.79	0	57.9	0	31.54	0	0.0037	0	0.0012	0	0.000350	1	-1E+10	1	1.16	1	7.9100	4	7.5870	4	2351	0	2258	4	517.3	4
