//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:09
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905982
//Univ. of Washington ID: 12881
//MBARI ID: 12881SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10447	
//Temperature[°C]	Sbe41cp	10447	
//Salinity[pss]	Sbe41cp	10447	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2951	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0144  Spec#108005 Equitech Ti probe #1703.26  MBARI ARGO float#815  DF#227  CTD#10447	
//Chl_a[mg/m^3]	FLBBAP2	4678	
//Chl_a_corr[mg/m^3]	FLBBAP2	4678	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4678	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4678	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	227	
//pH25C[Total]	Durafet	227	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0391	0.0000	0.0000
//Nitrate	1	1.0000	-1.1702	-28.8943
//Nitrate	3	1.0000	-2.0973	-1.1037
//Nitrate	79	1.0000	-4.2752	0.0000
//pH	1	1.0000	0.0174	-1.0231
//pH	3	1.0000	-0.0128	0.0000
//pH	31	1.0000	-0.0032	-0.0220
//pH	48	1.0000	-0.0002	-0.0154
//pH	60	1.0000	-0.0108	0.0086
//pH	79	1.0000	-0.0044	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1999.38	0	2.9033	0	34.7773	0	27.730	0	1975.942	0	211.34	0	65.3	0	27.42	0	0.0108	0	0.0036	0	0.000306	1	-1E+10	1	1.05	1	7.9054	4	7.6581	4	2330	0	2211	4	441.8	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1899.68	0	2.8905	0	34.7376	0	27.698	0	1877.850	0	203.74	0	62.9	0	28.60	0	0.0108	0	0.0036	0	0.000317	1	-1E+10	1	1.08	1	7.8926	4	7.6426	4	2331	0	2217	4	461.8	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1799.32	0	2.8790	0	34.7041	0	27.672	0	1779.063	0	197.67	0	61.0	0	29.69	0	0.0072	0	0.0024	0	0.000341	1	-1E+10	1	1.14	1	7.8813	4	7.6285	4	2330	0	2222	4	480.6	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1698.97	0	2.8766	0	34.6729	0	27.646	0	1680.240	0	193.67	0	59.7	0	30.20	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	7.8717	4	7.6161	4	2330	0	2226	4	498.0	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1599.17	0	2.8892	0	34.6236	0	27.605	0	1581.913	0	189.60	0	58.5	0	31.35	0	0.0072	0	0.0024	0	0.000341	1	-1E+10	1	1.14	1	7.8622	4	7.6040	4	2328	0	2229	4	515.7	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1499.50	0	2.9138	0	34.5569	0	27.549	0	1483.668	0	186.61	0	57.5	0	32.35	0	0.0036	0	0.0012	0	0.000341	1	-1E+10	1	1.14	1	7.8513	4	7.5909	4	2325	0	2232	4	535.6	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1399.40	0	3.0013	0	34.4909	0	27.488	0	1384.953	0	188.44	0	58.2	0	32.98	0	0.0036	0	0.0012	0	0.000341	1	-1E+10	1	1.14	1	7.8459	4	7.5835	4	2320	0	2230	4	548.5	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1299.56	0	3.1482	0	34.4387	0	27.432	0	1286.448	0	193.75	0	60.0	0	32.78	0	0.0036	0	0.0012	0	0.000330	1	-1E+10	1	1.11	1	7.8516	4	7.5871	4	2315	0	2223	4	546.3	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1199.23	0	3.3798	0	34.3694	0	27.355	0	1187.413	0	202.32	0	63.0	0	32.39	0	0.0036	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.8577	4	7.5922	4	2307	0	2214	4	543.4	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	1098.99	0	3.6648	0	34.3074	0	27.277	0	1088.420	0	214.57	0	67.3	0	31.55	0	0.0072	0	0.0024	0	0.000332	1	-1E+10	1	1.12	1	7.8723	4	7.6058	4	2299	0	2201	4	529.1	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	999.40	0	4.2462	0	34.2682	0	27.187	0	990.023	0	226.95	0	72.1	0	29.58	0	0.0072	0	0.0024	0	0.000344	1	-1E+10	1	1.15	1	7.8932	4	7.6295	4	2290	0	2185	4	507.6	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	951.36	0	4.3937	0	34.2481	0	27.155	0	942.542	0	234.70	0	74.8	0	28.90	0	0.0000	0	0.0000	0	0.000322	1	-1E+10	1	1.09	1	7.8882	4	7.6253	4	2287	0	2183	4	516.6	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	901.15	0	4.6926	0	34.2572	0	27.129	0	892.904	0	234.98	0	75.5	0	28.10	0	0.0036	0	0.0012	0	0.000322	1	-1E+10	1	1.09	1	7.8926	4	7.6317	4	2285	0	2179	4	514.3	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	850.62	0	5.0792	0	34.2754	0	27.100	0	842.938	0	237.07	0	76.9	0	27.25	0	0.0000	0	0.0000	0	0.000323	1	-1E+10	1	1.09	1	7.8910	4	7.6338	4	2284	0	2177	4	520.0	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	801.68	0	5.4995	0	34.3058	0	27.074	0	794.533	0	232.64	0	76.2	0	26.57	0	0.0000	0	0.0000	0	0.000335	1	-1E+10	1	1.12	1	7.8889	4	7.6361	4	2284	0	2176	4	526.7	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	751.62	0	6.1856	0	34.3626	0	27.034	0	745.009	0	228.15	0	76.0	0	25.51	0	0.0036	0	0.0012	0	0.000313	1	-1E+10	1	1.07	1	7.8864	4	7.6417	4	2284	0	2174	4	534.7	4
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	701.43	0	6.7921	0	34.4233	0	27.002	0	695.344	0	225.28	0	76.1	0	24.22	0	0.0036	0	0.0012	0	0.000325	1	-1E+10	1	1.10	1	-1e10	1	-1e10	1	2285	0	 -1e10	1	 -1e10	1
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	651.67	0	7.8110	0	34.5378	0	26.949	0	646.093	0	217.70	0	75.3	0	22.19	0	0.0036	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2288	0	 -1e10	1	 -1e10	1
5905982	1	C	10/21/2018	10:30	326.341	-32.377	0	600.68	0	9.2056	0	34.7176	0	26.875	0	595.612	0	209.51	0	74.8	0	19.23	0	0.0000	0	0.0000	0	0.000340	1	-1E+10	1	1.14	1	-1e10	1	-1e10	1	2292	0	 -1e10	1	 -1e10	1
