//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:12
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906032
//Univ. of Washington ID: 12882
//MBARI ID: 12882SOOCN
//Missing Float profile(s) for station(s): 58 
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10367	
//Temperature[°C]	Sbe41cp	10367	
//Salinity[pss]	Sbe41cp	10367	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2873	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0134  Spec#114264 Equitech Ti probe #1804.23  MBARI ARGO float#830  DF#SBE C8  CTD#10367	
//Chl_a[mg/m^3]	FLBBAP2	4808	
//Chl_a_corr[mg/m^3]	FLBBAP2	4808	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4808	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4808	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0603	0.0000	0.0000
//Nitrate	1	1.0000	2.9452	0.0000
//Nitrate	2	1.0000	1.8133	-4.3632
//Nitrate	16	1.0000	0.7076	-0.8362
//Nitrate	59	1.0000	-0.1586	0.0000
//pH	1	1.0000	-0.0192	0.0093
//pH	22	1.0000	-0.0284	0.0843
//pH	29	1.0000	-0.0078	-0.0632
//pH	35	1.0000	-0.0400	0.0646
//pH	39	1.0000	-0.0128	0.0000
//pH	59	1.0000	-0.0167	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1999.08	0	2.5291	0	34.7589	0	27.747	0	1973.430	0	198.51	0	60.7	0	29.73	0	0.0109	0	0.0037	0	0.000355	1	-1E+10	1	1.18	1	7.9002	0	7.6480	0	2342	0	2226	0	449.3	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1898.44	0	2.5544	0	34.7409	0	27.730	0	1874.524	0	192.39	0	58.9	0	30.25	0	0.0073	0	0.0024	0	0.000342	1	-1E+10	1	1.14	1	7.8933	0	7.6384	0	2342	0	2229	0	462.5	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1799.57	0	2.6219	0	34.7287	0	27.714	0	1777.312	0	190.32	0	58.3	0	30.39	0	0.0073	0	0.0024	0	0.000306	1	-1E+10	1	1.05	1	7.8911	0	7.6337	0	2340	0	2230	0	470.4	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1699.25	0	2.6357	0	34.7014	0	27.690	0	1678.629	0	185.51	0	56.9	0	31.30	0	0.0037	0	0.0012	0	0.000343	1	-1E+10	1	1.14	1	7.8827	0	7.6226	0	2340	0	2234	0	486.1	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1599.32	0	2.6486	0	34.6662	0	27.660	0	1580.284	0	180.56	0	55.4	0	32.00	0	0.0073	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.8708	0	7.6083	0	2339	0	2239	0	506.7	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1499.80	0	2.6618	0	34.6329	0	27.631	0	1482.297	0	177.36	0	54.4	0	32.71	0	0.0073	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.8619	0	7.5969	0	2337	0	2241	0	523.6	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1399.11	0	2.6938	0	34.5830	0	27.588	0	1383.112	0	175.67	0	53.9	0	33.36	0	0.0073	0	0.0024	0	0.000331	1	-1E+10	1	1.11	1	7.8582	0	7.5903	0	2334	0	2240	0	534.1	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1299.12	0	2.8407	0	34.5560	0	27.553	0	1284.570	0	174.67	0	53.8	0	33.50	0	0.0109	0	0.0037	0	0.000319	1	-1E+10	1	1.08	1	7.8533	0	7.5842	0	2331	0	2240	0	547.0	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1199.75	0	2.8096	0	34.4873	0	27.500	0	1186.593	0	179.26	0	55.1	0	34.01	0	0.0073	0	0.0024	0	0.000356	1	-1E+10	1	1.18	1	7.8459	0	7.5735	0	2326	0	2239	0	562.3	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	1099.25	0	2.9750	0	34.4459	0	27.452	0	1087.455	0	183.14	0	56.5	0	34.03	0	0.0109	0	0.0037	0	0.000344	1	-1E+10	1	1.15	1	7.8568	0	7.5820	0	2321	0	2231	0	553.0	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	998.60	0	3.1370	0	34.4041	0	27.403	0	988.122	0	188.99	0	58.5	0	33.47	0	0.0109	0	0.0037	0	0.000394	1	-1E+10	1	1.28	1	7.8643	0	7.5874	0	2315	0	2224	0	548.4	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	951.35	0	3.3723	0	34.4120	0	27.387	0	941.474	0	188.61	0	58.8	0	33.31	0	0.0073	0	0.0024	0	0.000345	1	-1E+10	1	1.15	1	7.8689	0	7.5931	0	2314	0	2220	0	545.6	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	901.44	0	3.5771	0	34.4007	0	27.358	0	892.188	0	189.13	0	59.2	0	32.72	0	0.0109	0	0.0037	0	0.000382	1	-1E+10	1	1.25	1	7.8747	0	7.5994	0	2312	0	2216	0	540.8	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	850.97	0	3.4933	0	34.3374	0	27.316	0	842.338	0	203.08	0	63.4	0	32.49	0	0.0073	0	0.0024	0	0.000345	1	-1E+10	1	1.15	1	7.8818	0	7.6029	0	2305	0	2209	0	532.9	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	801.20	0	3.6904	0	34.3265	0	27.287	0	793.167	0	207.78	0	65.2	0	32.00	0	0.0073	0	0.0024	0	0.000346	1	-1E+10	1	1.15	1	7.8899	0	7.6112	0	2302	0	2203	0	525.1	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	750.58	0	3.7423	0	34.2900	0	27.253	0	743.145	0	216.51	0	68.0	0	31.45	0	0.0037	0	0.0012	0	0.000358	1	-1E+10	1	1.18	1	7.8996	0	7.6190	0	2298	0	2196	0	514.8	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	701.34	0	3.9097	0	34.2722	0	27.222	0	694.474	0	223.64	0	70.5	0	30.72	0	0.0037	0	0.0012	0	0.000371	1	-1E+10	1	1.22	1	7.9063	0	7.6257	0	2295	0	2191	0	508.8	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	651.46	0	3.9165	0	34.2310	0	27.188	0	645.160	0	231.67	0	73.0	0	29.88	0	0.0000	0	0.0000	0	0.000371	1	-1E+10	1	1.22	1	7.9197	0	7.6364	0	2291	0	2183	0	494.0	0
5906032	1	C	05/06/2019	14:54	29.094	-44.958	0	601.47	0	4.0373	0	34.2060	0	27.155	0	595.725	0	243.24	0	76.9	0	29.37	0	0.0000	0	0.0000	0	0.000371	1	-1E+10	1	1.22	1	7.9273	0	7.6433	0	2288	0	2177	0	487.0	0
