//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:14
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905981
//Univ. of Washington ID: 12883
//MBARI ID: 12883SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10440	
//Temperature[°C]	Sbe41cp	10440	
//Salinity[pss]	Sbe41cp	10440	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2853	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0071  Spec#107996 Equitech Ti probe #1703.32  MBARI ARGO float#808  DF#223  CTD#10440	
//Chl_a[mg/m^3]	FLBBAP2	4677	
//Chl_a_corr[mg/m^3]	FLBBAP2	4677	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4677	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4677	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	223	
//pH25C[Total]	Durafet	223	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0411	0.0000	0.0000
//Nitrate	1	1.0000	0.0932	-6.8411
//Nitrate	5	1.0000	-0.0970	0.2090
//Nitrate	61	1.0000	0.2198	0.0000
//pH	1	1.0000	0.0024	-0.0358
//pH	9	1.0000	-0.0017	0.0087
//pH	61	1.0000	0.0136	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1999.30	0	2.9139	0	34.8437	0	27.782	0	1976.674	0	228.94	0	70.8	0	24.74	0	0.0108	0	0.0108	0	0.000236	1	-1E+10	1	0.87	1	7.9482	0	7.6976	0	2328	0	2192	0	396.6	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1899.11	0	2.8861	0	34.8104	0	27.757	0	1878.059	0	221.13	0	68.3	0	25.94	0	0.0108	0	0.0108	0	0.000248	1	-1E+10	1	0.90	1	7.9346	0	7.6810	0	2329	0	2200	0	415.6	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1799.00	0	2.8762	0	34.7798	0	27.733	0	1779.477	0	214.33	0	66.1	0	26.97	0	0.0108	0	0.0108	0	0.000259	1	-1E+10	1	0.93	1	7.9229	0	7.6663	0	2329	0	2206	0	433.3	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1698.60	0	2.8969	0	34.7545	0	27.710	0	1680.564	0	208.93	0	64.5	0	27.85	0	0.0072	0	0.0072	0	0.000270	1	-1E+10	1	0.96	1	7.9155	0	7.6562	0	2329	0	2210	0	446.7	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1600.07	0	2.9353	0	34.7091	0	27.669	0	1583.448	0	200.58	0	62.0	0	29.16	0	0.0108	0	0.0108	0	0.000259	1	-1E+10	1	0.93	1	7.8960	0	7.6353	0	2328	0	2217	0	474.7	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1499.08	0	3.0069	0	34.6540	0	27.618	0	1483.861	0	193.01	0	59.7	0	30.40	0	0.0108	0	0.0108	0	0.000282	1	-1E+10	1	0.99	1	7.8792	0	7.6173	0	2326	0	2223	0	501.0	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1399.45	0	3.0639	0	34.6134	0	27.580	0	1385.570	0	189.55	0	58.7	0	31.15	0	0.0072	0	0.0072	0	0.000282	1	-1E+10	1	0.99	1	7.8708	0	7.6069	0	2324	0	2224	0	517.3	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1299.65	0	3.1411	0	34.5602	0	27.530	0	1287.064	0	186.93	0	58.0	0	31.99	0	0.0108	0	0.0108	0	0.000282	1	-1E+10	1	0.99	1	7.8657	0	7.5997	0	2321	0	2224	0	529.6	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1199.66	0	3.3146	0	34.4892	0	27.456	0	1188.324	0	186.90	0	58.2	0	32.57	0	0.0108	0	0.0108	0	0.000283	1	-1E+10	1	0.99	1	7.8555	0	7.5892	0	2316	0	2223	0	549.2	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	1099.18	0	3.5193	0	34.4248	0	27.385	0	1089.054	0	191.35	0	59.8	0	32.62	0	0.0072	0	0.0072	0	0.000272	1	-1E+10	1	0.96	1	7.8579	0	7.5907	0	2310	0	2217	0	551.6	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	999.88	0	3.8784	0	34.3679	0	27.303	0	990.903	0	198.66	0	62.6	0	31.88	0	0.0072	0	0.0072	0	0.000295	1	-1E+10	1	1.02	1	7.8636	0	7.5972	0	2302	0	2207	0	549.5	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	951.31	0	4.0629	0	34.3509	0	27.271	0	942.879	0	202.36	0	64.1	0	31.46	0	0.0072	0	0.0072	0	0.000307	1	-1E+10	1	1.05	1	7.8696	0	7.6035	0	2299	0	2202	0	544.2	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	900.84	0	4.3445	0	34.3311	0	27.225	0	892.964	0	207.65	0	66.2	0	30.73	0	0.0072	0	0.0072	0	0.000285	1	-1E+10	1	0.99	1	7.8766	0	7.6120	0	2295	0	2195	0	537.7	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	851.42	0	4.6237	0	34.3272	0	27.192	0	844.075	0	211.14	0	67.7	0	30.01	0	0.0036	0	0.0036	0	0.000274	1	-1E+10	1	0.97	1	7.8808	0	7.6180	0	2292	0	2190	0	535.2	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	801.59	0	5.2404	0	34.3343	0	27.127	0	794.770	0	215.47	0	70.2	0	28.26	0	0.0072	0	0.0072	0	0.000275	1	-1E+10	1	0.97	1	7.8914	0	7.6346	0	2288	0	2181	0	524.9	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	750.80	0	5.8311	0	34.3750	0	27.088	0	744.503	0	213.59	0	70.5	0	27.20	0	0.0072	0	0.0072	0	0.000299	1	-1E+10	1	1.03	1	7.8911	0	7.6408	0	2288	0	2178	0	529.7	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	701.30	0	6.4801	0	34.4279	0	27.047	0	695.500	0	210.63	0	70.6	0	25.78	0	0.0072	0	0.0072	0	0.000288	1	-1E+10	1	1.00	1	7.8955	0	7.6523	0	2288	0	2174	0	528.3	0
5905981	1	C	10/19/2018	08:31	331.683	-27.216	0	651.42	0	7.4464	0	34.5181	0	26.986	0	646.110	0	205.95	0	70.6	0	23.74	0	0.0036	0	0.0036	0	0.000312	1	-1E+10	1	1.06	1	7.9006	0	7.6690	0	2291	0	2170	0	527.3	0
