//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:16
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906006
//Univ. of Washington ID: 12884
//MBARI ID: 12884SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10441	
//Temperature[°C]	Sbe41cp	10441	
//Salinity[pss]	Sbe41cp	10441	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2856	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0121  Spec#108001 Equitech Ti probe #1703.22  MBARI ARGO float#812  DF#224  CTD#10441	
//Chl_a[mg/m^3]	FLBBAP2	4680	
//Chl_a_corr[mg/m^3]	FLBBAP2	4680	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4680	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4680	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	224	
//pH25C[Total]	Durafet	224	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0873	0.0000	0.0000
//Nitrate	1	1.0000	0.5459	-2.8322
//Nitrate	14	1.0000	-0.2170	0.1943
//Nitrate	50	1.0000	-0.1381	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1799.21	0	-0.0083	0	34.6216	0	27.806	0	1774.489	0	224.70	0	64.4	0	33.62	0	0.0036	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1699.38	0	0.0323	0	34.6232	0	27.805	0	1676.424	0	221.71	0	63.6	0	33.65	0	0.0036	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	-1e10	1	-1e10	1	2351	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1599.16	0	0.0668	0	34.6256	0	27.805	0	1577.931	0	219.95	0	63.1	0	33.80	0	0.0072	0	0.0024	0	0.000275	1	-1E+10	1	0.97	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1499.69	0	0.1165	0	34.6278	0	27.804	0	1480.129	0	217.29	0	62.5	0	33.74	0	0.0036	0	0.0012	0	0.000287	1	-1E+10	1	1.00	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1399.37	0	0.1575	0	34.6309	0	27.804	0	1381.446	0	215.20	0	61.9	0	33.78	0	0.0036	0	0.0012	0	0.000309	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1299.84	0	0.1948	0	34.6331	0	27.803	0	1283.493	0	213.07	0	61.4	0	33.90	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1199.25	0	0.2421	0	34.6351	0	27.802	0	1184.451	0	210.45	0	60.7	0	33.94	0	0.0036	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	1099.01	0	0.2899	0	34.6381	0	27.801	0	1085.707	0	208.12	0	60.1	0	33.91	0	0.0108	0	0.0036	0	0.000298	1	-1E+10	1	1.03	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	999.62	0	0.3359	0	34.6400	0	27.800	0	987.754	0	206.55	0	59.7	0	33.97	0	0.0036	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	950.97	0	0.3582	0	34.6412	0	27.799	0	939.790	0	205.60	0	59.5	0	33.94	0	0.0072	0	0.0024	0	0.000309	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	900.95	0	0.3737	0	34.6425	0	27.799	0	890.465	0	205.06	0	59.3	0	34.03	0	0.0108	0	0.0036	0	0.000320	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	848.43	0	0.3900	0	34.6437	0	27.799	0	838.661	0	204.51	0	59.2	0	33.90	0	0.0036	0	0.0012	0	0.000320	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	800.74	0	0.4022	0	34.6438	0	27.798	0	791.611	0	203.90	0	59.1	0	33.97	0	0.0072	0	0.0024	0	0.000320	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	750.83	0	0.4242	0	34.6451	0	27.798	0	742.358	0	203.12	0	58.9	0	33.96	0	0.0036	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	700.60	0	0.4575	0	34.6461	0	27.797	0	692.778	0	201.83	0	58.5	0	33.97	0	0.0072	0	0.0024	0	0.000320	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	651.16	0	0.5041	0	34.6484	0	27.796	0	643.967	0	201.22	0	58.4	0	33.79	0	0.0072	0	0.0024	0	0.000320	1	-1E+10	1	1.09	1	-1e10	1	-1e10	1	2355	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	601.02	0	0.5298	0	34.6495	0	27.795	0	594.452	0	201.43	0	58.5	0	33.76	0	0.0072	0	0.0024	0	0.000331	1	-1E+10	1	1.11	1	-1e10	1	-1e10	1	2354	0	 -1e10	1	 -1e10	1
5906006	1	C	03/11/2019	07:07	332.783	-60.811	0	551.25	0	0.5578	0	34.6500	0	27.794	0	545.291	0	201.25	0	58.5	0	33.66	0	0.0036	0	0.0012	0	0.000309	1	-1E+10	1	1.06	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
