//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:18
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906031
//Univ. of Washington ID: 12885
//MBARI ID: 12885SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10368	
//Temperature[°C]	Sbe41cp	10368	
//Salinity[pss]	Sbe41cp	10368	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2863	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0053  Spec#114266 Equitech Ti probe #1804.26  MBARI ARGO float#833  DF#244  CTD#10368	
//Chl_a[mg/m^3]	FLBBAP2	4687	
//Chl_a_corr[mg/m^3]	FLBBAP2	4687	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4687	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4687	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	244	
//pH25C[Total]	Durafet	244	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0626	0.0000	0.0000
//Nitrate	1	1.0000	1.0979	-80.6206
//Nitrate	3	1.0000	-0.9985	-0.9834
//Nitrate	60	1.0000	-2.5014	0.0000
//pH	1	1.0000	-0.1351	-0.3869
//pH	5	1.0000	-0.1617	0.0077
//pH	32	1.0000	-0.1476	-0.0404
//pH	51	1.0000	-0.1550	-0.1484
//pH	60	1.0000	-0.1874	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1798.04	0	0.6430	0	34.6884	0	27.824	0	1774.062	0	201.53	0	58.8	0	33.12	0	0.0036	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.8656	4	7.5831	4	2359	0	2267	4	499.4	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1699.43	0	0.6786	0	34.6866	0	27.820	0	1677.156	0	199.72	0	58.3	0	33.31	0	0.0072	0	0.0024	0	0.000384	1	-1E+10	1	1.25	1	7.8726	4	7.5862	4	2359	0	2265	4	496.5	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1599.47	0	0.8383	0	34.6973	0	27.818	0	1578.878	0	201.55	0	59.1	0	32.49	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.96	1	7.8863	4	7.5970	4	2357	0	2260	4	485.7	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1499.49	0	0.9505	0	34.7048	0	27.817	0	1480.535	0	201.40	0	59.2	0	32.27	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.97	1	7.8940	4	7.6018	4	2356	0	2258	4	482.2	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1399.60	0	1.0412	0	34.7069	0	27.812	0	1382.235	0	200.26	0	59.0	0	32.05	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.8992	4	7.6041	4	2356	0	2256	4	481.7	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1300.04	0	1.0810	0	34.7014	0	27.805	0	1284.213	0	198.10	0	58.4	0	32.24	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.8977	4	7.5997	4	2355	0	2257	4	489.1	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1199.64	0	1.2351	0	34.7064	0	27.798	0	1185.318	0	195.97	0	58.0	0	32.09	0	0.0072	0	0.0024	0	0.000308	1	-1E+10	1	1.05	1	7.8990	4	7.5993	4	2354	0	2256	4	493.6	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	1099.90	0	1.4311	0	34.7186	0	27.794	0	1087.026	0	195.12	0	58.1	0	31.62	0	0.0000	0	0.0000	0	0.000297	1	-1E+10	1	1.03	1	7.9046	4	7.6034	4	2353	0	2254	4	492.8	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	996.67	0	1.7097	0	34.7418	0	27.792	0	985.247	0	196.72	0	59.0	0	30.53	0	0.0072	0	0.0024	0	0.000297	1	-1E+10	1	1.03	1	7.9227	4	7.6200	4	2351	0	2246	4	477.0	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	951.36	0	1.7230	0	34.7383	0	27.788	0	940.558	0	194.37	0	58.3	0	30.83	0	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.9169	4	7.6132	4	2351	0	2248	4	486.6	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	901.06	0	1.7575	0	34.7337	0	27.781	0	890.936	0	192.64	0	57.8	0	30.93	0	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.9137	4	7.6089	4	2351	0	2249	4	493.4	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	850.65	0	1.8063	0	34.7355	0	27.779	0	841.194	0	192.13	0	57.7	0	30.90	0	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.9165	4	7.6103	4	2350	0	2248	4	493.0	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	800.69	0	1.8218	0	34.7313	0	27.774	0	791.884	0	191.00	0	57.4	0	31.03	0	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.9130	4	7.6055	4	2350	0	2250	4	500.2	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	751.17	0	1.8113	0	34.7161	0	27.762	0	742.996	0	187.13	0	56.2	0	31.69	0	0.0036	0	0.0012	0	0.000309	1	-1E+10	1	1.06	1	7.9041	4	7.5954	4	2349	0	2253	4	514.4	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	701.54	0	1.8036	0	34.7054	0	27.754	0	693.989	0	184.85	0	55.5	0	32.00	0	0.0036	0	0.0012	0	0.000398	1	-1E+10	1	1.29	1	7.8998	4	7.5896	4	2348	0	2254	4	522.7	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	651.61	0	1.9422	0	34.7065	0	27.744	0	644.674	0	183.03	0	55.2	0	32.05	0	0.0036	0	0.0012	0	0.000331	1	-1E+10	1	1.11	1	7.8977	4	7.5878	4	2347	0	2254	4	528.6	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	601.51	0	2.0035	0	34.7010	0	27.735	0	595.178	0	181.32	0	54.7	0	32.35	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1	7.8944	4	7.5839	4	2346	0	2254	4	536.1	4
5906031	1	C	04/25/2019	19:37	29.942	-55.871	0	550.88	0	1.9834	0	34.6864	0	27.724	0	545.148	0	178.72	0	53.9	0	32.66	0	0.0072	0	0.0024	0	0.000331	1	-1E+10	1	1.12	1	7.8878	4	7.5757	4	2345	0	2256	4	548.0	4
