//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:21
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905993
//Univ. of Washington ID: 12886
//MBARI ID: 12886SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10363	
//Temperature[°C]	Sbe41cp	10363	
//Salinity[pss]	Sbe41cp	10363	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2860	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0118  Spec#108004 Equitech Ti probe #1604.18  MBARI ARGO float#816  DF#228  CTD#10363	
//Chl_a[mg/m^3]	FLBBAP2	4684	
//Chl_a_corr[mg/m^3]	FLBBAP2	4684	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4684	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4684	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	228	
//pH25C[Total]	Durafet	228	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0671	0.0000	0.0000
//Nitrate	1	1.0000	2.4285	-59.6393
//Nitrate	3	1.0000	0.6676	-1.2964
//Nitrate	8	1.0000	1.5618	0.0000
//Nitrate	9	1.0000	0.6792	-0.7632
//Nitrate	17	1.0000	0.2308	1.4339
//Nitrate	41	1.0000	1.2427	0.0000
//pH	1	1.0000	-0.0276	0.0122
//pH	22	1.0000	-0.0027	-0.0930
//pH	41	1.0000	-0.0536	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1898.85	0	0.0867	0	34.6673	0	27.838	0	1871.233	0	226.18	0	65.0	0	33.22	0	0.0036	0	0.0012	0	0.000266	1	-1E+10	1	0.94	1	7.8757	0	7.5882	0	2355	0	2261	0	478.3	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1799.73	0	0.1210	0	34.6683	0	27.837	0	1773.967	0	222.81	0	64.1	0	33.22	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8813	0	7.5900	0	2355	0	2260	0	477.2	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1699.43	0	0.1515	0	34.6703	0	27.837	0	1675.499	0	221.39	0	63.7	0	33.18	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8836	0	7.5888	0	2355	0	2262	0	480.3	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1599.40	0	0.1860	0	34.6719	0	27.836	0	1577.249	0	219.88	0	63.3	0	33.11	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8903	0	7.5915	0	2356	0	2261	0	478.2	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1498.86	0	0.2140	0	34.6732	0	27.835	0	1478.453	0	218.71	0	63.1	0	33.10	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8939	0	7.5914	0	2357	0	2262	0	479.8	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1400.01	0	0.2609	0	34.6753	0	27.834	0	1381.272	0	217.02	0	62.6	0	33.14	0	0.0036	0	0.0012	0	0.000266	1	-1E+10	1	0.94	1	7.8965	0	7.5908	0	2357	0	2262	0	482.4	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1299.93	0	0.3154	0	34.6786	0	27.833	0	1282.836	0	213.38	0	61.7	0	33.21	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.8969	0	7.5882	0	2357	0	2263	0	487.9	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1198.76	0	0.3473	0	34.6801	0	27.832	0	1183.280	0	212.51	0	61.5	0	33.14	0	0.0036	0	0.0012	0	0.000266	1	-1E+10	1	0.95	1	7.8995	0	7.5872	0	2357	0	2264	0	490.6	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	1098.96	0	0.3859	0	34.6810	0	27.830	0	1085.027	0	212.50	0	61.5	0	33.07	0	0.0036	0	0.0012	0	0.000277	1	-1E+10	1	0.97	1	7.9097	0	7.5932	0	2357	0	2261	0	483.9	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	999.50	0	0.4336	0	34.6830	0	27.829	0	987.061	0	212.13	0	61.5	0	32.80	0	0.0036	0	0.0012	0	0.000289	1	-1E+10	1	1.00	1	7.9143	0	7.5943	0	2357	0	2261	0	484.2	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	951.01	0	0.4567	0	34.6844	0	27.829	0	939.284	0	211.78	0	61.4	0	32.70	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.9074	0	7.5866	0	2357	0	2263	0	495.6	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	901.62	0	0.4963	0	34.6847	0	27.826	0	890.608	0	210.89	0	61.3	0	32.82	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.9070	0	7.5850	0	2356	0	2264	0	499.0	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	851.24	0	0.5231	0	34.6869	0	27.826	0	840.944	0	210.28	0	61.1	0	32.71	0	0.0036	0	0.0012	0	0.000289	1	-1E+10	1	1.00	1	7.9136	0	7.5894	0	2356	0	2262	0	493.9	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	801.41	0	0.5514	0	34.6881	0	27.825	0	791.811	0	209.86	0	61.0	0	32.61	0	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.9137	0	7.5880	0	2356	0	2262	0	496.7	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	751.03	0	0.5647	0	34.6875	0	27.824	0	742.124	0	210.06	0	61.1	0	32.63	0	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.9180	0	7.5903	0	2356	0	2261	0	494.2	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	701.61	0	0.6052	0	34.6883	0	27.822	0	693.372	0	209.65	0	61.1	0	32.53	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.9191	0	7.5900	0	2355	0	2261	0	495.8	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	650.87	0	0.6489	0	34.6905	0	27.821	0	643.306	0	208.68	0	60.9	0	32.51	0	0.0036	0	0.0012	0	0.000311	1	-1E+10	1	1.06	1	7.9187	0	7.5884	0	2355	0	2261	0	499.4	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	600.63	0	0.6891	0	34.6918	0	27.819	0	593.722	0	207.98	0	60.7	0	32.33	0	0.0036	0	0.0012	0	0.000312	1	-1E+10	1	1.06	1	7.9211	0	7.5892	0	2354	0	2260	0	499.4	0
5905993	1	C	01/06/2019	18:50	353.068	-69.037	0	551.04	0	0.7256	0	34.6935	0	27.818	0	544.767	0	207.26	0	60.6	0	32.34	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.9237	0	7.5903	0	2354	0	2260	0	499.1	0
