//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 07:40
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906030
//Univ. of Washington ID: 12888
//MBARI ID: 12888SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10369	
//Temperature[°C]	Sbe41cp	10369	
//Salinity[pss]	Sbe41cp	10369	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2845	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0142  Spec#114265 Equitech Ti probe #1804.24  MBARI ARGO float#831  DF#F10253/R10247  CTD#10369	
//Chl_a[mg/m^3]	FLBBAP2	4688	
//Chl_a_corr[mg/m^3]	FLBBAP2	4688	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4688	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4688	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0825	0.0000	0.0000
//Nitrate	1	1.0000	1.7710	-147.8690
//Nitrate	4	1.0000	-0.1669	-0.9950
//Nitrate	66	1.0000	-1.4292	0.0000
//pH	1	1.0000	-0.0052	0.0101
//pH	64	1.0000	0.0072	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1799.07	0	1.4491	0	34.7203	0	27.798	0	1775.782	0	200.34	0	59.6	0	31.50	0	0.0037	0	0.0012	0	0.000337	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2353	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1698.72	0	1.5898	0	34.7268	0	27.792	0	1677.127	0	198.39	0	59.3	0	31.30	0	0.0037	0	0.0012	0	0.000405	1	-1E+10	1	1.31	1	-1e10	1	-1e10	1	2352	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1599.01	0	1.7469	0	34.7360	0	27.788	0	1579.056	0	198.65	0	59.6	0	30.75	0	0.0000	0	0.0000	0	0.000439	1	-1E+10	1	1.39	1	7.9148	0	7.6355	0	2350	0	2239	0	454.6	0
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1498.99	0	1.8064	0	34.7270	0	27.775	0	1480.634	0	194.40	0	58.4	0	31.26	0	0.0037	0	0.0012	0	0.000361	1	-1E+10	1	1.19	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1399.54	0	1.8949	0	34.7197	0	27.762	0	1382.727	0	191.29	0	57.6	0	31.48	0	0.0037	0	0.0012	0	0.000361	1	-1E+10	1	1.19	1	-1e10	1	-1e10	1	2348	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1299.65	0	1.9723	0	34.7110	0	27.749	0	1284.341	0	188.08	0	56.7	0	31.81	0	0.0073	0	0.0024	0	0.000865	1	-1E+10	1	2.50	1	-1e10	1	-1e10	1	2346	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1199.43	0	1.9775	0	34.6891	0	27.730	0	1185.584	0	182.74	0	55.1	0	32.49	0	0.0037	0	0.0012	0	0.000395	1	-1E+10	1	1.28	1	-1e10	1	-1e10	1	2345	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	1099.20	0	2.0499	0	34.6670	0	27.706	0	1086.770	0	178.69	0	54.0	0	33.21	0	0.0073	0	0.0024	0	0.000406	1	-1E+10	1	1.31	1	-1e10	1	-1e10	1	2343	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	999.68	0	2.1446	0	34.6469	0	27.682	0	988.610	0	175.69	0	53.2	0	33.54	0	0.0073	0	0.0024	0	0.000563	1	-1E+10	1	1.72	1	-1e10	1	-1e10	1	2341	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	950.97	0	2.1453	0	34.6269	0	27.666	0	940.548	0	174.22	0	52.7	0	33.87	0	0.0109	0	0.0037	0	0.000429	1	-1E+10	1	1.37	1	-1e10	1	-1e10	1	2340	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	901.34	0	2.1067	0	34.6045	0	27.651	0	891.568	0	172.75	0	52.2	0	34.38	0	0.0109	0	0.0037	0	0.001459	1	-1E+10	1	4.05	1	7.8476	0	7.5543	0	2339	0	2258	0	582.1	0
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	851.50	0	2.0766	0	34.5778	0	27.631	0	842.368	0	173.66	0	52.5	0	34.67	0	0.0073	0	0.0024	0	0.000518	1	-1E+10	1	1.60	1	-1e10	1	-1e10	1	2337	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	801.41	0	2.0678	0	34.5421	0	27.603	0	792.911	0	177.63	0	53.6	0	34.79	0	0.0037	0	0.0012	0	0.000474	1	-1E+10	1	1.48	1	-1e10	1	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	751.52	0	2.4303	0	34.5686	0	27.595	0	743.639	0	174.83	0	53.3	0	34.08	0	0.0073	0	0.0024	0	0.000441	1	-1E+10	1	1.40	1	-1e10	1	-1e10	1	2334	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	700.73	0	2.3910	0	34.5289	0	27.566	0	693.466	0	175.43	0	53.4	0	34.56	0	0.0073	0	0.0024	0	0.000485	1	-1E+10	1	1.52	1	-1e10	1	-1e10	1	2330	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	651.13	0	2.4445	0	34.5155	0	27.551	0	644.456	0	176.63	0	53.8	0	34.56	0	0.0073	0	0.0024	0	0.000452	1	-1E+10	1	1.43	1	-1e10	1	-1e10	1	2327	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	601.04	0	2.4718	0	34.4789	0	27.519	0	594.951	0	179.20	0	54.6	0	34.81	0	0.0000	0	0.0000	0	0.000508	1	-1E+10	1	1.57	1	-1e10	1	-1e10	1	2324	0	 -1e10	1	 -1e10	1
5906030	1	C	05/01/2019	08:59	30.231	-51.345	0	551.51	0	2.4578	0	34.4497	0	27.496	0	545.988	0	182.74	0	55.7	0	34.81	0	0.0037	0	0.0012	0	0.000508	1	-1E+10	1	1.57	1	7.8584	0	7.5561	0	2321	0	2240	0	587.2	0
