//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906002
//Univ. of Washington ID: 12889
//MBARI ID: 12889SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 7 69 73 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10445	
//Temperature[°C]	Sbe41cp	10445	
//Salinity[pss]	Sbe41cp	10445	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2858	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0115  Spec#107999 Equitech Ti probe #1703.03  MBARI ARGO float#814  DF#226  CTD#10445	
//Chl_a[mg/m^3]	FLBBAP2	4682	
//Chl_a_corr[mg/m^3]	FLBBAP2	4682	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4682	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4682	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	226	
//pH25C[Total]	Durafet	226	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0451	0.0000	0.0000
//Nitrate	1	1.0000	1.6860	-19.8464
//Nitrate	4	1.0000	0.3060	0.1756
//Nitrate	73	1.0000	0.7227	0.0000
//pH	1	1.0000	-0.0553	0.1839
//pH	13	1.0000	0.0099	0.0000
//pH	58	1.0000	-0.0034	0.0000
//pH	59	1.0000	0.0041	0.0000
//pH	73	1.0000	0.0065	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1798.62	0	0.6005	0	34.6896	0	27.827	0	1773.721	0	210.92	0	61.4	0	32.40	0	0.0000	0	0.0000	0	0.000249	1	-1E+10	1	0.90	1	7.8848	4	7.5997	4	2356	0	2258	4	475.4	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1699.95	0	0.6593	0	34.6936	0	27.827	0	1676.806	0	209.39	0	61.1	0	32.34	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8898	4	7.6014	4	2356	0	2258	4	475.3	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1598.87	0	0.7384	0	34.6975	0	27.825	0	1577.478	0	208.50	0	60.9	0	32.15	0	0.0000	0	0.0000	0	0.000261	1	-1E+10	1	0.93	1	7.8947	4	7.6032	4	2356	0	2257	4	475.1	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1498.80	0	0.8038	0	34.7017	0	27.824	0	1479.097	0	207.93	0	60.9	0	31.91	0	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.8990	4	7.6043	4	2356	0	2256	4	475.7	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1399.46	0	0.8593	0	34.7041	0	27.822	0	1381.387	0	207.20	0	60.8	0	31.77	0	0.0036	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.9028	4	7.6048	4	2355	0	2255	4	476.8	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1299.62	0	0.9472	0	34.7098	0	27.820	0	1283.140	0	206.37	0	60.6	0	31.54	0	0.0036	0	0.0012	0	0.000283	1	-1E+10	1	0.99	1	7.9071	4	7.6062	4	2355	0	2254	4	477.4	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1199.91	0	1.0113	0	34.7108	0	27.817	0	1184.975	0	205.81	0	60.6	0	31.39	0	0.0036	0	0.0012	0	0.000317	1	-1E+10	1	1.08	1	7.9109	4	7.6069	4	2354	0	2253	4	478.4	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	1099.97	0	1.1204	0	34.7171	0	27.814	0	1086.537	0	204.95	0	60.5	0	31.17	0	0.0036	0	0.0012	0	0.000306	1	-1E+10	1	1.05	1	7.9211	4	7.6139	4	2353	0	2250	4	472.0	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	999.44	0	1.2113	0	34.7210	0	27.811	0	987.472	0	203.78	0	60.3	0	31.05	0	0.0072	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.9235	4	7.6137	4	2352	0	2249	4	474.9	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	951.43	0	1.2776	0	34.7235	0	27.808	0	940.144	0	203.25	0	60.2	0	30.97	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	7.9174	4	7.6073	4	2352	0	2251	4	485.1	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	901.68	0	1.3411	0	34.7273	0	27.806	0	891.090	0	202.19	0	60.0	0	30.85	0	0.0036	0	0.0012	0	0.000397	1	-1E+10	1	1.28	1	7.9177	4	7.6066	4	2352	0	2251	4	487.7	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	851.64	0	1.3605	0	34.7248	0	27.803	0	841.738	0	202.01	0	60.0	0	30.89	0	0.0036	0	0.0012	0	0.001083	1	-1E+10	1	3.07	1	7.9173	4	7.6047	4	2351	0	2251	4	491.0	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	801.24	0	1.4529	0	34.7310	0	27.801	0	792.020	0	201.31	0	59.9	0	30.64	0	0.0036	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.9222	4	7.6086	4	2351	0	2250	4	488.1	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	751.45	0	1.5044	0	34.7317	0	27.798	0	742.891	0	200.16	0	59.7	0	30.64	0	0.0072	0	0.0024	0	0.000386	1	-1E+10	1	1.26	1	7.9209	4	7.6063	4	2351	0	2250	4	492.7	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	701.14	0	1.5582	0	34.7336	0	27.795	0	693.238	0	199.72	0	59.6	0	30.58	0	0.0072	0	0.0024	0	0.000318	1	-1E+10	1	1.08	1	7.9173	4	7.6019	4	2350	0	2251	4	500.1	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	651.46	0	1.5944	0	34.7341	0	27.792	0	644.195	0	199.10	0	59.5	0	30.52	0	0.0072	0	0.0024	0	0.000330	1	-1E+10	1	1.11	1	7.9229	4	7.6057	4	2350	0	2250	4	496.1	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	600.85	0	1.6038	0	34.7283	0	27.787	0	594.221	0	198.21	0	59.2	0	30.64	0	0.0036	0	0.0012	0	0.000386	1	-1E+10	1	1.26	1	7.9198	4	7.6011	4	2349	0	2251	4	502.8	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	551.28	0	1.7080	0	34.7306	0	27.781	0	545.263	0	195.99	0	58.7	0	30.72	0	0.0036	0	0.0012	0	0.000353	1	-1E+10	1	1.17	1	7.9130	4	7.5947	4	2348	0	2252	4	514.5	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	500.66	0	1.7391	0	34.7295	0	27.777	0	495.256	0	195.19	0	58.5	0	30.61	0	0.0036	0	0.0012	0	0.000386	1	-1E+10	1	1.26	1	7.9154	4	7.5953	4	2348	0	2252	4	514.6	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	451.60	0	1.7571	0	34.7284	0	27.775	0	446.778	0	193.48	0	58.0	0	30.78	0	0.0072	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1	7.9118	4	7.5905	4	2347	0	2253	4	522.2	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	401.25	0	1.7981	0	34.7169	0	27.762	0	397.014	0	191.67	0	57.6	0	31.16	0	0.0072	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1	7.9053	4	7.5834	4	2346	0	2255	4	533.7	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	381.65	0	1.7729	0	34.7090	0	27.758	0	377.639	0	191.10	0	57.3	0	31.30	0	0.0072	0	0.0024	0	0.000341	1	-1E+10	1	1.14	1	7.8980	4	7.5758	4	2346	0	2257	4	544.5	4
5906002	1	C	12/20/2018	18:35	92.360	-62.182	0	361.21	0	1.7449	0	34.6991	0	27.752	0	357.431	0	191.01	0	57.3	0	31.44	0	0.0036	0	0.0012	0	0.000364	1	-1E+10	1	1.20	1	7.8985	4	7.5750	4	2345	0	2256	4	545.0	4
