//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:28
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906034
//Univ. of Washington ID: 12892
//MBARI ID: 12892SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10572	
//Temperature[°C]	Sbe41cp	10572	
//Salinity[pss]	Sbe41cp	10572	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2872	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0117  Spec#114263 Equitech Ti probe #1804.20  MBARI ARGO float#828  DF#242  CTD#10572	
//Chl_a[mg/m^3]	FLBBAP2	4807	
//Chl_a_corr[mg/m^3]	FLBBAP2	4807	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4807	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4807	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	242	
//pH25C[Total]	Durafet	242	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0602	0.0000	0.0000
//Nitrate	1	1.0000	0.6578	-11.6464
//Nitrate	5	1.0000	-0.4075	-0.8339
//Nitrate	41	1.0000	-1.0487	0.0000
//pH	1	1.0000	-0.1128	0.5332
//pH	5	1.0000	-0.0592	-0.1927
//pH	11	1.0000	-0.0842	0.8379
//pH	15	1.0000	0.0178	0.4039
//pH	25	1.0000	0.1234	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1999.75	0	0.2012	0	34.6751	0	27.839	0	1971.010	0	216.27	0	62.3	0	33.00	0	0.0037	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.8871	0	7.6037	0	2358	0	2258	0	460.2	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1898.56	0	0.2379	0	34.6761	0	27.837	0	1871.718	0	214.43	0	61.9	0	32.95	0	0.0037	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.8797	0	7.5939	0	2358	0	2262	0	474.5	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1799.54	0	0.2776	0	34.6784	0	27.837	0	1774.511	0	212.79	0	61.5	0	32.94	0	0.0000	0	0.0000	0	0.000260	1	-1E+10	1	0.93	1	7.8836	0	7.5942	0	2358	0	2262	0	475.7	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1699.34	0	0.3129	0	34.6797	0	27.836	0	1676.100	0	211.79	0	61.2	0	32.96	0	0.0037	0	0.0012	0	0.000272	1	-1E+10	1	0.96	1	7.8822	0	7.5898	0	2358	0	2263	0	483.0	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1599.41	0	0.3524	0	34.6809	0	27.834	0	1577.909	0	210.30	0	60.8	0	32.77	0	0.0037	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8871	0	7.5910	0	2358	0	2263	0	483.0	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1499.90	0	0.3947	0	34.6830	0	27.833	0	1480.084	0	208.80	0	60.5	0	32.95	0	0.0000	0	0.0000	0	0.000347	1	-1E+10	1	1.16	1	7.8912	0	7.5916	0	2358	0	2263	0	483.8	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1398.67	0	0.4379	0	34.6846	0	27.831	0	1380.522	0	207.45	0	60.2	0	32.76	0	0.0037	0	0.0012	0	0.000285	1	-1E+10	1	0.99	1	7.8904	0	7.5877	0	2358	0	2264	0	490.6	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1299.21	0	0.4850	0	34.6862	0	27.830	0	1282.655	0	206.82	0	60.1	0	32.74	0	0.0000	0	0.0000	0	0.000285	1	-1E+10	1	1.00	1	7.8910	0	7.5852	0	2358	0	2265	0	495.8	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1199.58	0	0.5281	0	34.6882	0	27.828	0	1184.575	0	206.17	0	59.9	0	32.66	0	0.0000	0	0.0000	0	0.000273	1	-1E+10	1	0.96	1	7.8937	0	7.5845	0	2358	0	2265	0	498.4	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	1098.87	0	0.5832	0	34.6910	0	27.827	0	1085.385	0	205.41	0	59.8	0	32.62	0	0.0037	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.8990	0	7.5863	0	2357	0	2264	0	497.9	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	999.49	0	0.6413	0	34.6931	0	27.825	0	987.458	0	205.03	0	59.8	0	32.45	0	0.0000	0	0.0000	0	0.000323	1	-1E+10	1	1.09	1	7.9002	0	7.5845	0	2357	0	2265	0	502.4	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	949.70	0	0.6703	0	34.6944	0	27.824	0	938.379	0	204.39	0	59.6	0	32.40	0	0.0000	0	0.0000	0	0.000298	1	-1E+10	1	1.03	1	7.9001	0	7.5830	0	2357	0	2265	0	505.5	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	901.65	0	0.7025	0	34.6957	0	27.823	0	891.004	0	204.18	0	59.6	0	32.32	0	0.0000	0	0.0000	0	0.000273	1	-1E+10	1	0.96	1	7.9002	0	7.5818	0	2357	0	2265	0	508.3	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	850.87	0	0.7412	0	34.6968	0	27.821	0	840.925	0	203.89	0	59.6	0	32.24	0	0.0037	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.9021	0	7.5822	0	2357	0	2265	0	508.9	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	800.87	0	0.7954	0	34.6991	0	27.819	0	791.604	0	203.30	0	59.5	0	32.07	0	0.0037	0	0.0012	0	0.000323	1	-1E+10	1	1.09	1	7.9020	0	7.5810	0	2356	0	2265	0	512.3	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	751.34	0	0.8572	0	34.7015	0	27.817	0	742.736	0	202.67	0	59.4	0	32.06	0	0.0037	0	0.0012	0	0.000348	1	-1E+10	1	1.16	1	7.9040	0	7.5819	0	2356	0	2265	0	512.7	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	701.73	0	0.9158	0	34.7029	0	27.814	0	693.776	0	201.96	0	59.3	0	31.90	0	0.0037	0	0.0012	0	0.000324	1	-1E+10	1	1.09	1	7.9055	0	7.5821	0	2356	0	2264	0	514.0	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	651.34	0	0.9764	0	34.7038	0	27.811	0	644.035	0	200.90	0	59.1	0	31.93	0	0.0037	0	0.0012	0	0.000361	1	-1E+10	1	1.19	1	7.9043	0	7.5801	0	2355	0	2265	0	518.6	0
5906034	1	C	04/20/2019	23:38	29.997	-63.026	0	601.05	0	1.0452	0	34.7059	0	27.808	0	594.381	0	200.26	0	59.0	0	31.87	0	0.0000	0	0.0000	0	0.000374	1	-1E+10	1	1.23	1	7.9056	0	7.5804	0	2355	0	2264	0	520.1	0
