//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:30
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906039
//Univ. of Washington ID: 17267
//MBARI ID: 17267HOT
//No missing float profiles
//Missing Float position interpolated for station(s): 16 17 18 19 20 21 22 23 24 25 26 27 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10455	
//Temperature[°C]	Sbe41cp	10455	
//Salinity[pss]	Sbe41cp	10455	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2876	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0147  Spec#108007 Equitech Ti probe #1804.32  MBARI ARGO float#819  DF#232  CTD#10455	
//Chl_a[mg/m^3]	FLBBAP2	4809	
//Chl_a_corr[mg/m^3]	FLBBAP2	4809	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4809	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4809	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	232	
//pH25C[Total]	Durafet	232	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0616	0.0000	0.0000
//Nitrate	1	1.0000	4.2269	-15.4395
//Nitrate	29	1.0000	3.0304	0.0000
//Nitrate	93	1.0000	2.9998	-4.2745
//Nitrate	217	1.0000	1.4600	-0.6592
//Nitrate	299	1.0000	1.3530	0.0000
//pH	1	1.0000	-0.0287	5.9083
//pH	3	1.0000	-0.0011	-0.1139
//pH	29	1.0000	-0.0120	0.0546
//pH	141	1.0000	0.0019	-0.0611
//pH	162	1.0000	-0.0021	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	1499.24	0	2.8338	0	34.5663	0	27.563	0	1484.470	0	68.20	0	21.0	0	41.86	0	0.0108	0	0.0108	0	0.000325	1	-1E+10	1	1.10	1	7.6712	0	7.4300	0	2398	0	2360	0	849.4	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	1400.01	0	3.0412	0	34.5545	0	27.535	0	1386.543	0	63.70	0	19.7	0	41.93	0	0.0108	0	0.0108	0	0.000339	1	-1E+10	1	1.13	1	7.6632	0	7.4220	0	2394	0	2358	0	875.8	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	1300.10	0	3.2428	0	34.5389	0	27.503	0	1287.899	0	59.18	0	18.4	0	41.99	0	0.0144	0	0.0144	0	0.000352	1	-1E+10	1	1.17	1	7.6522	0	7.4113	0	2388	0	2357	0	909.1	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	1200.00	0	3.4409	0	34.5148	0	27.465	0	1189.021	0	55.76	0	17.4	0	42.04	0	0.0108	0	0.0108	0	0.000352	1	-1E+10	1	1.17	1	7.6440	0	7.4030	0	2382	0	2353	0	936.8	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	1099.81	0	3.6716	0	34.4893	0	27.421	0	1090.008	0	50.50	0	15.9	0	42.02	0	0.0180	0	0.0180	0	0.000403	1	-1E+10	1	1.30	1	7.6323	0	7.3920	0	2376	0	2351	0	973.8	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	1000.03	0	3.9479	0	34.4601	0	27.370	0	991.353	0	44.41	0	14.0	0	42.15	0	0.0144	0	0.0144	0	0.000391	1	-1E+10	1	1.27	1	7.6172	0	7.3787	0	2368	0	2348	0	1020.1	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	951.71	0	4.1221	0	34.4302	0	27.328	0	943.561	0	39.88	0	12.7	0	42.15	0	0.0144	0	0.0144	0	0.000354	1	-1E+10	1	1.17	1	7.5969	0	7.3613	0	2362	0	2347	0	1075.9	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	901.34	0	4.2344	0	34.3909	0	27.284	0	893.729	0	37.83	0	12.0	0	42.14	0	0.0144	0	0.0144	0	0.000379	1	-1E+10	1	1.24	1	7.5836	0	7.3493	0	2356	0	2345	0	1115.4	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	851.69	0	4.4048	0	34.3457	0	27.230	0	844.599	0	33.81	0	10.8	0	41.97	0	0.0180	0	0.0180	0	0.000367	1	-1E+10	1	1.21	1	7.5729	0	7.3402	0	2348	0	2341	0	1148.7	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	801.28	0	4.5895	0	34.3059	0	27.178	0	794.704	0	31.48	0	10.1	0	41.84	0	0.0180	0	0.0180	0	0.000380	1	-1E+10	1	1.24	1	7.5598	0	7.3291	0	2341	0	2338	0	1190.3	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	751.34	0	4.7997	0	34.2349	0	27.098	0	745.263	0	37.46	0	12.1	0	40.80	0	0.0144	0	0.0144	0	0.000431	1	-1E+10	1	1.37	1	7.5643	0	7.3338	0	2330	0	2325	0	1180.6	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	701.75	0	5.0702	0	34.1905	0	27.032	0	696.157	0	42.49	0	13.8	0	40.03	0	0.0180	0	0.0180	0	0.000394	1	-1E+10	1	1.28	1	7.5669	0	7.3377	0	2321	0	2315	0	1177.5	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	651.61	0	5.3991	0	34.1390	0	26.953	0	646.494	0	49.69	0	16.2	0	38.78	0	0.0144	0	0.0144	0	0.000432	1	-1E+10	1	1.38	1	7.5775	0	7.3494	0	2310	0	2300	0	1151.2	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	601.83	0	5.8109	0	34.1019	0	26.873	0	597.177	0	60.71	0	20.0	0	37.12	0	0.0108	0	0.0108	0	0.000395	1	-1E+10	1	1.28	1	7.5985	0	7.3713	0	2299	0	2283	0	1098.4	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	551.85	0	6.2915	0	34.0757	0	26.792	0	547.649	0	73.38	0	24.4	0	34.92	0	0.0144	0	0.0144	0	0.000421	1	-1E+10	1	1.35	1	7.6275	0	7.4013	0	2290	0	2264	0	1028.5	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	501.51	0	7.2057	0	34.0487	0	26.648	0	497.752	0	105.10	0	35.7	0	30.62	0	0.0072	0	0.0072	0	0.000410	1	-1E+10	1	1.32	1	7.6954	0	7.4722	0	2278	0	2228	0	876.0	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	451.60	0	8.5658	0	34.0542	0	26.453	0	448.270	0	150.49	0	52.8	0	23.48	0	0.0036	0	0.0036	0	0.000425	1	-1E+10	1	1.36	1	7.8184	0	7.6013	0	2266	0	2173	0	650.2	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	401.71	0	9.6782	0	34.0948	0	26.307	0	398.796	0	183.96	0	66.1	0	18.84	0	0.0036	0	0.0036	0	0.000414	1	-1E+10	1	1.33	1	7.8831	0	7.6757	0	2261	0	2141	0	556.6	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	379.85	0	10.1403	0	34.1178	0	26.247	0	377.114	0	193.69	0	70.3	0	16.99	0	0.0036	0	0.0036	0	0.000427	1	-1E+10	1	1.36	1	7.9108	0	7.7077	0	2260	0	2127	0	520.2	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	361.54	0	10.6606	0	34.1512	0	26.183	0	358.952	0	201.70	0	74.0	0	15.05	0	0.0036	0	0.0036	0	0.000415	1	-1E+10	1	1.33	1	7.9298	0	7.7326	0	2259	0	2117	0	497.0	0
5906039	1	C	07/04/2019	22:28	202.086	22.921	0	351.69	0	10.9115	0	34.1549	0	26.141	0	349.181	0	204.00	0	75.3	0	14.52	0	0.0000	0	0.0000	0	0.000428	1	-1E+10	1	1.36	1	7.9313	0	7.7374	0	2258	0	2114	0	495.7	0
