//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:39
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906040
//Univ. of Washington ID: 17307
//MBARI ID: 17307HOT
//No missing float profiles
//Missing Float position interpolated for station(s): 159 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 146 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10454	
//Temperature[°C]	Sbe41cp	10454	
//Salinity[pss]	Sbe41cp	10454	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2875	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0123  Spec#108006 Equitech Ti probe #1804.33  MBARI ARGO float#818  DF#230  CTD#10454	
//Chl_a[mg/m^3]	FLBBAP2	4712	
//Chl_a_corr[mg/m^3]	FLBBAP2	4712	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4712	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4712	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	230	
//pH25C[Total]	Durafet	230	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0512	0.0000	0.0111
//Oxygen	205	1.0678	0.0000	0.0000
//Nitrate	2	1.0000	2.4438	-1.7184
//Nitrate	70	1.0000	1.8147	0.5106
//Nitrate	206	1.0000	2.3122	0.0000
//pH	2	1.0000	0.0122	-0.1245
//pH	48	1.0000	-0.0008	-0.0391
//pH	71	1.0000	-0.0092	0.0000
//pH	171	1.0000	0.0034	-0.0496
//pH	206	1.0000	-0.0092	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	1399.78	0	2.9814	0	34.5548	0	27.540	0	1386.344	0	65.29	0	20.2	0	-1e10	1	0.0146	0	0.0146	0	0.000243	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2394	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	1299.92	0	3.2407	0	34.5390	0	27.504	0	1287.747	0	58.81	0	18.3	0	-1e10	1	0.0146	0	0.0146	0	0.000233	1	-1E+10	1	0.86	1	-1e10	1	-1e10	1	2389	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	1199.69	0	3.5585	0	34.5263	0	27.463	0	1188.739	0	54.11	0	16.9	0	-1e10	1	0.0182	0	0.0182	0	0.000245	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2381	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	1099.89	0	3.7627	0	34.5133	0	27.432	0	1090.109	0	50.45	0	15.9	0	-1e10	1	0.0219	0	0.0219	0	0.000256	1	-1E+10	1	0.92	1	-1e10	1	-1e10	1	2377	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	999.94	0	4.0519	0	34.4907	0	27.384	0	991.284	0	48.20	0	15.3	0	-1e10	1	0.0146	0	0.0146	0	0.000279	1	-1E+10	1	0.98	1	-1e10	1	-1e10	1	2369	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	951.94	0	4.1421	0	34.4751	0	27.361	0	943.807	0	45.95	0	14.6	0	-1e10	1	0.0109	0	0.0109	0	0.000356	1	-1E+10	1	1.18	1	-1e10	1	-1e10	1	2366	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	901.48	0	4.3203	0	34.4510	0	27.323	0	893.886	0	42.95	0	13.7	0	-1e10	1	0.0182	0	0.0182	0	0.000290	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2360	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	851.30	0	4.4042	0	34.4278	0	27.295	0	844.230	0	39.02	0	12.5	0	-1e10	1	0.0182	0	0.0182	0	0.000269	1	-1E+10	1	0.95	1	-1e10	1	-1e10	1	2356	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	801.47	0	4.6877	0	34.3888	0	27.233	0	794.908	0	38.36	0	12.3	0	-1e10	1	0.0219	0	0.0219	0	0.000291	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2347	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	751.64	0	5.0115	0	34.3559	0	27.170	0	745.575	0	36.52	0	11.8	0	-1e10	1	0.0146	0	0.0146	0	0.000292	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2339	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	701.45	0	5.0396	0	34.2850	0	27.110	0	695.874	0	34.20	0	11.1	0	-1e10	1	0.0182	0	0.0182	0	0.000281	1	-1E+10	1	0.98	1	-1e10	1	-1e10	1	2331	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	651.84	0	5.2734	0	34.2188	0	27.031	0	646.735	0	40.05	0	13.0	0	-1e10	1	0.0182	0	0.0182	0	0.000293	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2321	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	601.83	0	5.9418	0	34.1922	0	26.928	0	597.189	0	42.48	0	14.0	0	-1e10	1	0.0182	0	0.0182	0	0.000294	1	-1E+10	1	1.02	1	-1e10	1	-1e10	1	2307	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	551.85	0	6.4050	0	34.1252	0	26.816	0	547.660	0	62.41	0	20.8	0	-1e10	1	0.0182	0	0.0182	0	0.000339	1	-1E+10	1	1.13	1	-1e10	1	-1e10	1	2293	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	501.54	0	7.0598	0	34.0796	0	26.692	0	497.792	0	89.12	0	30.2	0	-1e10	1	0.0109	0	0.0109	0	0.000418	1	-1E+10	1	1.34	1	-1e10	1	-1e10	1	2282	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	451.92	0	8.1163	0	34.0769	0	26.539	0	448.596	0	120.34	0	41.8	0	-1e10	1	0.0109	0	0.0109	0	0.000397	1	-1E+10	1	1.29	1	-1e10	1	-1e10	1	2271	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	401.39	0	9.5658	0	34.0843	0	26.317	0	398.487	0	162.27	0	58.2	0	-1e10	1	0.0073	0	0.0073	0	0.000399	1	-1E+10	1	1.29	1	-1e10	1	-1e10	1	2261	0	 -1e10	1	 -1e10	1
5906040	1	C	06/14/2019	23:16	202.069	22.615	0	381.69	0	10.0238	0	34.0961	0	26.250	0	378.947	0	171.87	0	62.2	0	-1e10	1	0.0037	0	0.0037	0	0.000333	1	-1E+10	1	1.12	1	-1e10	1	-1e10	1	2258	0	 -1e10	1	 -1e10	1
