//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:45
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906044
//Univ. of Washington ID: 17350
//MBARI ID: 17350EqPacE
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10442	
//Temperature[°C]	Sbe41cp	10442	
//Salinity[pss]	Sbe41cp	10442	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2821	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4977	
//Chl_a_corr[mg/m^3]	FLBBAP2	4977	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4977	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4977	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	240	
//pH25C[Total]	Durafet	240	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0750	0.0000	0.0053
//Oxygen	84	1.0810	0.0000	0.0000
//pH	1	1.0000	-0.0317	-2.1064
//pH	7	1.0000	-0.0874	-0.0770
//pH	28	1.0000	-0.1009	0.0888
//pH	73	1.0000	-0.0466	-0.2804
//pH	79	1.0000	-0.1459	4.8115
//pH	81	1.0000	-0.2353	-1.7259
//pH	83	1.0000	-0.2483	0.0000
//pH	84	1.0000	-0.2208	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	1499.32	0	3.2633	0	34.5973	0	27.550	0	1485.676	0	76.31	0	23.7	0	-1E+10	1	0.0146	0	0.0146	0	0.001397	1	-1E+10	1	3.88	1	7.7079	0	7.4683	0	2389	0	2341	0	779.5	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	1399.81	0	3.4478	0	34.5916	0	27.527	0	1387.398	0	71.68	0	22.4	0	-1E+10	1	0.0182	0	0.0182	0	0.000267	1	-1E+10	1	0.95	1	7.6982	0	7.4585	0	2385	0	2340	0	807.1	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	1299.91	0	3.7502	0	34.5816	0	27.489	0	1288.689	0	65.52	0	20.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000267	1	-1E+10	1	0.95	1	7.6834	0	7.4458	0	2377	0	2337	0	845.3	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	1199.90	0	4.0608	0	34.5744	0	27.451	0	1189.825	0	58.18	0	18.5	0	-1E+10	1	0.0146	0	0.0146	0	0.000280	1	-1E+10	1	0.98	1	7.6665	0	7.4313	0	2370	0	2336	0	890.2	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	1099.30	0	4.4123	0	34.5655	0	27.406	0	1090.331	0	57.50	0	18.4	0	-1E+10	1	0.0146	0	0.0146	0	0.000280	1	-1E+10	1	0.98	1	7.6637	0	7.4297	0	2361	0	2327	0	904.9	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	999.97	0	4.7632	0	34.5577	0	27.361	0	992.046	0	55.33	0	17.8	0	-1E+10	1	0.0146	0	0.0146	0	0.000305	1	-1E+10	1	1.05	1	7.6606	0	7.4278	0	2352	0	2318	0	920.8	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	951.73	0	4.9117	0	34.5548	0	27.342	0	944.297	0	55.71	0	18.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000281	1	-1E+10	1	0.98	1	7.6589	0	7.4264	0	2348	0	2315	0	929.1	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	901.69	0	5.1584	0	34.5517	0	27.310	0	894.755	0	55.50	0	18.1	0	-1E+10	1	0.0182	0	0.0182	0	0.000282	1	-1E+10	1	0.99	1	7.6611	0	7.4298	0	2343	0	2309	0	928.4	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	851.49	0	5.3831	0	34.5498	0	27.282	0	845.042	0	55.90	0	18.3	0	-1E+10	1	0.0146	0	0.0146	0	0.000270	1	-1E+10	1	0.96	1	7.6581	0	7.4281	0	2338	0	2305	0	940.2	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	801.47	0	5.7062	0	34.5504	0	27.243	0	795.496	0	51.93	0	17.1	0	-1E+10	1	0.0146	0	0.0146	0	0.000283	1	-1E+10	1	0.99	1	7.6531	0	7.4260	0	2334	0	2301	0	956.9	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	751.91	0	6.1332	0	34.5552	0	27.193	0	746.394	0	46.43	0	15.5	0	-1E+10	1	0.0073	0	0.0073	0	0.000283	1	-1E+10	1	0.99	1	7.6400	0	7.4179	0	2328	0	2298	0	993.6	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	701.71	0	6.4646	0	34.5613	0	27.154	0	696.646	0	39.05	0	13.1	0	-1E+10	1	0.0109	0	0.0109	0	0.000272	1	-1E+10	1	0.96	1	7.6244	0	7.4065	0	2325	0	2299	0	1038.6	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	651.68	0	6.9665	0	34.5747	0	27.097	0	647.055	0	25.53	0	8.7	0	-1E+10	1	0.0146	0	0.0146	0	0.000357	1	-1E+10	1	1.18	1	7.5929	0	7.3828	0	2321	0	2302	0	1129.0	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	601.43	0	7.4499	0	34.5927	0	27.043	0	597.233	0	16.98	0	5.8	0	-1E+10	1	0.0146	0	0.0146	0	0.000297	1	-1E+10	1	1.03	1	7.5801	0	7.3756	0	2318	0	2302	0	1173.1	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	551.55	0	7.8587	0	34.6123	0	26.999	0	547.767	0	12.24	0	4.2	0	-1E+10	1	0.0182	0	0.0182	0	0.000298	1	-1E+10	1	1.03	1	7.5771	0	7.3761	0	2316	0	2299	0	1189.7	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	501.76	0	8.4582	0	34.6352	0	26.926	0	498.378	0	10.30	0	3.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000347	1	-1E+10	1	1.16	1	7.5690	0	7.3745	0	2312	0	2296	0	1222.2	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	451.61	0	9.1225	0	34.6629	0	26.843	0	448.620	0	9.33	0	3.3	0	-1E+10	1	0.0182	0	0.0182	0	0.000324	1	-1E+10	1	1.10	1	7.5752	0	7.3865	0	2308	0	2288	0	1212.8	0
5906044	1	C	10/28/2019	12:33	235.083	5.102	0	401.46	0	9.7401	0	34.6925	0	26.764	0	398.851	0	14.02	0	5.1	0	-1E+10	1	0.0182	0	0.0182	0	0.000325	1	-1E+10	1	1.10	1	7.5909	0	7.4066	0	2306	0	2279	0	1176.3	0
