//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:48
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906043
//Univ. of Washington ID: 17534
//MBARI ID: 17534EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10366	
//Temperature[°C]	Sbe41cp	10366	
//Salinity[pss]	Sbe41cp	10366	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2822	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	4975	
//Chl_a_corr[mg/m^3]	FLBBAP2	4975	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4975	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4975	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	243	
//pH25C[Total]	Durafet	243	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0746	0.0000	0.0000
//pH	1	1.0000	0.0009	-0.6167
//pH	9	1.0000	-0.0032	0.0288
//pH	34	1.0000	0.0085	0.3206
//pH	47	1.0000	0.0582	0.1358
//pH	76	1.0000	0.1387	-0.2695
//pH	79	1.0000	0.1809	-0.6099
//pH	83	1.0000	0.1414	0.1386
//pH	90	1.0000	0.1422	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1599.68	0	2.9358	0	34.6038	0	27.585	0	1584.750	0	78.16	0	24.1	0	-1E+10	1	0.0072	0	0.0072	0	0.000280	1	-1E+10	1	0.98	1	7.7043	0	7.4645	0	2399	0	2353	0	778.4	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1499.69	0	3.1421	0	34.5971	0	27.561	0	1486.044	0	73.08	0	22.7	0	-1E+10	1	0.0144	0	0.0144	0	0.000257	1	-1E+10	1	0.92	1	7.6948	0	7.4553	0	2394	0	2350	0	805.0	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1400.28	0	3.4084	0	34.5867	0	27.527	0	1387.865	0	68.48	0	21.4	0	-1E+10	1	0.0144	0	0.0144	0	0.000246	1	-1E+10	1	0.89	1	7.6858	0	7.4471	0	2387	0	2347	0	831.6	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1299.54	0	3.6951	0	34.5764	0	27.490	0	1288.326	0	63.83	0	20.1	0	-1E+10	1	0.0144	0	0.0144	0	0.000246	1	-1E+10	1	0.89	1	7.6694	0	7.4328	0	2382	0	2346	0	875.3	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1200.38	0	4.0294	0	34.5655	0	27.447	0	1190.302	0	59.11	0	18.7	0	-1E+10	1	0.0108	0	0.0108	0	0.000259	1	-1E+10	1	0.93	1	7.6582	0	7.4236	0	2374	0	2341	0	908.5	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1099.70	0	4.4648	0	34.5561	0	27.393	0	1090.729	0	50.55	0	16.2	0	-1E+10	1	0.0144	0	0.0144	0	0.000248	1	-1E+10	1	0.90	1	7.6377	0	7.4075	0	2364	0	2338	0	964.9	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	1000.07	0	4.9171	0	34.5463	0	27.335	0	992.147	0	53.48	0	17.3	0	-1E+10	1	0.0144	0	0.0144	0	0.000249	1	-1E+10	1	0.90	1	7.6473	0	7.4180	0	2352	0	2322	0	951.3	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	951.31	0	5.0827	0	34.5443	0	27.314	0	943.883	0	56.56	0	18.4	0	-1E+10	1	0.0144	0	0.0144	0	0.000249	1	-1E+10	1	0.90	1	7.6494	0	7.4202	0	2348	0	2317	0	950.8	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	901.62	0	5.3476	0	34.5424	0	27.281	0	894.687	0	51.06	0	16.7	0	-1E+10	1	0.0144	0	0.0144	0	0.000261	1	-1E+10	1	0.93	1	7.6384	0	7.4121	0	2344	0	2316	0	982.1	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	851.50	0	5.6263	0	34.5442	0	27.248	0	845.054	0	45.14	0	14.9	0	-1E+10	1	0.0108	0	0.0108	0	0.000250	1	-1E+10	1	0.90	1	7.6220	0	7.3992	0	2340	0	2317	0	1027.8	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	801.55	0	5.9771	0	34.5450	0	27.205	0	795.577	0	37.04	0	12.3	0	-1E+10	1	0.0144	0	0.0144	0	0.000251	1	-1E+10	1	0.90	1	7.6075	0	7.3889	0	2335	0	2315	0	1070.8	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	751.76	0	6.3358	0	34.5494	0	27.162	0	746.247	0	36.19	0	12.1	0	-1E+10	1	0.0144	0	0.0144	0	0.000251	1	-1E+10	1	0.91	1	7.6055	0	7.3898	0	2329	0	2309	0	1081.6	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	701.55	0	6.7770	0	34.5589	0	27.111	0	696.489	0	26.50	0	9.0	0	-1E+10	1	0.0180	0	0.0180	0	0.002579	1	-1E+10	1	6.96	1	7.5855	0	7.3757	0	2325	0	2309	0	1142.6	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	651.37	0	7.2800	0	34.5760	0	27.055	0	646.749	0	19.27	0	6.6	0	-1E+10	1	0.0288	0	0.0288	0	0.002153	1	-1E+10	1	5.85	1	7.5717	0	7.3678	0	2320	0	2306	0	1189.0	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	601.64	0	7.8664	0	34.5966	0	26.986	0	597.443	0	19.53	0	6.8	0	-1E+10	1	0.0180	0	0.0180	0	0.005158	1	-1E+10	1	13.66	1	7.5736	0	7.3749	0	2316	0	2300	0	1192.1	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	551.60	0	8.3587	0	34.6160	0	26.927	0	547.818	0	17.09	0	6.0	0	-1E+10	1	0.0144	0	0.0144	0	0.000432	1	-1E+10	1	1.38	1	7.5724	0	7.3782	0	2312	0	2295	0	1203.4	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	501.32	0	8.6966	0	34.6299	0	26.885	0	497.943	0	20.89	0	7.4	0	-1E+10	1	0.0180	0	0.0180	0	0.002452	1	-1E+10	1	6.63	1	7.5867	0	7.3934	0	2310	0	2288	0	1170.1	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	451.69	0	9.2003	0	34.6521	0	26.822	0	448.701	0	26.46	0	9.4	0	-1E+10	1	0.0144	0	0.0144	0	0.000564	1	-1E+10	1	1.72	1	7.6090	0	7.4181	0	2307	0	2276	0	1115.7	0
5906043	1	C	10/08/2019	02:51	220.127	4.985	0	399.52	0	9.5885	0	34.6682	0	26.770	0	396.926	0	37.60	0	13.5	0	-1E+10	1	0.0108	0	0.0108	0	0.000386	1	-1E+10	1	1.26	1	7.6374	0	7.4469	0	2305	0	2265	0	1048.3	0
