//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:51
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906045
//Univ. of Washington ID: 17862
//MBARI ID: 17862EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 22 63 64 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11441	
//Temperature[°C]	Sbe41cp	11441	
//Salinity[pss]	Sbe41cp	11441	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3052	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0130  Spec#098682 Equitech Ti probe #1905.18  MBARI ARGO float#848  DF#257  CTD#11441	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	257	
//pH25C[Total]	Durafet	257	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0705	0.0000	0.0000
//Nitrate	1	1.0000	-0.6330	0.0000
//Nitrate	2	1.0000	-2.0362	0.0000
//Nitrate	37	1.0000	-1.8949	0.2774
//Nitrate	88	1.0000	-1.6115	0.0000
//pH	1	1.0000	-0.0050	0.0000
//pH	2	1.0000	-0.0155	0.4382
//pH	8	1.0000	-0.0207	0.0000
//pH	88	1.0000	-0.0193	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	1499.56	0	3.1883	0	34.5349	8	27.507	8	1485.936	0	74.28	8	23.1	8	40.59	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6808	8	-1e10	1	2358	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	1399.66	0	3.4912	0	34.5220	8	27.467	8	1387.272	0	74.62	8	23.3	8	40.49	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6785	8	-1e10	1	2349	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	1300.24	0	3.7405	0	34.5122	8	27.435	8	1289.036	0	74.02	8	23.3	8	40.46	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6758	8	-1e10	1	2331	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	1199.04	0	3.9232	0	34.5082	8	27.412	8	1188.993	0	71.09	8	22.5	8	40.62	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6702	8	-1e10	1	2331	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	1100.04	0	4.3324	0	34.4996	8	27.362	8	1091.080	0	60.32	8	19.2	8	41.11	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6448	8	-1e10	1	2326	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	999.20	0	4.7478	0	34.4912	8	27.310	8	991.299	0	53.59	8	17.3	8	41.39	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6313	8	-1e10	1	2321	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	951.73	0	4.9070	0	34.5014	8	27.300	8	944.312	0	53.10	8	17.2	8	41.26	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6071	8	-1e10	1	2327	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	901.75	0	5.1585	0	34.5058	8	27.274	8	894.828	0	54.90	8	17.9	8	40.92	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6072	8	-1e10	1	2328	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	848.94	0	5.3544	0	34.5031	8	27.248	8	842.530	0	58.29	8	19.1	8	40.05	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6211	8	-1e10	1	2332	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	801.27	0	5.5948	0	34.5076	8	27.223	8	795.310	0	49.11	8	16.1	8	40.75	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5970	8	-1e10	1	2331	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	751.33	0	5.8119	0	34.5097	8	27.197	8	745.831	0	46.41	8	15.3	8	40.58	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5959	8	-1e10	1	2330	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	701.47	0	6.1673	0	34.5138	8	27.155	8	696.419	0	42.09	8	14.0	8	40.50	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5827	8	-1e10	1	2332	8	 -1e10	1	 -1e10	1
5906045	1	C	10/27/2019	20:14	234.972	4.031	0	651.45	0	6.5253	0	34.5240	8	27.116	8	646.837	0	33.85	8	11.4	8	40.45	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5661	8	-1e10	1	2325	8	 -1e10	1	 -1e10	1
