//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:53
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906208
//Univ. of Washington ID: 17898
//MBARI ID: 17898SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 21 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11438	
//Temperature[°C]	Sbe41cp	11438	
//Salinity[pss]	Sbe41cp	11438	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3094	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0135  Spec#114275 Equitech Ti probe #1804.22  MBARI ARGO float#845  DF#253  CTD#11438	
//Chl_a[mg/m^3]	FLBBAP2	5511	
//Chl_a_corr[mg/m^3]	FLBBAP2	5511	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5511	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5511	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	253	
//pH25C[Total]	Durafet	253	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0532	0.0000	0.0000
//Nitrate	1	1.0000	0.1240	-55.8155
//Nitrate	3	1.0000	-2.1637	-0.6394
//Nitrate	34	1.0000	-3.1193	0.0000
//pH	1	1.0000	-0.0315	-0.1353
//pH	5	1.0000	-0.0250	0.0176
//pH	34	1.0000	-0.0097	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	1600.23	0	2.9002	0	34.4666	0	27.479	0	1581.873	0	181.57	0	55.9	0	34.25	0	0.0073	0	0.0024	0	0.000217	1	-1E+10	1	0.82	1	7.8804	4	7.6207	4	2325	0	2221	4	494.1	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	1498.81	0	3.3526	0	34.4594	0	27.431	0	1481.971	0	180.44	0	56.2	0	33.46	0	0.0073	0	0.0024	0	0.000218	1	-1E+10	1	0.82	1	7.8903	4	7.6323	4	2323	0	2214	4	488.5	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	1399.56	0	3.8189	0	34.4466	0	27.375	0	1384.162	0	181.82	0	57.3	0	32.65	0	0.0073	0	0.0024	0	0.000231	1	-1E+10	1	0.85	1	7.8961	4	7.6406	4	2318	0	2207	4	487.2	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	1299.44	0	4.1853	0	34.3974	0	27.298	0	1285.448	0	190.61	0	60.5	0	31.83	0	0.0073	0	0.0024	0	0.000255	1	-1E+10	1	0.92	1	7.9061	4	7.6513	4	2309	0	2194	4	479.8	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	1199.89	0	4.4672	0	34.3554	0	27.234	0	1187.251	0	201.73	0	64.5	0	30.50	0	0.0073	0	0.0024	0	0.000255	1	-1E+10	1	0.92	1	7.9195	4	7.6640	4	2301	0	2182	4	468.3	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	1099.78	0	4.9510	0	34.3397	0	27.168	0	1088.454	0	211.03	0	68.2	0	29.10	0	0.0037	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.9324	4	7.6793	4	2294	0	2169	4	458.2	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	999.68	0	6.0941	0	34.4102	0	27.086	0	989.621	0	208.48	0	69.3	0	26.76	0	0.0037	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.9398	4	7.6990	4	2292	0	2159	4	456.7	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	951.56	0	6.6489	0	34.4522	0	27.047	0	942.094	0	206.56	0	69.5	0	25.50	0	0.0037	0	0.0012	0	0.000259	1	-1E+10	1	0.93	1	7.9158	4	7.6827	4	2292	0	2166	4	489.4	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	901.71	0	7.0189	0	34.4780	0	27.017	0	892.846	0	206.09	0	70.0	0	24.74	0	0.0037	0	0.0012	0	0.000375	1	-1E+10	1	1.23	1	7.9176	4	7.6879	4	2292	0	2163	4	490.7	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	851.42	0	7.6972	0	34.5367	0	26.968	0	843.151	0	205.38	0	70.9	0	23.01	0	0.0037	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.9214	4	7.6993	4	2292	0	2159	4	490.1	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	801.77	0	8.3307	0	34.5883	0	26.914	0	794.078	0	207.04	0	72.5	0	21.09	0	0.0037	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.9309	4	7.7156	4	2292	0	2153	4	482.1	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	751.54	0	8.8581	0	34.6307	0	26.865	0	744.419	0	210.21	0	74.5	0	19.62	0	0.0037	0	0.0012	0	0.000482	1	-1E+10	1	1.51	1	7.9385	4	7.7286	4	2292	0	2147	4	476.3	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	701.89	0	9.3569	0	34.6791	0	26.822	0	695.322	0	212.52	0	76.1	0	18.00	0	0.0037	0	0.0012	0	0.000367	1	-1E+10	1	1.21	1	7.9457	4	7.7409	4	2294	0	2144	4	471.2	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	651.79	0	9.8319	0	34.7362	0	26.788	0	645.769	0	214.83	0	77.8	0	16.74	0	0.0037	0	0.0012	0	0.000321	1	-1E+10	1	1.09	1	7.9565	4	7.7563	4	2296	0	2139	4	461.7	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	601.70	0	10.3020	0	34.7881	0	26.747	0	596.213	0	216.98	0	79.4	0	15.27	0	0.0037	0	0.0012	0	0.000333	1	-1E+10	1	1.12	1	7.9676	4	7.7720	4	2297	0	2133	4	452.0	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	550.72	0	10.9804	0	34.8912	0	26.707	0	545.765	0	219.19	0	81.4	0	13.28	0	0.0037	0	0.0012	0	0.000310	1	-1E+10	1	1.06	1	7.9769	4	7.7889	4	2301	0	2129	4	445.1	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	501.45	0	11.3082	0	34.9058	0	26.658	0	496.997	0	224.29	0	83.9	0	12.23	0	0.0037	0	0.0012	0	0.000334	1	-1E+10	1	1.12	1	7.9839	4	7.7988	4	2301	0	2125	4	439.8	4
5906208	1	C	01/08/2020	10:31	57.645	-40.188	0	451.52	0	12.2594	0	35.1011	0	26.630	0	447.564	0	232.07	0	88.7	0	9.29	0	0.0000	0	0.0000	0	0.000288	1	-1E+10	1	1.00	1	8.0058	4	7.8321	4	2311	0	2118	4	419.6	4
