//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 09:47
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906207
//Univ. of Washington ID: 18013
//MBARI ID: 18013SOOCN
//Missing Float profile(s) for station(s): 31 
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11440	
//Temperature[°C]	Sbe41cp	11440	
//Salinity[pss]	Sbe41cp	11440	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3097	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0146  Spec#114276 Equitech Ti probe #1804.25  MBARI ARGO float#846  DF#SBE07  CTD#11440	
//Chl_a[mg/m^3]	FLBBAP2	5513	
//Chl_a_corr[mg/m^3]	FLBBAP2	5513	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5513	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5513	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0672	0.0000	0.0000
//Nitrate	1	1.0000	1.6360	0.0000
//Nitrate	3	1.0000	-2.9486	-1.3981
//Nitrate	34	1.0000	-4.1049	0.0000
//pH	1	1.0000	0.0104	-0.3459
//pH	4	1.0000	-0.0030	-0.0100
//pH	11	1.0000	0.0067	0.0000
//pH	33	1.0000	0.0086	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1399.66	0	2.0009	0	34.7304	0	27.763	0	1382.520	0	195.05	0	58.9	0	30.59	0	0.0037	0	0.0012	0	0.000164	1	-1E+10	1	0.68	1	7.8942	4	7.6131	4	2347	0	2244	4	489.2	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1300.21	0	2.0651	0	34.7238	0	27.752	0	1284.591	0	192.05	0	58.1	0	30.75	0	0.0109	0	0.0037	0	0.000197	1	-1E+10	1	0.76	1	7.8917	4	7.6081	4	2346	0	2245	4	498.1	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1199.85	0	2.1469	0	34.7174	0	27.740	0	1185.719	0	189.34	0	57.4	0	30.78	0	0.0037	0	0.0012	0	0.000175	1	-1E+10	1	0.71	1	7.8912	4	7.6051	4	2345	0	2245	4	504.6	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	1099.92	0	2.1935	0	34.7056	0	27.726	0	1087.224	0	186.11	0	56.4	0	31.19	0	0.0000	0	0.0000	0	0.000208	1	-1E+10	1	0.79	1	7.8836	4	7.5952	4	2344	0	2248	4	520.1	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	999.67	0	2.2396	0	34.6905	0	27.709	0	988.368	0	182.55	0	55.4	0	31.64	0	0.0037	0	0.0012	0	0.000208	1	-1E+10	1	0.79	1	7.8804	4	7.5892	4	2342	0	2249	4	530.4	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	951.77	0	2.2565	0	34.6831	0	27.702	0	941.117	0	180.85	0	54.9	0	31.89	0	0.0037	0	0.0012	0	0.000240	1	-1E+10	1	0.88	1	7.8735	4	7.5815	4	2342	0	2251	4	542.6	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	901.36	0	2.2859	0	34.6711	0	27.690	0	891.378	0	178.92	0	54.4	0	32.21	0	0.0037	0	0.0012	0	0.000454	1	-1E+10	1	1.43	1	7.8675	4	7.5746	4	2342	0	2253	4	554.0	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	851.38	0	2.3150	0	34.6569	0	27.676	0	842.052	0	176.86	0	53.8	0	32.72	0	0.0073	0	0.0024	0	0.000347	1	-1E+10	1	1.16	1	7.8611	4	7.5675	4	2340	0	2255	4	566.0	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	801.86	0	2.3410	0	34.6399	0	27.660	0	793.169	0	174.87	0	53.2	0	33.06	0	0.0037	0	0.0012	0	0.000229	1	-1E+10	1	0.85	1	7.8522	8	7.5580	8	2339	0	2257	8	581.9	8
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	751.46	0	2.3109	0	34.6121	0	27.640	0	743.405	0	172.50	0	52.4	0	33.67	0	0.0073	0	0.0024	0	0.000326	1	-1E+10	1	1.10	1	7.8446	4	7.5490	4	2337	0	2258	4	595.8	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	701.80	0	2.3403	0	34.5947	0	27.623	0	694.360	0	171.17	0	52.1	0	33.87	0	0.0000	0	0.0000	0	0.000294	1	-1E+10	1	1.02	1	7.8428	4	7.5459	4	2335	0	2258	4	601.6	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	651.23	0	2.3022	0	34.5594	0	27.597	0	644.404	0	171.18	0	52.0	0	34.38	0	0.0037	0	0.0012	0	0.000347	1	-1E+10	1	1.16	1	7.8328	4	7.5345	4	2333	0	2259	4	619.7	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	601.86	0	2.3407	0	34.5424	0	27.580	0	595.622	0	171.58	0	52.2	0	34.63	0	0.0037	0	0.0012	0	0.000294	1	-1E+10	1	1.02	1	7.8291	4	7.5300	4	2331	0	2259	4	628.7	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	551.57	0	2.2951	0	34.5080	0	27.556	0	545.919	0	173.85	0	52.8	0	34.89	0	0.0037	0	0.0012	0	0.000283	1	-1E+10	1	0.99	1	7.8320	4	7.5301	4	2328	0	2256	4	627.0	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	501.34	0	2.2929	0	34.4761	0	27.531	0	496.264	0	176.84	0	53.7	0	35.02	0	0.0000	0	0.0000	0	0.000273	1	-1E+10	1	0.96	1	7.8266	4	7.5234	4	2325	0	2256	4	638.3	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	451.57	0	2.3314	0	34.4469	0	27.504	0	447.051	0	179.46	0	54.5	0	34.95	0	0.0000	0	0.0000	0	0.000283	1	-1E+10	1	0.99	1	7.8306	4	7.5257	4	2322	0	2252	4	635.0	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	401.78	0	2.2263	0	34.3834	0	27.461	0	397.807	0	190.42	0	57.7	0	34.97	0	0.0037	0	0.0012	0	0.000380	1	-1E+10	1	1.24	1	7.8329	4	7.5245	4	2316	0	2247	4	633.5	4
5906207	1	C	01/16/2020	23:00	56.514	-53.983	0	381.34	0	2.2433	0	34.3716	0	27.451	0	377.588	0	192.52	0	58.3	0	34.87	0	0.0037	0	0.0012	0	0.000380	1	-1E+10	1	1.24	1	7.8338	8	7.5248	8	2315	0	2246	8	633.3	8
