//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:56
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906218
//Univ. of Washington ID: 18081
//MBARI ID: 18081SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11427	
//Temperature[°C]	Sbe41cp	11427	
//Salinity[pss]	Sbe41cp	11427	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3080	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0116  Spec#114270 Equitech Ti probe #1804.10  MBARI ARGO float#842  DF#254  CTD#11427	
//Chl_a[mg/m^3]	FLBBAP2	4814	
//Chl_a_corr[mg/m^3]	FLBBAP2	4814	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4814	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4814	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	254	
//pH25C[Total]	Durafet	254	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0396	0.0000	0.0000
//Nitrate	1	1.0000	0.1706	-29.7467
//Nitrate	3	1.0000	-0.8863	-0.3360
//Nitrate	27	1.0000	-1.0407	0.0000
//pH	1	1.0000	0.0096	-0.5881
//pH	3	1.0000	-0.0087	0.0000
//pH	27	1.0000	-0.0044	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	1599.71	0	2.6849	0	34.6041	0	27.607	0	1581.796	0	163.64	0	50.2	0	34.03	0	0.0108	0	0.0036	0	0.000366	1	-1E+10	1	1.21	1	7.8306	0	7.5726	0	2347	0	2260	0	561.0	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	1500.19	0	2.8009	0	34.5670	0	27.567	0	1483.739	0	163.80	0	50.4	0	34.25	0	0.0108	0	0.0036	0	0.000391	1	-1E+10	1	1.27	1	7.8278	0	7.5681	0	2342	0	2257	0	570.7	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	1399.39	0	2.9323	0	34.5291	0	27.524	0	1384.375	0	165.88	0	51.2	0	34.31	0	0.0072	0	0.0024	0	0.000403	1	-1E+10	1	1.30	1	7.8278	0	7.5662	0	2337	0	2252	0	576.6	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	1299.49	0	3.1118	0	34.4898	0	27.476	0	1285.851	0	169.49	0	52.5	0	34.02	0	0.0072	0	0.0024	0	0.000391	1	-1E+10	1	1.27	1	7.8308	0	7.5677	0	2332	0	2246	0	578.3	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	1199.43	0	3.4145	0	34.4475	0	27.414	0	1187.123	0	175.18	0	54.6	0	33.44	0	0.0108	0	0.0036	0	0.000392	1	-1E+10	1	1.27	1	7.8374	0	7.5743	0	2324	0	2237	0	574.7	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	1099.90	0	3.8406	0	34.4072	0	27.339	0	1088.872	0	182.49	0	57.5	0	32.49	0	0.0072	0	0.0024	0	0.000405	1	-1E+10	1	1.31	1	7.8489	0	7.5869	0	2315	0	2224	0	564.2	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	999.98	0	4.5287	0	34.3822	0	27.247	0	990.190	0	189.91	0	60.8	0	30.86	0	0.0072	0	0.0024	0	0.000442	1	-1E+10	1	1.40	1	7.8619	0	7.6048	0	2305	0	2208	0	552.1	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	951.83	0	4.9561	0	34.3873	0	27.204	0	942.620	0	191.69	0	62.0	0	29.96	0	0.0036	0	0.0012	0	0.000407	1	-1E+10	1	1.31	1	7.8627	0	7.6097	0	2301	0	2202	0	554.3	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	901.78	0	5.4968	0	34.3977	0	27.149	0	893.161	0	193.25	0	63.3	0	28.59	0	0.0036	0	0.0012	0	0.000396	1	-1E+10	1	1.28	1	7.8685	0	7.6208	0	2297	0	2194	0	549.9	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	851.88	0	6.0751	0	34.4189	0	27.094	0	843.838	0	194.49	0	64.6	0	27.19	0	0.0072	0	0.0024	0	0.000409	1	-1E+10	1	1.32	1	7.8743	0	7.6324	0	2293	0	2186	0	545.8	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	801.54	0	6.8006	0	34.4525	0	27.025	0	794.069	0	196.67	0	66.4	0	25.26	0	0.0072	0	0.0024	0	0.000410	1	-1E+10	1	1.32	1	7.8850	0	7.6507	0	2291	0	2177	0	535.4	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	751.71	0	7.4728	0	34.4922	0	26.963	0	744.792	0	202.71	0	69.6	0	23.11	0	0.0072	0	0.0024	0	0.000411	1	-1E+10	1	1.32	1	7.8950	0	7.6678	0	2289	0	2169	0	526.1	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	701.37	0	8.0786	0	34.5367	0	26.909	0	694.999	0	215.47	0	75.0	0	20.55	0	0.0036	0	0.0012	0	0.000435	1	-1E+10	1	1.39	1	7.9195	0	7.6977	0	2289	0	2157	0	498.1	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	651.71	0	8.5830	0	34.5886	0	26.873	0	645.867	0	228.81	0	80.5	0	18.07	0	0.0000	0	0.0000	0	0.000436	1	-1E+10	1	1.39	1	7.9382	0	7.7208	0	2290	0	2148	0	478.5	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	601.33	0	9.0279	0	34.6424	0	26.845	0	596.011	0	237.00	0	84.3	0	16.07	0	0.0036	0	0.0012	0	0.000460	1	-1E+10	1	1.45	1	7.9556	0	7.7419	0	2292	0	2141	0	461.1	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	551.78	0	9.3044	0	34.6842	0	26.832	0	546.965	0	239.40	0	85.7	0	15.20	0	0.0072	0	0.0024	0	0.000425	1	-1E+10	1	1.36	1	7.9593	0	7.7477	0	2293	0	2141	0	459.9	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	501.64	0	9.5211	0	34.7179	0	26.822	0	497.322	0	239.17	0	86.0	0	14.38	0	0.0072	0	0.0024	0	0.000461	1	-1E+10	1	1.45	1	7.9638	0	7.7533	0	2295	0	2140	0	457.8	0
5906218	1	C	03/16/2020	00:44	120.066	-37.129	0	451.75	0	9.8630	0	34.7674	0	26.803	0	447.915	0	237.91	0	86.2	0	13.34	0	0.0072	0	0.0024	0	0.000449	1	-1E+10	1	1.42	1	7.9645	0	7.7572	0	2297	0	2140	0	460.3	0
