//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:57
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906205
//Univ. of Washington ID: 18082
//MBARI ID: 18082SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11767	
//Temperature[°C]	Sbe41cp	11767	
//Salinity[pss]	Sbe41cp	11767	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3095	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A19.D01.205216  Spec#118364 Equitech Ti probe #1804.09  ARGO float#859  DF#SBE10303  CTD#11767	
//Chl_a[mg/m^3]	FLBBAP2	5512	
//Chl_a_corr[mg/m^3]	FLBBAP2	5512	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5512	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5512	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10303	
//pH25C[Total]	Durafet	10303	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Nitrate	1	1.0000	8.0814	-13.4294
//Nitrate	4	1.0000	7.5645	-8.2755
//Nitrate	9	1.0000	6.7512	0.0000
//pH	1	1.0000	0.0200	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1799.90	0	2.8854	0	34.5842	0	27.575	0	1779.234	0	-1e10	1	-1e10	1	41.12	0	0.0109	0	0.0037	0	0.000224	1	-1E+10	1	0.84	1	7.8214	0	7.5744	4	2339	4	2250	4	559.7	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1699.91	0	3.0467	0	34.5572	0	27.539	0	1680.788	0	-1e10	1	-1e10	1	39.79	0	0.0037	0	0.0012	0	0.000246	1	-1E+10	1	0.89	1	7.8212	0	7.5727	4	2335	4	2248	4	566.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1599.61	0	3.2996	0	34.5160	0	27.482	0	1581.990	0	-1e10	1	-1e10	1	38.67	0	0.0109	0	0.0037	0	0.000225	1	-1E+10	1	0.84	1	7.8197	0	7.5712	4	2330	4	2243	4	574.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1499.58	0	3.5861	0	34.4699	0	27.418	0	1483.412	0	-1e10	1	-1e10	1	37.19	0	0.0073	0	0.0024	0	0.000237	1	-1E+10	1	0.87	1	7.8233	0	7.5748	4	2322	4	2235	4	575.5	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1399.91	0	3.9897	0	34.4220	0	27.339	0	1385.144	0	-1e10	1	-1e10	1	35.52	0	0.0073	0	0.0024	0	0.000215	1	-1E+10	1	0.81	1	7.8326	0	7.5851	4	2314	4	2223	4	568.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1299.44	0	4.3813	0	34.3955	0	27.276	0	1286.040	0	-1e10	1	-1e10	1	33.74	0	0.0073	0	0.0024	0	0.000227	1	-1E+10	1	0.84	1	7.8435	0	7.5968	4	2306	4	2212	4	558.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1199.65	0	4.8346	0	34.3693	0	27.205	0	1187.560	0	-1e10	1	-1e10	1	31.80	0	0.0037	0	0.0012	0	0.000239	1	-1E+10	1	0.88	1	7.8565	0	7.6114	4	2298	4	2198	4	546.5	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	1099.90	0	5.7606	0	34.4027	0	27.123	0	1089.074	0	-1e10	1	-1e10	1	29.07	0	0.0037	0	0.0012	0	0.000241	1	-1E+10	1	0.88	1	7.8716	0	7.6346	4	2293	4	2185	4	533.7	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	999.85	0	7.4204	0	34.5169	0	26.994	0	990.245	0	-1e10	1	-1e10	1	24.81	0	0.0037	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.8957	0	7.6767	4	2292	4	2167	4	511.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	951.44	0	7.9396	0	34.5633	0	26.955	0	942.409	0	-1e10	1	-1e10	1	23.38	0	0.0037	0	0.0012	0	0.000266	1	-1E+10	1	0.94	1	7.8980	0	7.6845	4	2292	4	2165	4	512.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	899.66	0	8.4440	0	34.6080	0	26.914	0	891.230	0	-1e10	1	-1e10	1	21.45	0	0.0037	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.9112	0	7.7023	4	2292	4	2158	4	499.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	851.43	0	9.3472	0	34.7001	0	26.843	0	843.549	0	-1e10	1	-1e10	1	18.93	0	0.0037	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.9238	0	7.7254	4	2294	4	2150	4	487.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	801.70	0	10.2170	0	34.8012	0	26.777	0	794.374	0	-1e10	1	-1e10	1	16.31	0	0.0037	0	0.0012	0	0.000446	1	-1E+10	1	1.41	1	7.9407	0	7.7522	4	2297	4	2141	4	471.3	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	751.36	0	10.9464	0	34.9048	0	26.729	0	744.584	0	-1e10	1	-1e10	1	14.23	0	0.0037	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1	7.9509	0	7.7708	4	2301	4	2137	4	463.3	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	701.46	0	11.3245	0	34.9622	0	26.704	0	695.217	0	-1e10	1	-1e10	1	13.17	0	0.0037	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.9538	0	7.7772	4	2304	4	2137	4	463.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	651.82	0	11.7093	0	35.0211	0	26.677	0	646.096	0	-1e10	1	-1e10	1	12.18	0	0.0037	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.9620	0	7.7889	4	2307	4	2134	4	456.9	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	601.76	0	12.2661	0	35.1031	0	26.634	0	596.547	0	-1e10	1	-1e10	1	10.58	0	0.0037	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.9715	0	7.8044	4	2311	4	2131	4	449.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	551.74	0	12.7822	0	35.1939	0	26.603	0	547.026	0	-1e10	1	-1e10	1	9.09	0	0.0000	0	0.0000	0	0.000326	1	-1E+10	1	1.10	1	7.9831	0	7.8214	4	2315	4	2126	4	439.3	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	501.47	0	13.0587	0	35.2386	0	26.581	0	497.246	0	-1e10	1	-1e10	1	7.90	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9915	0	7.8318	4	2317	4	2123	4	432.6	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	451.42	0	13.3450	0	35.2839	0	26.557	0	447.671	0	-1e10	1	-1e10	1	6.87	0	0.0037	0	0.0012	0	0.000382	1	-1E+10	1	1.25	1	8.0018	0	7.8443	4	2319	4	2119	4	423.7	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	401.51	0	13.4561	0	35.2926	0	26.539	0	398.224	0	-1e10	1	-1e10	1	7.01	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	8.0000	0	7.8424	4	2319	4	2120	4	428.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	381.74	0	13.5320	0	35.3065	0	26.534	0	378.633	0	-1e10	1	-1e10	1	6.76	0	0.0037	0	0.0012	0	0.000516	1	-1E+10	1	1.59	1	8.0029	0	7.8456	4	2319	4	2119	4	426.0	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	361.73	0	13.6694	0	35.3306	0	26.523	0	358.804	0	-1e10	1	-1e10	1	6.33	0	0.0037	0	0.0012	0	0.000371	1	-1E+10	1	1.22	1	8.0067	0	7.8507	4	2320	4	2117	4	422.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	351.82	0	13.6792	0	35.3320	0	26.522	0	348.982	0	-1e10	1	-1e10	1	6.36	0	0.0037	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	8.0078	0	7.8515	4	2320	4	2117	4	422.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	341.60	0	13.6974	0	35.3352	0	26.521	0	338.853	0	-1e10	1	-1e10	1	6.23	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	8.0078	0	7.8515	4	2321	4	2117	4	422.6	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	331.72	0	13.7289	0	35.3378	0	26.516	0	329.060	0	-1e10	1	-1e10	1	6.05	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	8.0096	0	7.8533	4	2321	4	2116	4	421.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	319.87	0	13.7984	0	35.3477	0	26.509	0	317.314	0	-1e10	1	-1e10	1	5.96	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	8.0126	0	7.8568	4	2321	4	2115	4	418.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	310.26	0	13.8059	0	35.3479	0	26.507	0	307.788	0	-1e10	1	-1e10	1	5.88	0	0.0037	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	8.0128	0	7.8568	4	2321	4	2115	4	418.7	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	300.34	0	13.8385	0	35.3517	0	26.503	0	297.954	0	-1e10	1	-1e10	1	5.84	0	0.0037	0	0.0012	0	0.000382	1	-1E+10	1	1.25	1	8.0137	0	7.8578	4	2321	4	2115	4	418.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	290.11	0	13.8906	0	35.3604	0	26.498	0	287.813	0	-1e10	1	-1e10	1	5.57	0	0.0000	0	0.0000	0	0.000394	1	-1E+10	1	1.28	1	8.0142	0	7.8587	4	2322	4	2115	4	418.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	279.39	0	13.9116	0	35.3648	0	26.497	0	277.185	0	-1e10	1	-1e10	1	5.57	0	0.0037	0	0.0012	0	0.000405	1	-1E+10	1	1.31	1	8.0147	0	7.8591	4	2322	4	2115	4	418.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	268.23	0	13.9429	0	35.3703	0	26.494	0	266.120	0	-1e10	1	-1e10	1	5.42	0	0.0000	0	0.0000	0	0.000405	1	-1E+10	1	1.31	1	8.0167	0	7.8612	4	2322	4	2114	4	416.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	256.55	0	14.0074	0	35.3826	0	26.490	0	254.539	0	-1e10	1	-1e10	1	5.36	0	0.0037	0	0.0012	0	0.000427	1	-1E+10	1	1.36	1	8.0158	0	7.8608	4	2323	4	2115	4	418.1	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	244.53	0	14.0196	0	35.3790	0	26.484	0	242.620	0	-1e10	1	-1e10	1	5.42	0	0.0037	0	0.0012	0	0.000494	1	-1E+10	1	1.54	1	8.0174	0	7.8621	4	2323	4	2114	4	416.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	232.23	0	14.0389	0	35.3746	0	26.476	0	230.423	0	-1e10	1	-1e10	1	5.30	0	0.0037	0	0.0012	0	0.000527	1	-1E+10	1	1.62	1	8.0180	0	7.8625	4	2323	4	2114	4	416.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	220.08	0	14.0672	0	35.3760	0	26.471	0	218.374	0	-1e10	1	-1e10	1	5.26	0	0.0037	0	0.0012	0	0.000560	1	-1E+10	1	1.71	1	8.0202	0	7.8647	4	2323	4	2113	4	414.9	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	208.50	0	14.0922	0	35.3768	0	26.466	0	206.890	0	-1e10	1	-1e10	1	5.23	0	0.0037	0	0.0012	0	0.000583	1	-1E+10	1	1.77	1	8.0187	0	7.8631	4	2323	4	2114	4	417.2	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	197.38	0	14.1380	0	35.3807	0	26.459	0	195.861	0	-1e10	1	-1e10	1	4.97	0	0.0073	0	0.0024	0	0.000594	1	-1E+10	1	1.80	1	8.0199	0	7.8646	4	2323	4	2113	4	416.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	186.92	0	14.1410	0	35.3809	0	26.458	0	185.486	0	-1e10	1	-1e10	1	5.01	0	0.0073	0	0.0024	0	0.000683	1	-1E+10	1	2.03	1	8.0190	0	7.8634	4	2323	4	2114	4	417.9	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	177.17	0	14.1849	0	35.3848	0	26.452	0	175.815	0	-1e10	1	-1e10	1	4.82	0	0.0073	0	0.0024	0	0.000650	1	-1E+10	1	1.94	1	8.0221	0	7.8668	4	2323	4	2112	4	415.0	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	168.01	0	14.2418	0	35.3852	0	26.440	0	166.729	0	-1e10	1	-1e10	1	4.72	0	0.0182	0	0.0061	0	0.000616	1	-1E+10	1	1.86	1	8.0229	0	7.8680	4	2323	4	2112	4	414.6	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	159.45	0	14.3318	0	35.3917	0	26.425	0	158.237	0	-1e10	1	-1e10	1	4.58	0	0.0182	0	0.0061	0	0.000605	1	-1E+10	1	1.83	1	8.0216	0	7.8679	4	2324	4	2112	4	416.4	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	151.03	0	14.3559	0	35.3921	0	26.420	0	149.884	0	-1e10	1	-1e10	1	4.53	0	0.0255	0	0.0085	0	0.000605	1	-1E+10	1	1.83	1	8.0208	0	7.8671	4	2324	4	2112	4	417.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	142.19	0	14.4315	0	35.3976	0	26.408	0	141.114	0	-1e10	1	-1e10	1	4.44	0	0.0401	0	0.0134	0	0.000605	1	-1E+10	1	1.83	1	8.0203	0	7.8675	4	2324	4	2112	4	418.8	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	132.21	0	14.6053	0	35.4119	0	26.381	0	131.213	0	-1e10	1	-1e10	1	4.54	0	0.0730	0	0.0243	0	0.000661	1	-1E+10	1	1.97	1	8.0178	0	7.8672	4	2325	4	2113	4	422.3	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	121.69	0	14.9070	0	35.4355	0	26.333	0	120.776	0	-1e10	1	-1e10	1	4.15	0	0.1789	0	0.0596	0	0.000917	1	-1E+10	1	2.64	1	8.0178	0	7.8713	4	2326	4	2112	4	423.0	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	112.32	0	15.1132	0	35.4489	0	26.298	0	111.478	0	-1e10	1	-1e10	1	3.38	0	0.2336	0	0.0779	0	0.001062	1	-1E+10	1	3.01	1	8.0249	0	7.8810	4	2327	4	2108	4	415.6	4
5906205	1	C	01/05/2020	19:33	57.417	-35.022	0	105.00	0	15.3653	0	35.4613	0	26.251	0	104.215	0	-1e10	1	-1e10	1	2.54	0	0.2957	0	0.0986	0	0.001262	1	-1E+10	1	3.53	1	8.0308	0	7.8903	4	2327	4	2104	4	409.6	4
