//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 03:58
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906215
//Univ. of Washington ID: 18098
//MBARI ID: 18098SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11519	
//Temperature[°C]	Sbe41cp	11519	
//Salinity[pss]	Sbe41cp	11519	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3099	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0107  Spec#098683 Equitech Ti probe #1905.20  MBARI ARGO float#852  DF#SBE13  CTD#11519	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0644	0.0000	0.0000
//Nitrate	1	1.0000	0.4443	-28.1353
//Nitrate	3	1.0000	-0.5174	-1.1973
//Nitrate	34	1.0000	-1.1586	0.0000
//pH	1	1.0000	-0.0436	0.3911
//pH	3	1.0000	-0.0295	0.0000
//pH	21	1.0000	-0.0218	0.0000
//pH	34	1.0000	-0.0236	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1798.74	0	2.3863	0	34.6134	0	27.641	0	1774.861	0	160.81	0	49.0	0	34.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8299	4	7.5751	4	2350	0	2261	4	548.8	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1700.20	0	2.4694	0	34.5958	0	27.619	0	1678.019	0	166.17	0	50.7	0	33.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8314	4	7.5741	4	2341	0	2253	4	551.2	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1599.73	0	2.5545	0	34.5656	0	27.587	0	1579.234	0	167.78	0	51.3	0	34.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8251	4	7.5660	4	2337	0	2252	4	565.7	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1500.21	0	2.6388	0	34.5295	0	27.551	0	1481.337	0	169.04	0	51.8	0	34.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8323	4	7.5699	4	2333	0	2247	4	561.7	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1399.56	0	2.7531	0	34.4919	0	27.510	0	1382.282	0	169.26	0	52.0	0	34.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8283	4	7.5643	4	2329	0	2245	4	573.3	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1300.00	0	2.8900	0	34.4569	0	27.470	0	1284.255	0	169.29	0	52.1	0	34.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8307	4	7.5647	4	2325	0	2241	4	576.0	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1199.58	0	2.9928	0	34.4063	0	27.419	0	1185.333	0	184.20	0	56.8	0	33.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8475	4	7.5776	4	2316	0	2228	4	557.2	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	1099.80	0	3.2357	0	34.3649	0	27.364	0	1086.996	0	187.37	0	58.2	0	33.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8517	4	7.5812	4	2309	0	2220	4	557.0	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	999.52	0	3.4633	0	34.3170	0	27.303	0	988.120	0	201.38	0	62.8	0	32.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8685	4	7.5959	4	2301	0	2207	4	539.2	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	951.76	0	3.6011	0	34.2945	0	27.272	0	941.012	0	207.02	0	64.8	0	31.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8699	4	7.5974	4	2297	0	2203	4	539.9	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	901.92	0	3.7940	0	34.2793	0	27.240	0	891.841	0	211.03	0	66.3	0	31.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8729	4	7.6010	4	2294	0	2198	4	538.7	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	851.70	0	3.9047	0	34.2637	0	27.217	0	842.283	0	215.54	0	67.9	0	30.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8806	4	7.6078	4	2291	0	2193	4	531.1	4
5906215	1	C	01/07/2020	08:26	276.701	-55.139	0	801.79	0	4.0755	0	34.2448	0	27.184	0	793.020	0	221.56	0	70.1	0	30.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8887	4	7.6157	4	2288	0	2187	4	523.2	4
