//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:00
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906219
//Univ. of Washington ID: 18110
//MBARI ID: 18110SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 22 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11515	
//Temperature[°C]	Sbe41cp	11515	
//Salinity[pss]	Sbe41cp	11515	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3092	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204286  Spec#118365 Equitech Ti probe #1905.34  ARGO float#860  DF#265  CTD#11515	
//Chl_a[mg/m^3]	FLBBAP2	5515	
//Chl_a_corr[mg/m^3]	FLBBAP2	5515	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5515	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5515	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	265	
//pH25C[Total]	Durafet	265	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0382	0.0000	0.0000
//Nitrate	1	1.0000	-0.5394	-19.1434
//Nitrate	3	1.0000	-1.0518	-0.6165
//Nitrate	30	1.0000	-1.4469	0.0000
//pH	1	1.0000	-0.0123	-0.0106
//pH	17	1.0000	-0.0220	0.0286
//pH	30	1.0000	-0.0128	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1499.85	0	3.2875	0	34.5065	0	27.475	0	1483.423	0	164.65	0	51.2	0	34.25	0	0.0108	0	0.0036	0	0.000262	1	-1E+10	1	0.93	1	7.8090	8	7.5579	8	2333	0	2251	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1399.76	0	3.5011	0	34.4568	0	27.414	0	1384.758	0	171.74	0	53.7	0	33.75	0	0.0072	0	0.0024	0	0.000263	1	-1E+10	1	0.94	1	7.8139	8	7.5616	8	2326	0	2244	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1298.36	0	3.7498	0	34.4101	0	27.352	0	1284.753	0	181.99	0	57.2	0	32.95	0	0.0072	0	0.0024	0	0.000274	1	-1E+10	1	0.97	1	7.8269	8	7.5731	8	2317	0	2230	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1200.11	0	4.2675	0	34.3951	0	27.287	0	1187.810	0	185.16	0	58.9	0	31.84	0	0.0072	0	0.0024	0	0.000331	1	-1E+10	1	1.11	1	7.8325	8	7.5817	8	2311	0	2222	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	1099.72	0	4.8106	0	34.3473	0	27.190	0	1088.709	0	203.74	0	65.7	0	29.94	0	0.0072	0	0.0024	0	0.000265	1	-1E+10	1	0.94	1	7.8546	8	7.6057	8	2296	0	2199	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	999.18	0	5.9127	0	34.3886	0	27.092	0	989.413	0	204.69	0	67.7	0	27.55	0	0.0072	0	0.0024	0	0.000278	1	-1E+10	1	0.98	1	7.8647	8	7.6267	8	2291	0	2186	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	951.73	0	6.3917	0	34.4189	0	27.055	0	942.533	0	207.06	0	69.3	0	26.35	0	0.0072	0	0.0024	0	0.000324	1	-1E+10	1	1.09	1	7.8534	8	7.6213	8	2290	0	2187	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	901.66	0	7.0437	0	34.4703	0	27.008	0	893.054	0	206.05	0	70.0	0	24.77	0	0.0072	0	0.0024	0	0.000414	1	-1E+10	1	1.33	1	7.8585	8	7.6333	8	2290	0	2183	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	851.50	0	7.7519	0	34.5245	0	26.950	0	843.474	0	207.19	0	71.6	0	22.73	0	0.0072	0	0.0024	0	0.000270	1	-1E+10	1	0.95	1	7.8729	8	7.6548	8	2290	0	2175	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	801.29	0	8.3617	0	34.5742	0	26.898	0	793.832	0	213.23	0	74.7	0	20.75	0	0.0072	0	0.0024	0	0.000282	1	-1E+10	1	0.99	1	7.8877	8	7.6755	8	2290	0	2166	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	751.36	0	8.8086	0	34.6253	0	26.869	0	744.456	0	219.87	0	77.8	0	19.00	0	0.0036	0	0.0012	0	0.000260	1	-1E+10	1	0.93	1	7.9038	8	7.6952	8	2292	0	2160	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	701.61	0	9.2642	0	34.6654	0	26.827	0	695.246	0	230.40	0	82.4	0	16.99	0	0.0036	0	0.0012	0	0.000294	1	-1E+10	1	1.02	1	7.9176	8	7.7129	8	2292	0	2153	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	651.35	0	9.5478	0	34.7030	0	26.809	0	645.520	0	233.88	0	84.2	0	15.95	0	0.0036	0	0.0012	0	0.000328	1	-1E+10	1	1.11	1	7.9269	8	7.7241	8	2294	0	2151	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	601.45	0	9.9275	0	34.7547	0	26.785	0	596.138	0	238.35	0	86.5	0	14.57	0	0.0036	0	0.0012	0	0.000306	1	-1E+10	1	1.05	1	7.9395	8	7.7396	8	2296	0	2147	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	551.56	0	10.2527	0	34.8076	0	26.770	0	546.754	0	241.39	0	88.3	0	13.39	0	0.0072	0	0.0024	0	0.000317	1	-1E+10	1	1.08	1	7.9458	8	7.7486	8	2299	0	2145	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	501.58	0	10.5749	0	34.8516	0	26.747	0	497.269	0	241.87	0	89.1	0	12.51	0	0.0036	0	0.0012	0	0.000373	1	-1E+10	1	1.22	1	7.9518	8	7.7572	8	2301	0	2143	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	451.87	0	10.8398	0	34.8940	0	26.732	0	448.040	0	242.41	0	89.8	0	11.74	0	0.0036	0	0.0012	0	0.000385	1	-1E+10	1	1.25	1	7.9606	8	7.7677	8	2303	0	2141	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	401.61	0	11.1027	0	34.9336	0	26.715	0	398.254	0	244.05	0	90.9	0	11.18	0	0.0036	0	0.0012	0	0.000374	1	-1E+10	1	1.22	1	7.9624	8	7.7715	8	2305	0	2140	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	381.46	0	11.1746	0	34.9441	0	26.709	0	378.291	0	243.38	0	90.8	0	11.09	0	0.0036	0	0.0012	0	0.000374	1	-1E+10	1	1.23	1	7.9644	8	7.7738	8	2305	0	2140	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	361.87	0	11.3038	0	34.9624	0	26.700	0	358.881	0	242.99	0	90.9	0	10.76	0	0.0036	0	0.0012	0	0.000419	1	-1E+10	1	1.34	1	7.9646	8	7.7751	8	2306	0	2140	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	351.76	0	11.3413	0	34.9673	0	26.696	0	348.863	0	242.97	0	91.0	0	10.78	0	0.0036	0	0.0012	0	0.000385	1	-1E+10	1	1.25	1	7.9663	8	7.7770	8	2306	0	2139	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	341.54	0	11.4035	0	34.9766	0	26.692	0	338.735	0	242.80	0	91.1	0	10.52	0	0.0036	0	0.0012	0	0.000396	1	-1E+10	1	1.28	1	7.9672	8	7.7784	8	2307	0	2139	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	331.84	0	11.4725	0	34.9858	0	26.686	0	329.122	0	242.68	0	91.2	0	10.37	0	0.0036	0	0.0012	0	0.000385	1	-1E+10	1	1.25	1	7.9688	8	7.7805	8	2307	0	2138	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	321.78	0	11.5325	0	34.9949	0	26.682	0	319.153	0	242.42	0	91.2	0	10.18	0	0.0036	0	0.0012	0	0.000408	1	-1E+10	1	1.31	1	7.9691	8	7.7814	8	2307	0	2138	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	311.47	0	11.5679	0	34.9985	0	26.678	0	308.934	0	243.00	0	91.5	0	10.06	0	0.0036	0	0.0012	0	0.000408	1	-1E+10	1	1.31	1	7.9707	8	7.7830	8	2308	0	2138	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	301.75	0	11.6036	0	35.0039	0	26.675	0	299.301	0	243.06	0	91.6	0	9.92	0	0.0072	0	0.0024	0	0.000374	1	-1E+10	1	1.23	1	7.9711	8	7.7836	8	2308	0	2138	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	291.32	0	11.6252	0	35.0054	0	26.672	0	288.963	0	243.37	0	91.7	0	9.86	0	0.0072	0	0.0024	0	0.000363	1	-1E+10	1	1.20	1	7.9724	8	7.7848	8	2308	0	2138	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	281.30	0	11.6581	0	35.0092	0	26.668	0	279.030	0	243.76	0	91.9	0	9.57	0	0.0072	0	0.0024	0	0.000352	1	-1E+10	1	1.17	1	7.9740	8	7.7865	8	2309	0	2137	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	271.83	0	11.6339	0	34.9982	0	26.664	0	269.643	0	246.86	0	93.1	0	9.38	0	0.0036	0	0.0012	0	0.000352	1	-1E+10	1	1.17	1	7.9828	8	7.7943	8	2308	0	2134	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	261.58	0	11.6706	0	35.0056	0	26.663	0	259.482	0	248.34	0	93.7	0	9.36	0	0.0000	0	0.0000	0	0.000329	1	-1E+10	1	1.11	1	7.9814	8	7.7930	8	2309	0	2135	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	251.55	0	11.7045	0	35.0073	0	26.658	0	249.538	0	248.41	0	93.8	0	9.08	0	0.0036	0	0.0012	0	0.000330	1	-1E+10	1	1.11	1	7.9804	8	7.7922	8	2309	0	2135	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	241.47	0	11.7750	0	35.0192	0	26.653	0	239.545	0	247.43	0	93.6	0	9.08	0	0.0036	0	0.0012	0	0.000318	1	-1E+10	1	1.08	1	7.9785	8	7.7910	8	2309	0	2136	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	231.27	0	11.8590	0	35.0364	0	26.651	0	229.432	0	246.20	0	93.3	0	8.87	0	0.0072	0	0.0024	0	0.000374	1	-1E+10	1	1.23	1	7.9800	8	7.7934	8	2310	0	2136	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	221.80	0	11.9032	0	35.0427	0	26.647	0	220.042	0	245.05	0	92.9	0	8.69	0	0.0072	0	0.0024	0	0.000386	1	-1E+10	1	1.26	1	7.9792	8	7.7930	8	2311	0	2136	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	211.33	0	11.9013	0	35.0347	0	26.641	0	209.660	0	245.20	0	93.0	0	8.63	0	0.0072	0	0.0024	0	0.000352	1	-1E+10	1	1.17	1	7.9811	8	7.7944	8	2310	0	2136	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	201.72	0	11.9619	0	35.0429	0	26.635	0	200.131	0	245.42	0	93.2	0	8.43	0	0.0072	0	0.0024	0	0.000352	1	-1E+10	1	1.17	1	7.9842	8	7.7979	8	2311	0	2134	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	191.91	0	11.9621	0	35.0414	0	26.634	0	190.403	0	246.42	0	93.6	0	8.28	0	0.0072	0	0.0024	0	0.000363	1	-1E+10	1	1.20	1	7.9831	8	7.7964	8	2311	0	2135	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	181.73	0	12.0644	0	35.0524	0	26.623	0	180.307	0	246.30	0	93.7	0	8.18	0	0.0072	0	0.0024	0	0.000341	1	-1E+10	1	1.14	1	7.9857	8	7.8001	8	2312	0	2134	8	 -1e10	1
5906219	1	C	02/18/2020	08:50	92.592	-36.983	0	171.68	0	12.0919	0	35.0532	0	26.618	0	170.340	0	246.77	0	94.0	0	7.97	0	0.0108	0	0.0036	0	0.000363	1	-1E+10	1	1.20	1	7.9866	8	7.8010	8	2312	0	2134	8	 -1e10	1
