//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:01
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906237
//Univ. of Washington ID: 18114
//MBARI ID: 18114EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 25 26 27 28 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11432	
//Temperature[°C]	Sbe41cp	11432	
//Salinity[pss]	Sbe41cp	11432	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3062	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5697	
//Chl_a_corr[mg/m^3]	FLBBAP2	5697	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5697	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5697	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	247	
//pH25C[Total]	Durafet	247	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0240	0.0000	0.0000
//pH	1	1.0000	-0.0028	0.0000
//pH	6	1.0000	0.0533	1.8512
//pH	8	1.0000	0.0923	-0.1204
//pH	16	1.0000	0.3115	-6.1444
//pH	18	1.0000	0.1078	0.0000
//pH	24	1.0000	0.0965	-6.5728
//pH	26	1.0000	-0.0077	0.0000
//pH	27	1.0000	-0.0211	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1699.20	0	2.6794	0	34.6156	0	27.618	0	1682.796	0	85.16	0	26.1	0	-1E+10	1	0.0037	0	0.0037	0	0.000236	1	-1E+10	1	0.87	1	7.7145	0	7.4738	0	2407	0	2357	0	751.8	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1599.52	0	2.8385	0	34.6102	0	27.599	0	1584.451	0	80.79	0	24.9	0	-1E+10	1	0.0037	0	0.0037	0	0.000260	1	-1E+10	1	0.93	1	7.7066	0	7.4653	0	2402	0	2355	0	774.6	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1499.85	0	2.9721	0	34.6041	0	27.581	0	1486.070	0	77.36	0	23.9	0	-1E+10	1	0.0037	0	0.0037	0	0.000392	1	-1E+10	1	1.27	1	7.7026	0	7.4599	0	2398	0	2353	0	790.5	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1399.63	0	3.1950	0	34.5961	0	27.554	0	1387.100	0	72.06	0	22.4	0	-1E+10	1	0.0037	0	0.0037	0	0.000261	1	-1E+10	1	0.93	1	7.6888	0	7.4470	0	2392	0	2352	0	826.4	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1299.56	0	3.4513	0	34.5871	0	27.522	0	1288.231	0	65.86	0	20.6	0	-1E+10	1	0.0037	0	0.0037	0	0.000249	1	-1E+10	1	0.90	1	7.6741	0	7.4338	0	2387	0	2351	0	866.1	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1199.34	0	3.7486	0	34.5784	0	27.486	0	1189.168	0	59.59	0	18.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000262	1	-1E+10	1	0.93	1	7.6600	0	7.4216	0	2381	0	2349	0	905.8	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	1099.81	0	4.0387	0	34.5735	0	27.452	0	1090.740	0	48.22	0	15.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000239	1	-1E+10	1	0.87	1	7.6346	0	7.3994	0	2376	0	2352	0	974.6	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	999.48	0	4.3510	0	34.5612	0	27.408	0	991.475	0	46.71	0	14.9	0	-1E+10	1	0.0073	0	0.0073	0	0.000251	1	-1E+10	1	0.91	1	7.6325	0	7.3978	0	2367	0	2344	0	989.0	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	951.38	0	4.5781	0	34.5565	0	27.380	0	943.868	0	43.20	0	13.9	0	-1E+10	1	0.0073	0	0.0073	0	0.000264	1	-1E+10	1	0.94	1	7.6032	0	7.3731	0	2362	0	2347	0	1066.9	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	901.27	0	4.7935	0	34.5534	0	27.353	0	894.261	0	35.03	0	11.3	0	-1E+10	1	0.0037	0	0.0037	0	0.000252	1	-1E+10	1	0.91	1	7.5892	0	7.3617	0	2359	0	2348	0	1109.8	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	851.52	0	4.9569	0	34.5472	0	27.329	0	844.998	0	38.63	0	12.5	0	-1E+10	1	0.0073	0	0.0073	0	0.000264	1	-1E+10	1	0.94	1	7.5975	0	7.3692	0	2353	0	2340	0	1092.6	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	801.35	0	5.2421	0	34.5421	0	27.292	0	795.308	0	33.42	0	10.9	0	-1E+10	1	0.0037	0	0.0037	0	0.000289	1	-1E+10	1	1.00	1	7.5862	0	7.3609	0	2349	0	2338	0	1128.9	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	751.57	0	5.5108	0	34.5405	0	27.258	0	745.992	0	25.83	0	8.5	0	-1E+10	1	0.0073	0	0.0073	0	0.000301	1	-1E+10	1	1.04	1	7.5695	0	7.3476	0	2346	0	2339	0	1182.8	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	701.47	0	5.7917	0	34.5347	0	27.219	0	696.347	0	24.82	0	8.2	0	-1E+10	1	0.0037	0	0.0037	0	0.000278	1	-1E+10	1	0.98	1	7.5645	0	7.3449	0	2341	0	2335	0	1203.3	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	651.50	0	6.2155	0	34.5414	0	27.170	0	646.820	0	15.03	0	5.0	0	-1E+10	1	0.0073	0	0.0073	0	0.000266	1	-1E+10	1	0.95	1	7.5484	0	7.3339	0	2335	0	2333	0	1258.2	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	601.56	0	6.7186	0	34.5467	0	27.108	0	597.310	0	11.85	0	4.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000267	1	-1E+10	1	0.95	1	7.5442	0	7.3345	0	2328	0	2326	0	1278.5	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	551.83	0	7.2343	0	34.5550	0	27.043	0	547.997	0	10.64	0	3.6	0	-1E+10	1	0.0073	0	0.0073	0	0.000292	1	-1E+10	1	1.01	1	7.5455	0	7.3402	0	2322	0	2318	0	1282.1	0
5906237	1	C	03/16/2020	09:10	219.660	8.994	0	501.80	0	7.8085	0	34.5703	0	26.972	0	498.374	0	8.08	0	2.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000293	1	-1E+10	1	1.01	1	7.5422	0	7.3424	0	2317	0	2312	0	1301.0	0
