//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:05
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906213
//Univ. of Washington ID: 18320
//MBARI ID: 18320SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 29 30 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11765	
//Temperature[°C]	Sbe41cp	11765	
//Salinity[pss]	Sbe41cp	11765	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3084	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204292  Spec#114283 Equitech Ti probe #1905.31  ARGO float#858  DF#262  CTD#11765	
//Chl_a[mg/m^3]	FLBBAP2	4815	
//Chl_a_corr[mg/m^3]	FLBBAP2	4815	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4815	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4815	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	262	
//pH25C[Total]	Durafet	262	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0495	0.0000	0.0000
//Nitrate	1	1.0000	-0.9207	-0.3884
//Nitrate	28	1.0000	-1.4059	0.0000
//Nitrate	37	1.0000	-1.4729	0.0000
//pH	1	1.0000	-0.0069	0.0613
//pH	9	1.0000	0.0021	0.0180
//pH	37	1.0000	0.0166	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1799.93	0	2.4578	0	34.6064	0	27.629	0	1776.141	0	168.45	0	51.4	0	33.98	0	0.0108	0	0.0036	0	0.000209	1	-1E+10	1	0.80	1	7.8193	0	7.5668	0	2341	0	2256	0	560.9	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1699.19	0	2.5338	0	34.5752	0	27.597	0	1677.131	0	167.88	0	51.3	0	34.13	0	0.0036	0	0.0012	0	0.000221	1	-1E+10	1	0.83	1	7.8152	0	7.5605	0	2338	0	2255	0	572.8	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1600.09	0	2.6297	0	34.5403	0	27.561	0	1579.686	0	167.93	0	51.4	0	34.53	0	0.0036	0	0.0012	0	0.000209	1	-1E+10	1	0.80	1	7.8135	0	7.5567	0	2335	0	2253	0	581.4	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1499.39	0	2.7313	0	34.4982	0	27.518	0	1480.623	0	171.10	0	52.5	0	34.64	0	0.0072	0	0.0024	0	0.000209	1	-1E+10	1	0.80	1	7.8153	0	7.5560	0	2330	0	2249	0	584.8	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1400.26	0	2.8521	0	34.4559	0	27.473	0	1383.058	0	176.39	0	54.3	0	34.36	0	0.0072	0	0.0024	0	0.000234	1	-1E+10	1	0.86	1	7.8185	0	7.5569	0	2324	0	2243	0	586.0	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1299.87	0	3.0094	0	34.4081	0	27.420	0	1284.207	0	183.50	0	56.7	0	34.17	0	0.0072	0	0.0024	0	0.000234	1	-1E+10	1	0.86	1	7.8267	0	7.5628	0	2317	0	2235	0	579.8	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1199.98	0	3.2284	0	34.3639	0	27.364	0	1185.802	0	190.95	0	59.3	0	33.55	0	0.0036	0	0.0012	0	0.000235	1	-1E+10	1	0.86	1	7.8371	0	7.5715	0	2311	0	2225	0	570.7	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	1099.54	0	3.4674	0	34.3208	0	27.307	0	1086.808	0	200.32	0	62.5	0	32.73	0	0.0036	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.8505	0	7.5833	0	2303	0	2213	0	557.3	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	999.97	0	3.8497	0	34.2850	0	27.240	0	988.625	0	208.40	0	65.6	0	31.61	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.8652	0	7.5983	0	2296	0	2201	0	543.0	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	951.81	0	3.9776	0	34.2728	0	27.217	0	941.120	0	212.38	0	67.1	0	31.10	0	0.0000	0	0.0000	0	0.000236	1	-1E+10	1	0.87	1	7.8715	0	7.6041	0	2293	0	2196	0	537.1	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	901.84	0	4.1251	0	34.2545	0	27.187	0	891.818	0	219.03	0	69.4	0	30.45	0	0.0000	0	0.0000	0	0.000236	1	-1E+10	1	0.87	1	7.8815	0	7.6135	0	2289	0	2189	0	526.5	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	851.71	0	4.3020	0	34.2381	0	27.155	0	842.346	0	225.62	0	71.8	0	29.63	0	0.0036	0	0.0012	0	0.000249	1	-1E+10	1	0.90	1	7.8909	0	7.6228	0	2286	0	2183	0	517.0	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	801.49	0	4.4804	0	34.2223	0	27.124	0	792.773	0	232.77	0	74.4	0	28.69	0	0.0036	0	0.0012	0	0.000249	1	-1E+10	1	0.90	1	7.9026	0	7.6342	0	2283	0	2176	0	504.8	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	751.58	0	4.6496	0	34.2045	0	27.091	0	743.495	0	242.69	0	77.8	0	27.68	0	0.0000	0	0.0000	0	0.000249	1	-1E+10	1	0.90	1	7.9174	0	7.6485	0	2281	0	2169	0	489.0	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	701.73	0	4.7751	0	34.1931	0	27.067	0	694.264	0	251.80	0	81.0	0	26.75	0	0.0000	0	0.0000	0	0.000250	1	-1E+10	1	0.90	1	7.9336	0	7.6634	0	2279	0	2162	0	472.1	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	651.33	0	4.8951	0	34.1848	0	27.047	0	644.478	0	261.95	0	84.5	0	25.64	0	0.0000	0	0.0000	0	0.000250	1	-1E+10	1	0.90	1	7.9494	0	7.6780	0	2278	0	2155	0	456.0	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	601.85	0	5.0073	0	34.1789	0	27.029	0	595.589	0	271.84	0	87.9	0	24.60	0	0.0000	0	0.0000	0	0.000238	1	-1E+10	1	0.87	1	7.9639	0	7.6913	0	2276	0	2148	0	442.1	0
5906213	1	C	12/07/2019	04:59	270.907	-54.422	0	551.90	0	5.0222	0	34.1662	0	27.017	0	546.224	0	279.45	0	90.4	0	24.14	0	0.0000	0	0.0000	0	0.000250	1	-1E+10	1	0.90	1	7.9743	0	7.6994	0	2276	0	2145	0	432.9	0
