//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:07
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906243
//Univ. of Washington ID: 18340
//MBARI ID: 18340CalCurrent
//Missing Float profile(s) for station(s): 65 
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 66 67 68 69 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	9021	
//Temperature[°C]	Sbe41cp	9021	
//Salinity[pss]	Sbe41cp	9021	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2164	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204293  Spec#118381 Equitech Ti probe #1905.03  ARGO float#850  DF#GDF#1  CTD#9021	
//Chl_a[mg/m^3]	FLBBAP2	5503	
//Chl_a_corr[mg/m^3]	FLBBAP2	5503	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5503	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5503	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	268	
//pH25C[Total]	Durafet	268	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0180	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//pH	2	1.0000	0.0151	-2.0694
//pH	14	1.0000	-0.0453	0.4251
//pH	17	1.0000	-0.0046	-0.1256
//pH	34	1.0000	-0.0391	0.0389
//pH	46	1.0000	-0.0341	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	237.02	0	8.7208	0	34.0095	0	26.391	0	235.139	0	84.13	0	29.6	0	24.21	0	0.0037	0	0.0037	0	0.000745	1	-1E+10	1	2.19	1	7.6769	8	7.4658	8	2269	0	2223	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	205.59	0	9.1590	0	34.0063	0	26.319	0	203.974	0	84.39	0	30.0	0	23.00	0	0.0037	0	0.0037	0	0.000734	1	-1E+10	1	2.16	1	7.6882	8	7.4807	8	2267	0	2216	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	178.70	0	9.4865	0	33.9908	0	26.253	0	177.307	0	85.10	0	30.4	0	21.95	0	0.0000	0	0.0000	0	0.000712	1	-1E+10	1	2.10	1	7.6963	8	7.4915	8	2264	0	2209	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	155.85	0	9.4457	0	33.9249	0	26.208	0	154.644	0	99.12	0	35.4	0	21.23	0	0.0000	0	0.0000	0	0.001108	1	-1E+10	1	3.13	1	7.7131	8	7.5056	8	2257	0	2198	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	135.18	0	9.5256	0	33.8755	0	26.156	0	134.140	0	106.18	0	38.0	0	20.22	0	0.0000	0	0.0000	0	0.000882	1	-1E+10	1	2.55	1	7.7288	8	7.5203	8	2253	0	2190	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	120.17	0	9.7276	0	33.8519	0	26.104	0	119.250	0	111.16	0	39.9	0	19.63	0	0.0000	0	0.0000	0	0.000928	1	-1E+10	1	2.66	1	7.7417	8	7.5344	8	2251	0	2183	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	107.06	0	9.9201	0	33.7993	0	26.030	0	106.244	0	122.60	0	44.2	0	18.19	0	0.0037	0	0.0037	0	0.000984	1	-1E+10	1	2.81	1	7.7543	8	7.5483	8	2248	0	2176	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	88.32	0	10.3862	0	33.7327	0	25.899	0	87.651	0	126.48	0	46.0	0	15.96	0	0.0146	0	0.0146	0	0.001302	1	-1E+10	1	3.64	1	7.7679	8	7.5666	8	2244	0	2166	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	69.53	0	10.6641	0	33.6765	0	25.806	0	69.006	0	138.93	0	50.8	0	-160.85	8	0.0365	0	0.0365	0	0.002333	1	-1E+10	1	6.32	1	7.7873	8	7.5881	8	2243	0	2159	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	59.19	0	11.1490	0	33.6183	0	25.675	0	58.746	0	156.97	0	58.0	0	11.79	0	0.0730	0	0.0730	0	0.001394	1	-1E+10	1	3.88	1	7.8131	8	7.6184	8	2240	0	2145	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	43.67	0	11.9829	0	33.5457	0	25.464	0	43.344	0	195.79	0	73.6	0	5.06	0	0.2008	0	0.2008	0	0.001395	1	-1E+10	1	3.88	1	7.8533	8	7.6677	8	2237	0	2124	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	41.81	0	12.0126	0	33.5455	0	25.459	0	41.498	0	203.86	0	76.7	0	5.01	0	0.2044	0	0.2044	0	0.001621	1	-1E+10	1	4.47	1	7.8687	8	7.6827	8	2237	0	2119	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	39.95	0	12.0945	0	33.5433	0	25.441	0	39.652	0	208.95	0	78.7	0	-1e10	1	0.2227	0	0.2227	0	0.001395	1	-1E+10	1	3.88	1	7.8815	8	7.6960	8	2237	0	2114	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	38.17	0	12.1619	0	33.5402	0	25.426	0	37.885	0	214.98	0	81.1	0	-1e10	1	0.2081	0	0.2081	0	0.001429	1	-1E+10	1	3.97	1	7.8964	8	7.7112	8	2237	0	2108	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	36.35	0	12.2295	0	33.5323	0	25.407	0	36.079	0	221.62	0	83.7	0	-1e10	1	0.3103	0	0.3103	0	0.001395	1	-1E+10	1	3.88	1	7.9091	8	7.7242	8	2236	0	2103	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	34.94	0	12.2995	0	33.5272	0	25.390	0	34.680	0	227.23	0	86.0	0	-1e10	1	0.2519	0	0.2519	0	0.001486	1	-1E+10	1	4.12	1	7.9225	8	7.7380	8	2236	0	2097	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	33.56	0	12.3533	0	33.5261	0	25.379	0	33.310	0	234.33	0	88.7	0	-1e10	1	0.3358	0	0.3358	0	0.001905	1	-1E+10	1	5.21	1	7.9394	8	7.7549	8	2236	0	2090	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	31.34	0	12.3769	0	33.5266	0	25.374	0	31.107	0	239.90	0	90.9	0	-1e10	1	0.3139	0	0.3139	0	0.001701	1	-1E+10	1	4.68	1	7.9501	8	7.7655	8	2236	0	2086	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	28.90	0	12.3987	0	33.5263	0	25.370	0	28.685	0	243.93	0	92.5	0	-1e10	1	0.3760	0	0.3760	0	0.001712	1	-1E+10	1	4.71	1	7.9605	8	7.7757	8	2236	0	2081	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	26.60	0	12.4282	0	33.5141	0	25.355	0	26.402	0	249.97	0	94.8	0	-1e10	1	0.9417	0	0.9417	0	0.002188	1	-1E+10	1	5.94	1	7.9682	8	7.7836	8	2235	0	2078	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	24.24	0	12.4396	0	33.5046	0	25.345	0	24.060	0	258.94	0	98.2	0	-1e10	1	1.4308	0	1.4308	0	0.003331	1	-1E+10	1	8.91	1	7.9799	8	7.7949	8	2235	0	2072	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	20.37	0	12.4669	0	33.5022	0	25.338	0	20.219	0	267.37	0	101.5	0	-1e10	1	1.6462	0	1.6462	0	0.002991	1	-1E+10	1	8.03	1	7.9999	8	7.8145	8	2235	0	2064	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	16.33	0	12.4715	0	33.5010	0	25.336	0	16.209	0	271.32	0	103.0	0	-1e10	1	1.7009	4	1.7009	4	0.003614	1	-1E+10	1	9.65	1	8.0151	8	7.8291	8	2235	0	2057	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	11.81	0	12.4744	0	33.5009	0	25.335	0	11.723	0	273.37	0	103.8	0	-1e10	1	1.7447	4	1.7009	4	0.003218	1	-1E+10	1	8.62	1	8.0274	8	7.8409	8	2235	0	2052	8	 -1e10	1
5906243	1	C	03/09/2020	21:09	237.636	36.664	0	7.33	0	12.4975	0	33.5046	0	25.334	0	7.276	0	276.11	0	104.9	0	-1e10	1	1.7009	4	1.7009	4	0.002878	1	-1E+10	1	7.74	1	8.0382	8	7.8515	8	2235	0	2048	8	 -1e10	1
