//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906216
//Univ. of Washington ID: 18545
//MBARI ID: 18545SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11524	
//Temperature[°C]	Sbe41cp	11524	
//Salinity[pss]	Sbe41cp	11524	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3096	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204303  Spec#118366 Equitech Ti probe #1905.08  ARGO float#861  DF#264  CTD#11524	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	264	
//pH25C[Total]	Durafet	264	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0426	0.0000	0.0000
//Nitrate	1	1.0000	-1.1555	-1.5599
//Nitrate	15	1.0000	-2.1884	-0.9695
//Nitrate	35	1.0000	-2.6409	0.0000
//pH	1	1.0000	-0.0199	-0.7572
//pH	3	1.0000	-0.0443	-0.0477
//pH	17	1.0000	-0.0576	-0.0066
//pH	35	1.0000	-0.0587	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1799.23	0	2.3048	0	34.6622	0	27.687	0	1775.201	0	172.97	0	52.6	0	32.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8317	0	7.5757	0	2345	0	2257	0	544.4	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1700.00	0	2.3772	0	34.6401	0	27.662	0	1677.688	0	170.93	0	52.0	0	33.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8302	0	7.5717	0	2343	0	2256	0	552.6	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1599.54	0	2.4494	0	34.6108	0	27.632	0	1578.920	0	170.10	0	51.9	0	33.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8272	0	7.5664	0	2341	0	2255	0	562.8	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1500.01	0	2.5404	0	34.5757	0	27.596	0	1481.022	0	169.63	0	51.8	0	34.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8224	0	7.5597	0	2338	0	2255	0	575.9	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1400.15	0	2.6271	0	34.5431	0	27.562	0	1382.752	0	170.53	0	52.2	0	34.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8226	0	7.5575	0	2334	0	2252	0	581.6	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1299.92	0	2.7502	0	34.4899	0	27.508	0	1284.073	0	175.18	0	53.8	0	34.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8224	0	7.5553	0	2327	0	2246	0	587.5	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1199.27	0	2.8619	0	34.4414	0	27.459	0	1184.933	0	181.62	0	55.9	0	34.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8261	0	7.5565	0	2320	0	2240	0	587.7	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	1099.74	0	2.9739	0	34.3927	0	27.410	0	1086.850	0	190.41	0	58.7	0	33.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8336	0	7.5612	0	2313	0	2231	0	582.2	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	999.96	0	3.0076	0	34.3140	0	27.343	0	988.475	0	209.64	0	64.7	0	32.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8521	0	7.5747	0	2303	0	2217	0	560.4	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	951.76	0	3.1832	0	34.2985	0	27.314	0	940.936	0	212.86	0	65.9	0	32.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8542	0	7.5773	0	2301	0	2213	0	560.4	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	901.35	0	3.2984	0	34.2757	0	27.285	0	891.207	0	217.40	0	67.5	0	32.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8591	0	7.5815	0	2297	0	2209	0	556.4	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	851.33	0	3.6764	0	34.2818	0	27.254	0	841.850	0	217.91	0	68.3	0	31.57	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8600	0	7.5858	0	2295	0	2205	0	559.1	0
5906216	1	C	12/22/2019	06:49	271.075	-56.070	0	801.48	0	3.9737	0	34.2757	0	27.219	0	792.650	0	216.57	0	68.4	0	30.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8668	0	7.5943	0	2293	0	2200	0	553.1	0
