//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:14
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906046
//Univ. of Washington ID: 18608
//MBARI ID: 18608EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 14 66 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11516	
//Temperature[°C]	Sbe41cp	11516	
//Salinity[pss]	Sbe41cp	11516	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3056	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0108  Spec#114277 Equitech Ti probe #1804.16  MBARI ARGO float#849  DF#256  CTD#11516	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	256	
//pH25C[Total]	Durafet	256	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0488	0.0000	0.0000
//Nitrate	1	1.0000	-2.7087	-170.1235
//Nitrate	3	1.0000	-3.2465	-0.5042
//Nitrate	88	1.0000	-3.7450	0.0000
//pH	1	1.0000	-0.0375	0.0420
//pH	11	1.0000	-0.0447	0.0025
//pH	88	1.0000	-0.0434	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	1599.12	0	2.8436	0	34.6133	0	27.601	0	1584.220	0	100.07	0	30.8	0	39.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7649	0	7.5160	0	2396	0	2327	0	671.1	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	1499.61	0	3.0590	0	34.6029	0	27.573	0	1485.986	0	97.26	0	30.1	0	39.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7567	0	7.5079	0	2389	0	2324	0	692.0	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	1399.97	0	3.2566	0	34.5937	0	27.547	0	1387.579	0	98.30	0	30.6	0	39.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7576	0	7.5078	0	2384	0	2318	0	697.5	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	1299.42	0	3.5079	0	34.5827	0	27.513	0	1288.226	0	98.35	0	30.8	0	39.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7561	0	7.5062	0	2377	0	2312	0	707.2	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	1199.55	0	3.7088	0	34.5735	0	27.486	0	1189.498	0	97.20	0	30.6	0	39.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7568	0	7.5058	0	2370	0	2306	0	713.2	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	1099.82	0	4.0111	0	34.5613	0	27.445	0	1090.863	0	99.38	0	31.5	0	38.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7570	0	7.5064	0	2361	0	2296	0	719.3	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	999.73	0	4.4050	0	34.5514	0	27.395	0	991.824	0	94.95	0	30.4	0	38.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7454	0	7.4977	0	2351	0	2290	0	747.4	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	951.84	0	4.6339	0	34.5485	0	27.367	0	944.421	0	90.40	0	29.1	0	39.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7258	0	7.4815	0	2346	0	2291	0	788.0	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	901.91	0	4.9282	0	34.5446	0	27.331	0	894.987	0	85.68	0	27.7	0	39.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7109	0	7.4703	0	2340	0	2288	0	821.2	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	851.33	0	5.2195	0	34.5433	0	27.296	0	844.897	0	79.16	0	25.8	0	39.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6978	0	7.4606	0	2335	0	2287	0	852.7	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	801.60	0	5.6251	0	34.5484	0	27.251	0	795.638	0	67.08	0	22.1	0	40.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6741	0	7.4429	0	2330	0	2287	0	908.8	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	751.48	0	6.0188	0	34.5542	0	27.207	0	745.980	0	55.85	0	18.5	0	40.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6468	0	7.4219	0	2324	0	2289	0	976.9	0
5906046	1	C	10/22/2019	02:13	234.903	-4.005	0	701.38	0	6.4751	0	34.5634	0	27.155	0	696.330	0	54.08	0	18.2	0	40.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6430	0	7.4226	0	2319	0	2283	0	991.7	0
