//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:16
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906224
//Univ. of Washington ID: 18643
//MBARI ID: 18643SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 15 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11521	
//Temperature[°C]	Sbe41cp	11521	
//Salinity[pss]	Sbe41cp	11521	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3101	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204309  Spec#118368 Equitech Ti probe #1905.12  ARGO float#863  DF#266  CTD#11521	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	266	
//pH25C[Total]	Durafet	266	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0533	0.0000	0.0000
//Nitrate	1	1.0000	-2.2265	-17.4455
//Nitrate	3	1.0000	-2.7683	1.5592
//Nitrate	17	1.0000	-2.2710	0.0000
//pH	1	1.0000	0.0270	-0.9482
//pH	3	1.0000	-0.0082	0.0534
//pH	10	1.0000	-0.0130	0.0401
//pH	21	1.0000	0.0055	-0.1139
//pH	29	1.0000	-0.0154	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1799.33	0	1.8782	0	34.7203	0	27.766	0	1774.452	0	185.49	0	55.8	0	32.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8630	8	7.5979	8	2357	0	2260	8	505.3	8
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1699.53	0	1.9565	0	34.7149	0	27.755	0	1676.425	0	182.76	0	55.1	0	32.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8622	0	7.5946	0	2356	0	2260	0	512.2	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1599.36	0	2.0229	0	34.7092	0	27.745	0	1577.990	0	181.29	0	54.7	0	32.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8588	0	7.5888	0	2355	0	2261	0	522.6	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1499.98	0	2.0975	0	34.6967	0	27.729	0	1480.285	0	178.69	0	54.1	0	33.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8513	0	7.5794	0	2352	0	2261	0	538.2	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1400.01	0	2.1748	0	34.6803	0	27.709	0	1381.955	0	175.93	0	53.3	0	33.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8515	0	7.5770	0	2346	0	2256	0	543.1	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1300.27	0	2.2338	0	34.6631	0	27.690	0	1283.804	0	174.42	0	52.9	0	33.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8471	8	7.5702	8	2345	0	2259	8	555.7	8
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1199.96	0	2.2708	0	34.6449	0	27.672	0	1185.047	0	173.11	0	52.6	0	33.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8369	0	7.5579	0	2343	0	2260	0	576.2	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	1099.92	0	2.3520	0	34.6159	0	27.641	0	1086.509	0	170.70	0	51.9	0	34.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8366	0	7.5551	0	2336	0	2255	0	582.0	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	999.16	0	2.4000	0	34.5798	0	27.608	0	987.214	0	171.72	0	52.3	0	34.70	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8340	8	7.5498	8	2334	0	2255	8	592.4	8
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	951.82	0	2.4232	0	34.5645	0	27.593	0	940.546	0	172.03	0	52.4	0	34.57	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8270	0	7.5421	0	2332	0	2256	0	605.6	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	901.38	0	2.4487	0	34.5445	0	27.575	0	890.811	0	173.07	0	52.8	0	34.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8222	0	7.5363	0	2329	0	2255	0	615.9	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	851.80	0	2.4823	0	34.5271	0	27.558	0	841.912	0	174.17	0	53.1	0	34.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8257	0	7.5381	0	2328	0	2253	0	613.8	0
5906224	1	C	01/30/2020	12:25	286.035	-61.935	0	801.73	0	2.4958	0	34.5016	0	27.536	0	792.518	0	176.53	0	53.9	0	34.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8255	0	7.5363	0	2326	0	2252	0	617.3	0
