//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:19
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906212
//Univ. of Washington ID: 18721
//MBARI ID: 18721SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11429	
//Temperature[°C]	Sbe41cp	11429	
//Salinity[pss]	Sbe41cp	11429	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3082	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204321  Spec#114285 Equitech Ti probe #1905.29  ARGO float#857  DF#SBE10302  CTD#11429	
//Chl_a[mg/m^3]	FLBBAP2	4813	
//Chl_a_corr[mg/m^3]	FLBBAP2	4813	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4813	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4813	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10302	
//pH25C[Total]	Durafet	10302	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0518	0.0000	0.0000
//Nitrate	1	1.0000	0.0849	-12.6051
//Nitrate	3	1.0000	-0.0534	-0.1058
//Nitrate	29	1.0000	-0.1558	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1699.87	0	2.0293	0	34.7196	0	27.754	0	1676.992	0	181.27	0	54.8	0	31.93	0	0.0072	0	0.0024	0	0.000265	1	-1E+10	1	0.94	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1599.83	0	2.1124	0	34.7071	0	27.737	0	1578.671	0	178.35	0	54.0	0	32.20	0	0.0072	0	0.0024	0	0.000289	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1500.05	0	2.1706	0	34.6946	0	27.721	0	1480.560	0	176.06	0	53.4	0	32.46	0	0.0072	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	-1e10	1	-1e10	1	2348	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1399.45	0	2.2204	0	34.6801	0	27.705	0	1381.596	0	174.91	0	53.1	0	32.71	0	0.0036	0	0.0012	0	0.000302	1	-1E+10	1	1.04	1	-1e10	1	-1e10	1	2346	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1300.25	0	2.2951	0	34.6567	0	27.680	0	1283.963	0	172.66	0	52.5	0	33.04	0	0.0072	0	0.0024	0	0.000326	1	-1E+10	1	1.10	1	-1e10	1	-1e10	1	2343	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1199.68	0	2.3545	0	34.6296	0	27.653	0	1184.936	0	171.41	0	52.2	0	33.48	0	0.0036	0	0.0012	0	0.000302	1	-1E+10	1	1.04	1	-1e10	1	-1e10	1	2340	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	1099.59	0	2.4211	0	34.5965	0	27.620	0	1086.334	0	171.09	0	52.1	0	33.82	0	0.0072	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2337	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	999.56	0	2.4987	0	34.5623	0	27.586	0	987.746	0	171.34	0	52.3	0	34.09	0	0.0036	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	-1e10	1	-1e10	1	2333	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	951.45	0	2.5436	0	34.5418	0	27.565	0	940.312	0	172.53	0	52.7	0	34.20	0	0.0036	0	0.0012	0	0.000387	1	-1E+10	1	1.26	1	-1e10	1	-1e10	1	2331	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	901.48	0	2.5784	0	34.5188	0	27.543	0	891.033	0	173.80	0	53.1	0	34.26	0	0.0072	0	0.0024	0	0.000315	1	-1E+10	1	1.07	1	-1e10	1	-1e10	1	2328	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	851.77	0	2.6245	0	34.4959	0	27.521	0	842.000	0	176.13	0	53.9	0	34.26	0	0.0108	0	0.0036	0	0.000351	1	-1E+10	1	1.17	1	-1e10	1	-1e10	1	2325	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	801.77	0	2.6671	0	34.4758	0	27.501	0	792.668	0	178.43	0	54.7	0	34.25	0	0.0108	0	0.0036	0	0.000351	1	-1E+10	1	1.17	1	-1e10	1	-1e10	1	2323	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	751.61	0	2.7015	0	34.4390	0	27.468	0	743.167	0	182.82	0	56.0	0	34.13	0	0.0072	0	0.0024	0	0.000339	1	-1E+10	1	1.14	1	-1e10	1	-1e10	1	2318	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	701.75	0	2.7240	0	34.4103	0	27.443	0	693.950	0	189.08	0	58.0	0	34.01	0	0.0072	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	-1e10	1	-1e10	1	2314	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	651.74	0	2.6732	0	34.3692	0	27.414	0	644.573	0	198.80	0	60.9	0	33.66	0	0.0072	0	0.0024	0	0.000376	1	-1E+10	1	1.23	1	-1e10	1	-1e10	1	2311	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	601.71	0	2.7158	0	34.3471	0	27.393	0	595.164	0	203.18	0	62.2	0	33.54	0	0.0000	0	0.0000	0	0.000412	1	-1E+10	1	1.32	1	-1e10	1	-1e10	1	2308	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	551.57	0	2.8251	0	34.3129	0	27.355	0	545.636	0	210.81	0	64.7	0	33.06	0	0.0036	0	0.0012	0	0.000352	1	-1E+10	1	1.17	1	-1e10	1	-1e10	1	2303	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	501.62	0	2.9027	0	34.2803	0	27.322	0	496.283	0	218.45	0	67.2	0	32.55	0	0.1260	0	0.0420	0	0.000991	1	-1E+10	1	2.83	1	-1e10	1	-1e10	1	2299	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	450.74	0	3.0731	0	34.2653	0	27.295	0	445.999	0	223.62	0	69.1	0	32.00	0	0.0072	0	0.0024	0	0.000401	1	-1E+10	1	1.30	1	-1e10	1	-1e10	1	2296	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	401.37	0	3.1974	0	34.2407	0	27.263	0	397.195	0	228.29	0	70.7	0	31.55	0	0.0036	0	0.0012	0	0.000389	1	-1E+10	1	1.26	1	-1e10	1	-1e10	1	2293	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	381.45	0	3.2372	0	34.2306	0	27.251	0	377.500	0	231.35	0	71.7	0	31.29	0	0.0072	0	0.0024	0	0.000389	1	-1E+10	1	1.27	1	-1e10	1	-1e10	1	2292	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	361.67	0	3.0627	0	34.1868	0	27.232	0	357.942	0	241.50	0	74.5	0	30.76	0	0.0108	0	0.0036	0	0.000437	1	-1E+10	1	1.39	1	-1e10	1	-1e10	1	2289	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	351.72	0	3.0334	0	34.1785	0	27.228	0	348.103	0	250.20	0	77.2	0	30.66	0	0.0108	0	0.0036	0	0.000606	1	-1E+10	1	1.83	1	-1e10	1	-1e10	1	2288	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	341.71	0	3.0315	0	34.1688	0	27.221	0	338.204	0	251.05	0	77.4	0	30.29	0	0.0036	0	0.0012	0	0.000461	1	-1E+10	1	1.45	1	-1e10	1	-1e10	1	2288	0	 -1e10	1	 -1e10	1
5906212	1	C	12/10/2019	21:45	270.974	-60.160	0	331.63	0	2.8609	0	34.1315	0	27.206	0	328.236	0	260.88	0	80.1	0	29.99	0	0.0180	0	0.0060	0	0.000582	1	-1E+10	1	1.77	1	-1e10	1	-1e10	1	2286	0	 -1e10	1	 -1e10	1
