//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:20
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906209
//Univ. of Washington ID: 18739
//MBARI ID: 18739SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11435	
//Temperature[°C]	Sbe41cp	11435	
//Salinity[pss]	Sbe41cp	11435	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3088	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0137  Spec#114274 Equitech Ti probe #1804.15  MBARI ARGO float#844  DF#SBEC12  CTD#11435	
//Chl_a[mg/m^3]	FLBBAP2	5504	
//Chl_a_corr[mg/m^3]	FLBBAP2	5504	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5504	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5504	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0530	0.0000	0.0000
//Nitrate	1	1.0000	-0.3788	-24.8310
//Nitrate	4	1.0000	-2.0422	-1.3722
//Nitrate	33	1.0000	-3.0264	0.0000
//pH	1	1.0000	0.0068	-0.1492
//pH	5	1.0000	-0.0005	0.0089
//pH	33	1.0000	0.0065	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	1299.61	0	2.7679	0	34.6162	0	27.608	0	1285.053	0	176.21	0	54.2	0	32.97	0	0.0108	0	0.0036	0	0.000275	1	-1E+10	1	0.97	1	7.8578	0	7.5873	0	2338	0	2245	0	540.5	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	1199.90	0	2.7693	0	34.5598	0	27.562	0	1186.741	0	174.68	0	53.7	0	33.98	0	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.8435	0	7.5708	0	2334	0	2247	0	565.7	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	1100.07	0	2.8719	0	34.5225	0	27.522	0	1088.264	0	175.63	0	54.1	0	34.05	0	0.0108	0	0.0036	0	0.000264	1	-1E+10	1	0.94	1	7.8449	0	7.5698	0	2330	0	2244	0	569.9	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	999.75	0	2.8683	0	34.4538	0	27.467	0	989.257	0	181.51	0	55.9	0	34.40	0	0.0072	0	0.0024	0	0.000299	1	-1E+10	1	1.03	1	7.8435	0	7.5649	0	2324	0	2240	0	577.0	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	951.87	0	3.2136	0	34.4710	0	27.449	0	941.987	0	179.11	0	55.6	0	33.83	0	0.0072	0	0.0024	0	0.000312	1	-1E+10	1	1.06	1	7.8437	0	7.5681	0	2323	0	2238	0	580.8	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	901.28	0	3.2947	0	34.4490	0	27.424	0	892.030	0	181.76	0	56.5	0	33.64	0	0.0072	0	0.0024	0	0.000288	1	-1E+10	1	1.00	1	7.8455	0	7.5690	0	2320	0	2235	0	581.2	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	851.44	0	3.3690	0	34.4219	0	27.395	0	842.802	0	186.43	0	58.1	0	33.48	0	0.0108	0	0.0036	0	0.000300	1	-1E+10	1	1.03	1	7.8491	0	7.5715	0	2315	0	2229	0	578.5	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	801.88	0	3.1567	0	34.3569	0	27.362	0	793.839	0	196.07	0	60.7	0	33.32	0	0.0072	0	0.0024	0	0.000288	1	-1E+10	1	1.00	1	7.8511	0	7.5685	0	2311	0	2226	0	577.3	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	751.68	0	3.0465	0	34.3023	0	27.328	0	744.232	0	207.34	0	64.0	0	33.20	0	0.0108	0	0.0036	0	0.000300	1	-1E+10	1	1.03	1	7.8549	0	7.5687	0	2306	0	2222	0	573.8	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	701.60	0	3.2625	0	34.2851	0	27.295	0	694.732	0	211.84	0	65.7	0	32.49	0	0.0036	0	0.0012	0	0.000289	1	-1E+10	1	1.00	1	7.8667	0	7.5805	0	2303	0	2215	0	560.4	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	651.47	0	3.1369	0	34.2085	0	27.245	0	645.170	0	228.73	0	70.7	0	31.89	0	0.0072	0	0.0024	0	0.000312	1	-1E+10	1	1.07	1	7.8762	0	7.5856	0	2296	0	2207	0	548.6	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	601.66	0	3.1313	0	34.1711	0	27.215	0	595.913	0	237.94	0	73.5	0	31.44	0	0.0072	0	0.0024	0	0.000336	1	-1E+10	1	1.13	1	7.8833	0	7.5902	0	2292	0	2201	0	541.2	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	551.26	0	3.3300	0	34.1575	0	27.186	0	546.060	0	242.46	0	75.3	0	30.76	0	0.0036	0	0.0012	0	0.000348	1	-1E+10	1	1.16	1	7.8958	0	7.6025	0	2290	0	2195	0	527.7	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	501.30	0	3.9739	0	34.2043	0	27.160	0	496.631	0	239.45	0	75.6	0	29.75	0	0.0072	0	0.0024	0	0.000491	1	-1E+10	1	1.53	1	7.9008	0	7.6143	0	2289	0	2190	0	525.6	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	451.78	0	4.9240	0	34.2976	0	27.131	0	447.626	0	224.67	0	72.6	0	28.69	0	0.0072	0	0.0024	0	0.000374	1	-1E+10	1	1.23	1	7.9013	0	7.6264	0	2290	0	2186	0	530.3	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	401.92	0	5.2492	0	34.2957	0	27.092	0	398.272	0	227.19	0	74.0	0	27.70	0	0.0036	0	0.0012	0	0.000363	1	-1E+10	1	1.20	1	7.9029	0	7.6308	0	2288	0	2182	0	531.4	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	381.61	0	5.3583	0	34.2801	0	27.066	0	378.165	0	231.30	0	75.5	0	27.37	0	0.0036	0	0.0012	0	0.000399	1	-1E+10	1	1.29	1	7.9067	0	7.6350	0	2286	0	2178	0	527.5	0
5906209	1	C	01/10/2020	23:03	57.837	-44.954	0	361.40	0	5.6143	0	34.2949	0	27.047	0	358.155	0	228.61	0	75.1	0	26.86	0	0.0036	0	0.0012	0	0.000423	1	-1E+10	1	1.35	1	7.9077	0	7.6389	0	2285	0	2176	0	527.8	0
