//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:22
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906245
//Univ. of Washington ID: 18764
//MBARI ID: 18764SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11762	
//Temperature[°C]	Sbe41cp	11762	
//Salinity[pss]	Sbe41cp	11762	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3112	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204272  Spec#118380 Equitech Ti probe #1909.03  ARGO float#876  DF#276  CTD#11762	
//Chl_a[mg/m^3]	FLBBAP2	5534	
//Chl_a_corr[mg/m^3]	FLBBAP2	5534	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5534	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5534	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	276	
//pH25C[Total]	Durafet	276	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0516	0.0000	0.0000
//Nitrate	1	1.0000	-1.6134	-32.4170
//Nitrate	3	1.0000	-2.5715	0.0000
//Nitrate	26	1.0000	-2.6069	0.0000
//pH	1	1.0000	0.0300	-0.7972
//pH	3	1.0000	0.0016	0.0000
//pH	26	1.0000	-0.0003	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	1499.33	0	3.2498	0	34.5865	0	27.542	0	1483.305	0	179.53	0	55.8	0	32.23	0	0.0037	0	0.0012	0	0.000378	1	-1E+10	1	1.23	1	7.8469	0	7.5915	0	2325	0	2231	0	542.6	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	1400.38	0	3.3031	0	34.5077	0	27.474	0	1385.737	0	178.77	0	55.6	0	33.05	0	0.0037	0	0.0012	0	0.000367	1	-1E+10	1	1.21	1	7.8349	0	7.5778	0	2321	0	2232	0	564.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	1300.02	0	3.4649	0	34.4419	0	27.405	0	1286.733	0	183.47	0	57.3	0	33.12	0	0.0073	0	0.0024	0	0.000356	1	-1E+10	1	1.18	1	7.8345	0	7.5761	0	2315	0	2228	0	571.2	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	1200.11	0	3.7267	0	34.4033	0	27.348	0	1188.126	0	187.30	0	58.8	0	32.76	0	0.0000	0	0.0000	0	0.000424	1	-1E+10	1	1.36	1	7.8374	0	7.5787	0	2309	0	2221	0	573.2	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	1099.38	0	4.1130	0	34.3550	0	27.270	0	1088.663	0	196.68	0	62.3	0	31.76	0	0.0037	0	0.0012	0	0.000368	1	-1E+10	1	1.21	1	7.8485	0	7.5904	0	2301	0	2209	0	563.5	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	999.60	0	4.7456	0	34.3388	0	27.189	0	990.091	0	201.13	0	64.7	0	30.59	0	0.0037	0	0.0012	0	0.000358	1	-1E+10	1	1.19	1	7.8511	0	7.5980	0	2293	0	2198	0	566.2	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	951.24	0	5.1436	0	34.3329	0	27.139	0	942.299	0	210.25	0	68.3	0	29.17	0	0.0000	0	0.0000	0	0.000359	1	-1E+10	1	1.19	1	7.8630	0	7.6126	0	2290	0	2190	0	553.0	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	901.81	0	5.5193	0	34.3487	0	27.107	0	893.439	0	211.32	0	69.3	0	28.16	0	0.0000	0	0.0000	0	0.000393	1	-1E+10	1	1.28	1	7.8674	0	7.6201	0	2289	0	2186	0	550.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	851.52	0	6.0478	0	34.3834	0	27.069	0	843.718	0	209.27	0	69.5	0	27.08	0	0.0000	0	0.0000	0	0.000405	1	-1E+10	1	1.31	1	7.8684	0	7.6267	0	2288	0	2183	0	553.7	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	801.52	0	6.6092	0	34.4318	0	27.035	0	794.271	0	205.50	0	69.1	0	26.09	0	0.0073	0	0.0024	0	0.000395	1	-1E+10	1	1.28	1	7.8701	0	7.6343	0	2288	0	2180	0	556.0	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	751.39	0	7.4763	0	34.5139	0	26.980	0	744.684	0	199.86	0	68.6	0	24.31	0	0.0000	0	0.0000	0	0.000407	1	-1E+10	1	1.31	1	7.8720	0	7.6465	0	2289	0	2177	0	558.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	701.76	0	8.2830	0	34.5938	0	26.924	0	695.579	0	200.70	0	70.2	0	22.34	0	0.0000	0	0.0000	0	0.000397	1	-1E+10	1	1.29	1	7.8811	0	7.6645	0	2291	0	2172	0	551.4	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	651.30	0	9.2993	0	34.7038	0	26.850	0	645.642	0	197.99	0	70.9	0	19.73	0	0.0000	0	0.0000	0	0.000410	1	-1E+10	1	1.32	1	7.9002	0	7.6952	0	2295	0	2163	0	530.9	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	601.66	0	10.3642	0	34.8253	0	26.766	0	596.504	0	202.14	0	74.1	0	16.86	0	0.0037	0	0.0012	0	0.000388	1	-1E+10	1	1.26	1	7.9178	0	7.7253	0	2299	0	2155	0	512.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	551.77	0	11.3098	0	34.9529	0	26.696	0	547.107	0	208.11	0	77.9	0	14.22	0	0.0000	0	0.0000	0	0.000400	1	-1E+10	1	1.29	1	7.9395	0	7.7579	0	2304	0	2146	0	489.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	501.76	0	11.9288	0	35.0325	0	26.641	0	497.580	0	209.39	0	79.4	0	12.70	0	0.0000	0	0.0000	0	0.000446	1	-1E+10	1	1.41	1	7.9546	0	7.7797	0	2308	0	2139	0	474.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	451.33	0	12.4738	0	35.1003	0	26.588	0	447.624	0	210.49	0	80.8	0	11.34	0	0.0000	0	0.0000	0	0.000480	1	-1E+10	1	1.50	1	7.9609	0	7.7919	0	2311	0	2136	0	470.8	0
5906245	1	C	03/28/2020	03:17	1.140	-33.931	0	401.42	0	12.9891	0	35.1581	0	26.529	0	398.172	0	212.86	0	82.6	0	9.77	0	0.0000	0	0.0000	0	0.000447	1	-1E+10	1	1.41	1	7.9702	0	7.8067	0	2314	0	2132	0	462.9	0
